	mean (BMI)	std (BMI)	mean (Disorder duration (in Yrs))	std (Disorder duration (in Yrs))	mean (Comorbidity BDL)	std (Comorbidity BDL)	mean (Comorbidity OCD)	std (Comorbidity OCD)	mean (Comorbidity Depression)	std (Comorbidity Depression)	mean (Other psychiatric comorbidities)	std (Other psychiatric comorbidities)	mean (No. of previous treatments w/o effect)	std (No. of previous treatments w/o effect)	mean (No. of previous treatments)	std (No. of previous treatments)	mean (Lav-Dissatisfaction body)	std (Lav-Dissatisfaction body)	mean (Lav-Negative appraisal body)	std (Lav-Negative appraisal body)	mean (Lav-Unfamiliarity with body)	std (Lav-Unfamiliarity with body)	mean (MHCSF-Emotional Well-being)	std (MHCSF-Emotional Well-being)	mean (MHCSF-Psychological Well-being)	std (MHCSF-Psychological Well-being)	mean (MHCSF-Social Well-being)	std (MHCSF-Social Well-being)	mean (Age)	std (Age)	mean (SQ48-Agoraphobia)	std (SQ48-Agoraphobia)	mean (SQ48-Anxiety)	std (SQ48-Anxiety)	mean (SQ48-Cognitive Complaints)	std (SQ48-Cognitive Complaints)	mean (SQ48-Depression)	std (SQ48-Depression)	mean (SQ48-Hostility)	std (SQ48-Hostility)	mean (SQ48-Social phobia)	std (SQ48-Social phobia)	mean (SQ48-Somatic Complaints)	std (SQ48-Somatic Complaints)	mean (SQ48-Vitality)	std (SQ48-Vitality)	mean (SQ48-Work related complaints)	std (SQ48-Work related complaints)
GMLVQ-AN-1	17.99918152454338	0.6629020929699793	7.1077565024700515	1.4245385190562831	0.03844630128126453	0.03019298250349821	0.07254513522779267	0.016259065168342884	0.2111703895458637	0.02552066799612949	0.5758706290640532	0.00963829124728669	0.5017138066600724	0.02052381998061291	1.5877751500138673	0.07207592526714228	14.65195556269137	0.1639736144542194	17.46143412054748	0.8889537124672274	20.12715376970121	0.32954427050374885	2.081941566177888	0.027470536405168833	2.0746943138633855	0.09115256918512238	1.8208955266137656	0.03964762436755979	26.346828525241648	1.270339385673078	3.640668808337253	0.6364366671913559	14.90890555549602	0.42622780989278075	12.153729037111097	0.1696219008293507	13.568885484635326	0.6688437462622179	4.364615818386296	0.7434753500963123	12.234812805059876	0.19837151481491386	11.397378622000332	0.9636842704710996	13.018201091149546	0.34789085738580633	8.54748795924107	0.266854706891109
LGMLVQ2-AN-1	15.51482858430164	0.8882633930610936	5.85922106490977	0.6719063665712768	0.0321063917766806	0.016130911186798946	0.08497513351856814	0.004976392097008802	0.21551377651508244	0.05205148964025635	0.5786621386467645	0.03912952183162901	0.5551184458524501	0.07070437535786153	1.4880187912884195	0.11292364456696129	14.476986149533824	0.42499453997857856	16.830662772521844	0.5763594706181828	20.245096867028533	0.35403610187977513	2.0424002358160016	0.1162889207757531	2.0729100566586456	0.11865676819847601	1.8327056518842149	0.07583216775259717	25.178809748291112	0.4771243748543845	3.5815802566179356	0.33038880009121907	15.1416316356766	0.7396344272734936	12.46088510489649	0.2883489005290745	14.119946162888345	0.33599547903576366	4.412111631083141	0.2795401321742428	12.57250666414023	0.15431485040339482	11.755739545282733	0.7606078436023042	12.997137480505662	0.4343681548473962	8.3684216306083	0.2965301913458579
GMLVQ-AN-2	17.14436058923195	0.8791349028915796	6.149684319214943	1.184815087289348	0.03495240228319819	0.026449877555526618	0.07952344059230397	0.018478769057979447	0.17079753305216577	0.04730194215272895	0.5789530127519471	0.014791006563333708	0.49246126571737986	0.03442670983622438	1.4076518282362285	0.13506432924614684	14.375797588404714	0.19660259445061598	17.032453029858498	0.8153239630908512	19.790961210407808	0.6606885301858965	2.0571212832323447	0.11239348242083953	2.146715524170572	0.10125570920180793	1.8849066604066096	0.05993303668208077	26.013631448167285	0.8834914908963226	3.7914907408493703	0.5362012218219597	15.372693434913486	0.5343574788444556	12.46295506564742	0.3276926005395205	14.222561530025226	0.7066394284569713	4.269720236148772	0.6119099787555473	12.58430442038151	0.3134398628842165	11.570231433493891	0.8483397566698713	12.87742165111616	0.46767399981666957	8.14674793061646	0.19203460116908647
LGMLVQ2-AN-2	15.518805823065316	1.1442421557817646	6.033721130566974	0.6487238892527601	0.021412031531025544	0.00716191215980199	0.07976603784157515	0.001811472482931086	0.21611689980979348	0.032646285017328996	0.5696626943467293	0.018268810166690738	0.5160916199590934	0.047277132300906605	1.453720049901286	0.11374402530890318	14.479810738262064	0.38821437445985874	16.5399250717989	1.000868070454814	20.10855067156791	0.6139074592203915	2.0562174786841987	0.08973622504575135	2.0834236578921788	0.0639997308013558	1.8617761073364716	0.0869223424673139	25.603531231643796	0.6765614084171444	3.649060878759235	0.19816404158052228	15.225230940961485	0.30740507411430973	12.051462421686836	0.2728294399683325	14.084535969688233	0.3273921575290768	4.435009904609762	0.1833196175985858	12.55066624320023	0.4306264256641725	11.965501105285066	0.29221035642611143	13.044172372449731	0.1367874930296246	8.453703874703251	0.3283378733127993
GMLVQ-AN-3	16.898443932530025	0.9630941753062859	5.520923323240887	1.3740774471531796	0.01906693436776353	0.029197340110268078	0.089109408432111	0.019165477680813704	0.16553604702005764	0.043948542959302284	0.5801167646788132	0.005768455733298109	0.49998197281426887	0.030439283260972866	1.4146403056315913	0.09079809303670604	14.532412329362677	0.15973255689793614	16.509805691380684	0.8514455351816924	20.156421757955318	0.4936940698804078	2.063223336861338	0.09517888792215301	2.06700381050939	0.05587729043238716	1.8702773112317481	0.053269065549938426	25.363367413142562	0.9838480371399331	3.415639851844322	0.4102399840038228	15.162897095837035	0.4543014616613825	12.214931491846274	0.3117579241740275	14.60336302261174	0.8085920773705543	3.8551375860814394	0.5764714828692499	12.422215573026671	0.3151583161215237	12.23372534201065	0.8906200887339693	13.222743921208794	0.4269195264257971	8.352188433521787	0.299147489231218
LGMLVQ2-AN-3	16.229678601580886	0.9724747407135446	6.256098625532019	0.7576158083653519	0.024250835501755066	0.013408437804260022	0.08043884429474568	0.004472250343116057	0.1766308304015018	0.043227320469040924	0.5907635439722244	0.07983406718127775	0.48104539018459347	0.05570669062221945	1.4592361054617125	0.13187232296842083	14.682404391744374	0.40227645110819094	16.851047605947507	0.6037590121710952	20.068073098001054	0.4339803689318726	2.094392207354499	0.07742498259895199	2.1304927908720863	0.11074826296486268	1.915113008795036	0.06873047638956112	25.779176324774276	0.5123535655182659	3.5059460745846187	0.3310172710100233	14.796922363582606	0.6943919811293906	11.967530582861205	0.4551460108511594	13.951354465819284	0.2275542966500733	4.2902357635252	0.22379519326562408	12.130866638085816	0.3896192343677593	11.562772026292102	0.7420735328716414	12.679088846223062	0.28481809510737727	8.543032654977427	0.2841148825155011
GMLVQ-BED-1	39.244126007266175	0.6847789599881251	15.21038222099846	0.22347483052441158	0.023012749204843648	0.007018796491090484	0.0043093063842741895	0.009380645078218272	0.1759731090977102	0.020719490573520235	0.5057357604332273	0.03530544280132554	0.3673632374398008	0.012530277702910242	1.9829084166001565	0.1379851773716484	15.548127942095453	0.44720015275340974	24.260379618463936	0.5108895144924995	17.96571095732339	0.3115152239772125	2.6263925050437305	0.04978941674963102	2.3420790800634435	0.05806302395230515	1.8368840496717418	0.029162367673333727	35.18950446953065	0.33923802028164163	2.3126183020210687	0.12896758100940137	11.848488778168154	0.34199281105025325	11.261511797405948	0.29254249413725114	10.781951404439585	0.31274443114185163	4.616140256942914	0.13550699054144097	10.187427678009367	0.39939730347896907	6.207417285863754	0.2806965391922392	12.257964445179995	0.19726228959916817	7.677997297844779	0.531678562029237
LGMLVQ2-BED-1	39.68859825885992	0.4587438100660857	16.00598810270062	0.9116433428373597	0.02843461545960397	0.009866170287199614	-0.0030919164745516967	0.001616233692280518	0.1533219392214252	0.015714426150726792	0.4627272534458441	0.019363719408144926	0.3009193709945415	0.014359626384915085	1.9915644045649987	0.11937944492181207	15.113169469029804	0.08077103595249964	24.37087879662565	0.323408768301564	17.07114488681608	0.26286183289788534	2.558002286247296	0.03337013042749455	2.4376078543689346	0.029337626831298227	1.9043778801057276	0.04458426516677471	35.22787792349081	0.8346842395305004	2.3479277564040046	0.045790069338594974	12.138002629119226	0.15315224387992302	11.584993434586293	0.15447225962686525	10.456632882015912	0.09602284050827695	4.82642600898164	0.19577768838783238	10.532436403525802	0.13808169495416733	5.799227477820506	0.10452983019482046	12.262978276935701	0.1649067996625824	7.616172094254004	0.15205198455017585
GMLVQ-BED-2	38.42097348363642	0.4933507505859873	15.123369924099261	0.19814425432789182	0.020393927417034507	0.006938006752218585	0.01142854290695244	0.008598863826240515	0.1390765606910191	0.02160732676793056	0.4882201470552817	0.037453887599456184	0.3411173248981628	0.013464473655250251	1.942668820522019	0.1312462639623204	15.214058737647353	0.45566825715389897	23.670465588870677	0.4454418180872275	18.018843440884257	0.31331378100591756	2.545841113618626	0.05100267212162302	2.3243289026326615	0.0617408622001772	1.823546604410025	0.02634350752522738	34.778821172299686	0.33106810111236673	2.27951424037235	0.12772313496627283	11.860189372918395	0.34879079672001534	11.548521365005005	0.25422959881690754	11.127531196584735	0.13598835634565934	4.4735486159657345	0.1434829848331107	10.449920653330883	0.35278585480399743	6.503606802755367	0.2510842002627296	12.45555394582193	0.0937618582234853	7.240783030784189	0.5509540321952522
LGMLVQ2-BED-2	41.3790531038626	0.25692429474399997	16.709060054382046	0.7307838390161554	0.054673510071223806	0.01396242340022531	-0.001959149420566857	0.0022081223111276144	0.19440937686493248	0.030260251626297745	0.5227105856583935	0.024264238331478127	0.33608869890136245	0.02202629456747812	2.060384840563191	0.08029833531393755	15.205879346133935	0.12093451962457182	25.609325602601483	0.274711968058049	18.29153458913051	0.27581904408461755	2.5222474967235127	0.0224627532529716	2.285320638348893	0.04663355589814311	1.6787795984002887	0.021495997350106055	35.87853866866933	0.9055772245416234	2.65375972897081	0.15768445633287392	12.45079083579039	0.19328593380947598	12.285879379620706	0.15558605274172527	11.009513936836955	0.2574908519844935	4.951340978735902	0.1308303450869229	10.765573705676141	0.19807002514707012	5.877672427665931	0.11274387535848573	12.51138110547853	0.12458131824417482	7.511344943489585	0.25468581829345943
