	mean (BMI)	std (BMI)	mean (Disorder duration (in Yrs))	std (Disorder duration (in Yrs))	mean (Comorbidity BDL)	std (Comorbidity BDL)	mean (Comorbidity OCD)	std (Comorbidity OCD)	mean (Comorbidity Depression)	std (Comorbidity Depression)	mean (Other psychiatric comorbidities)	std (Other psychiatric comorbidities)	mean (No. of previous treatments w/o effect)	std (No. of previous treatments w/o effect)	mean (No. of previous treatments)	std (No. of previous treatments)	mean (EDEQ-bodyshape)	std (EDEQ-bodyshape)	mean (EDEQ-eating)	std (EDEQ-eating)	mean (EDEQ-weight)	std (EDEQ-weight)	mean (Lav-Dissatisfaction body)	std (Lav-Dissatisfaction body)	mean (Lav-Negative appraisal body)	std (Lav-Negative appraisal body)	mean (Lav-Unfamiliarity with body)	std (Lav-Unfamiliarity with body)	mean (MHCSF-Emotional Well-being)	std (MHCSF-Emotional Well-being)	mean (MHCSF-Psychological Well-being)	std (MHCSF-Psychological Well-being)	mean (MHCSF-Social Well-being)	std (MHCSF-Social Well-being)	mean (Age)	std (Age)	mean (SQ48-Agoraphobia)	std (SQ48-Agoraphobia)	mean (SQ48-Anxiety)	std (SQ48-Anxiety)	mean (SQ48-Cognitive Complaints)	std (SQ48-Cognitive Complaints)	mean (SQ48-Depression)	std (SQ48-Depression)	mean (SQ48-Hostility)	std (SQ48-Hostility)	mean (SQ48-Social phobia)	std (SQ48-Social phobia)	mean (SQ48-Somatic Complaints)	std (SQ48-Somatic Complaints)	mean (SQ48-Vitality)	std (SQ48-Vitality)	mean (SQ48-Work related complaints)	std (SQ48-Work related complaints)
GMLVQ-AN-1	16.494033142158948	4.0826449066031	5.757674543177404	0.746222473477176	0.027682552071558765	0.02131310654475146	0.08984489214225419	0.013104695319274584	0.17437826268457662	0.013554790375758867	0.5853497038099797	0.051467530700911666	0.5106375848038346	0.03488175979471007	1.3965816521217334	0.04053926549841406	4.338906754529359	0.04510318014431696	3.295230290304145	0.07692514959721558	4.0355625349705075	0.14894082778538234	14.64694054972848	0.24382792938868136	16.73364872528888	0.5954119229835825	20.726476041804112	1.8799523195734242	2.052263471351498	0.03785631001101796	2.0252053794691838	0.12230478944597613	1.8797119224544985	0.08875716224069527	25.39220986917293	1.3225305738883997	3.5403883814366415	0.25483103705477433	15.127068987803867	0.6104429171170258	12.304409436865603	0.2609118464232869	14.272775258470006	0.6899262074840399	4.445801232319311	0.1616515430379963	12.680584995216597	0.2588941959416119	11.973515434874832	1.1646047712516414	13.075247458842176	0.27314985720690804	8.264216907528668	0.32631530090972033
LGMLVQ2-AN-1	17.98062405567324	3.7157481538366963	4.97794069876069	1.553670333377432	0.034841233468580556	0.018452461515794365	0.08489341460938504	0.012875165231865219	0.149822389621434	0.061662185492644135	0.5487351938700585	0.06251062177796436	0.4676419884876637	0.11235688763800601	1.376050919974101	0.1750761698525979	4.443554978981283	0.12613197333282647	3.4178889875675806	0.20623050286719688	4.004960567708995	0.1531835728503375	14.306192700736045	0.8183068406506078	17.689583020805625	0.8753747517063161	20.15772185293634	1.2915216469101565	2.127193771241882	0.2487552516552738	2.0849701454482283	0.1454540722300033	1.819657638789229	0.21900299649287425	25.37416373772542	1.087120991517823	3.567172443556487	0.34460230283345666	15.014883714743922	0.30159872374421265	12.324783371187618	0.5210674007044228	13.484132744073483	1.2861653534332422	4.540673766608444	0.3071774032495103	12.538278979515896	0.46735352920895873	11.051728182160733	0.924087957598624	13.0280590923293	0.5137947943006524	8.168680243880093	0.271671202172544
GMLVQ-AN-2	14.535690224156479	3.5237403639375713	5.489247389526429	0.813739296988192	0.01633740323461012	0.02033404047682056	0.09442833695342003	0.013646154335571078	0.17538423285823287	0.021397049278334884	0.6192318039879149	0.03246043399031591	0.5186469087567303	0.03771389085995764	1.3696525602813756	0.026097506193295556	4.358887746449775	0.025134019087189194	3.2947917349312115	0.06970144757059646	4.113619123895818	0.14014472701877295	14.592178663747188	0.19899744486900267	16.62906536953321	0.5515620906182902	21.778983087996036	1.6021894274068889	2.061909659822878	0.04743770743106	2.000213109211068	0.12539872690762077	1.9190673375570555	0.07051457374599393	24.725243116172557	1.3621640510574342	3.808858845860725	0.16573468572012262	15.597974309694973	0.4897584337374432	12.512074678206158	0.2341088880661203	14.57130356296047	0.6530812817816531	4.354298620263439	0.08024552091913571	12.751323000442904	0.2614359194887428	12.567369290950262	1.0205131487784904	13.219376303832087	0.22086875792769634	8.196859759473403	0.3217981727776021
LGMLVQ2-AN-2	17.437911561492605	1.9012450448939513	7.547357284952421	2.027111932745407	0.014642911406451093	0.018540770047930814	0.0699764925444636	0.008906425136847166	0.165500664705666	0.07156773041094694	0.5894387728962563	0.02999635117789936	0.5113668102245411	0.1358143058352104	1.3823751385548633	0.2924986835841121	4.342858188019806	0.08840156834317989	3.3736358994971907	0.10368867336838813	3.837669255266799	0.2075592865654295	14.497067739280846	1.227274928590587	17.238322334142005	0.5090168654850119	20.231700859375252	1.1384262663714457	2.0702648666210517	0.28809195823672507	2.0868880458306167	0.09168504429568841	1.8987160780409762	0.2040546281777685	25.36839196483259	0.5322030718734138	3.6095960551902238	0.4509942638517437	15.216701804751244	0.3851666209939988	12.318265887849652	0.361798522432711	14.0483724346178	1.4636252225281123	4.414104032323266	0.5127702295569004	12.328191612166957	0.5606228666548002	11.612650986365647	1.2153091965140033	13.221935313106798	0.6261145568115232	8.519573551885708	0.27376529895803303
GMLVQ-AN-3	18.185945173323653	2.4212821410204985	6.062148411157588	0.30169120747101014	0.03824093191637873	0.014867657362795094	0.07974654027285837	0.003730552872527863	0.17887569111772836	0.01393957552947491	0.570494276479633	0.04002366414391282	0.4918475478038329	0.019730924901080384	1.4239099986356785	0.023346001495332364	4.252073084558298	0.06493272546256092	3.230731567940123	0.08642525706578881	3.9263918012272176	0.06492843350699912	14.29975268156285	0.3320997313361449	16.300714243529633	0.5205658368885067	19.11752153044926	0.5470175949116667	2.1909448604303665	0.036564158452549296	2.1400625810020655	0.052476325580783044	1.9371819763827858	0.12191745207084867	25.664843817122783	0.8745813923763475	3.427982147313955	0.1797538545587846	14.639907034189008	0.3099057560169421	12.004029984981567	0.07671013895871923	13.615288615325662	0.1490689387175737	4.373688097809666	0.1678525381819	12.235660890851793	0.1571501639264575	10.903960794550057	0.3427427365996583	12.810218071482836	0.09023307410675033	8.256534497813714	0.2654647714959043
LGMLVQ2-AN-3	15.974355988231949	5.421003934797756	4.840484314296953	1.0445574865489138	0.034427685251695206	0.024075642701771708	0.07558551939170124	0.00632937350533602	0.15613759707406422	0.09409122088152787	0.6062614738196392	0.05983750435169363	0.5267807799044804	0.09267576823185451	1.476770409915718	0.17318531235261805	4.415259784600082	0.07038460955988853	3.389177082268874	0.26701312344806327	3.9241043400708513	0.1021021718278123	14.729110686300322	0.6447397601205723	17.579157672751403	1.307354874115542	20.28612283907355	1.3491080703853502	2.0556187005409554	0.18920937147483585	2.053711996493612	0.1439579453109749	1.9539509968268045	0.16654374720777163	25.6051517929556	1.1702911006537149	3.5247790534213346	0.2825725556490494	14.77833181536748	0.3004054382635524	12.193147362306238	0.44809490101479144	14.551959359574616	1.234974591762686	4.716197880100784	0.38189494585688993	12.446099443516903	0.4607974412070911	11.756145547812784	0.5506706327187917	12.624784800069586	0.27696339377842216	7.845218944870377	0.3891568819350583
GMLVQ-BED-1	40.19975465048516	3.526984914743024	15.578903437649739	2.3160623473525854	0.03903564549712443	0.0223736208208941	0.0003361809470934507	0.01672940117124681	0.16768371609327742	0.04084772331555843	0.4738969427619605	0.012673801761312472	0.33707218982811504	0.08769420578612594	1.6571426468119352	0.05280435411099805	4.474005767734765	0.04267919301508577	3.273181011667707	0.24106083210419824	4.055203017355915	0.057082905970213794	15.431471269473793	0.16879623276445707	24.786195207355064	1.023328441973551	17.31972157379128	1.3157692780638583	2.54678997452766	0.21056234900712995	2.4015208866654816	0.04349319343193785	1.765677924573993	0.02480999607786193	35.39129511753511	0.7354831965257059	2.2380745893885754	0.364819829969113	11.981134180694836	0.6670371651583706	11.80727152500765	0.6160377031839999	10.723215548602884	0.7546623802265608	5.034333189978048	0.48398396104165387	10.82008253558639	0.6420256317797622	5.71420337669147	0.4946003483489756	12.108060235764253	0.21050205062326585	7.709190571652583	0.37731785653818767
LGMLVQ2-BED-1	37.797778825169146	3.335666219004563	16.93190990937697	3.0008954095526073	0.03227056592284479	0.005980538340926681	0.0026529398514546117	0.005308058538662551	0.1710917960446005	0.010088628478607458	0.48445653550967355	0.1550586789623648	0.3341719456157568	0.054285018375592124	1.617022566645121	0.046012747423748494	4.476764618581183	0.13461734120313315	3.2848105629788344	0.11421025834417381	4.153461862534533	0.06424636183094508	15.148695171565501	0.13642054370910905	23.75284404341495	0.542250970010283	17.201092818244636	1.5597084760881097	2.4985907369130484	0.12726377619491938	2.3407449346075273	0.06958039997492721	1.8366661218558054	0.04825977983673945	34.87801199466726	0.7155097254497296	2.5275940733323767	0.43062853268066226	11.946168894972546	0.3667994627917766	11.508931750785056	0.3196019332070841	10.879580557721997	0.26073951591081046	4.997603900858769	0.30746750108783977	10.663468863238283	0.92697119568603	6.165223680330925	1.3200071966253528	12.156788221171007	0.0733052491401052	7.330007820253554	0.5764211583170588
GMLVQ-BED-2	40.82859497683175	3.533252755811426	16.06196998210679	2.2433631925204836	0.03135328172871443	0.02323326726073985	-0.0038251322881143997	0.01741949179970905	0.17798247787524565	0.042789818440843425	0.4774875086092269	0.010931262253225708	0.3031625725986764	0.0878237956666146	1.6261655297215298	0.046899713763140984	4.4116269348112045	0.030103938451826392	3.1794060704153955	0.23033382348409925	4.080657738602548	0.0535591955407184	15.360076193588466	0.15589143565530983	25.110983083462788	1.0978373562647936	17.923982700546663	1.1341012282853549	2.6314706874660403	0.2074277820218889	2.3680745838960724	0.025422467844510712	1.7688480337992214	0.03571282269870066	35.69492236041917	0.891011267353033	2.4326973222674932	0.36582997641821224	12.256974193587164	0.6755683400005944	11.970573223907186	0.547573546600094	10.482538560531172	0.7646145101938238	4.809128548091181	0.45341176501878455	10.521529922879326	0.6161773715597417	5.640747660414052	0.5854912096720359	12.261482593848033	0.20159123161202191	7.808056573977325	0.4418693704453962
LGMLVQ2-BED-2	37.78909715638638	3.3973671778075563	14.714130772840594	3.0386564433125414	0.02122238193738764	0.005278687101450124	0.0006519827369139766	0.006388562837910598	0.17310170087771398	0.009825492440626539	0.50016537568904	0.15340415372435728	0.30779138631564457	0.05622392529950632	1.6209974176223898	0.05411984479341875	4.467660069739989	0.13405937003991664	3.2836782798451205	0.10143041883118661	4.0486283792548425	0.07127884702725022	15.09488341565183	0.12469910891301327	24.37075411274759	0.8385296941017536	17.703353306542372	1.4580841846830934	2.4344743953461867	0.1259902942859252	2.3031332420810267	0.06597892975142906	1.7930898585465922	0.08008213881893016	35.212518540984505	0.6694175079314979	2.426346335968667	0.3886561423934756	12.084437340552459	0.33085918025434197	11.902851016183103	0.38320373409721104	10.714907690828515	0.2566634045433698	4.669526941752247	0.3115567728461641	10.416076111425713	0.9160630415495723	6.277670954993854	1.1259820394971174	12.165532807736122	0.08443843952445174	7.554194211873169	0.6026363048106919
