Clf-Split,Acc-Anorexia nervosa,Acc-Binge-ED,Acc-Bulimia nervosa,Acc-Others,MAA,AUC-Anorexia nervosa,AUC-Binge-ED,AUC-Bulimia nervosa,AUC-Others,Avg-Wgt
RF-Training,0.968 (0.011) ,0.939 (0.021) ,0.749 (0.021) ,0.688 (0.041) ,0.836 (0.123) ,0.990 (0.002) ,0.992 (0.001) ,0.994 (0.001) ,0.978 (0.002) ,0.988 (0.001) 
RF-Test,0.823 (0.052) ,0.727 (0.000) ,0.091 (0.000) ,0.385 (0.000) ,0.506 (0.291) ,0.721 (0.013) ,0.907 (0.004) ,0.653 (0.018) ,0.703 (0.011) ,0.739 (0.006) 
KNN-Training,0.867 (0.000) ,0.722 (0.000) ,0.400 (0.000) ,0.465 (0.000) ,0.614 (0.189) ,0.861 (0.000) ,0.933 (0.000) ,0.917 (0.000) ,0.856 (0.000) ,0.884 (0.000) 
KNN-Test,0.731 (0.000) ,0.818 (0.000) ,0.182 (0.000) ,0.077 (0.000) ,0.452 (0.326) ,0.615 (0.000) ,0.882 (0.000) ,0.500 (0.000) ,0.545 (0.000) ,0.627 (0.000) 
LDA-Training,0.747 (0.000) ,0.694 (0.000) ,0.400 (0.000) ,0.442 (0.000) ,0.571 (0.152) ,0.812 (0.000) ,0.923 (0.000) ,0.792 (0.000) ,0.806 (0.000) ,0.828 (0.000) 
LDA-Test,0.654 (0.000) ,0.727 (0.000) ,0.091 (0.000) ,0.077 (0.000) ,0.387 (0.304) ,0.719 (0.000) ,0.885 (0.000) ,0.645 (0.000) ,0.542 (0.000) ,0.698 (0.000) 
QDA-Training,0.840 (0.000) ,1.000 (0.000) ,0.886 (0.000) ,0.791 (0.000) ,0.879 (0.077) ,0.958 (0.000) ,0.994 (0.000) ,0.979 (0.000) ,0.962 (0.000) ,0.969 (0.000) 
QDA-Test,0.462 (0.000) ,0.455 (0.000) ,0.182 (0.000) ,0.308 (0.000) ,0.351 (0.116) ,0.569 (0.000) ,0.838 (0.000) ,0.593 (0.000) ,0.510 (0.000) ,0.609 (0.000) 
LSVC-Training,0.840 (0.000) ,0.750 (0.000) ,0.514 (0.000) ,0.442 (0.000) ,0.637 (0.164) ,0.804 (0.006) ,0.926 (0.001) ,0.738 (0.005) ,0.795 (0.004) ,0.813 (0.004) 
LSVC-Test,0.731 (0.000) ,0.636 (0.000) ,0.182 (0.000) ,0.154 (0.000) ,0.426 (0.260) ,0.720 (0.009) ,0.859 (0.007) ,0.676 (0.009) ,0.535 (0.019) ,0.698 (0.004) 
RSVC-Training,1.000 (0.000) ,1.000 (0.000) ,1.000 (0.000) ,1.000 (0.000) ,1.000 (0.000) ,0.000 (0.000) ,0.000 (0.000) ,0.000 (0.000) ,0.000 (0.000) ,0.000 (0.000) 
RSVC-Test,1.000 (0.000) ,0.000 (0.000) ,0.000 (0.000) ,0.000 (0.000) ,0.250 (0.433) ,0.515 (0.028) ,0.193 (0.017) ,0.552 (0.006) ,0.524 (0.004) ,0.465 (0.017) 
GMLVQ-Training,0.864 (0.020) ,0.872 (0.045) ,0.617 (0.056) ,0.437 (0.017) ,0.698 (0.186) ,0.849 (0.007) ,0.951 (0.011) ,0.853 (0.020) ,0.771 (0.026) ,0.851 (0.012) 
GMLVQ-Test,0.562 (0.039) ,0.727 (0.081) ,0.145 (0.045) ,0.138 (0.058) ,0.393 (0.264) ,0.666 (0.034) ,0.855 (0.027) ,0.539 (0.065) ,0.606 (0.040) ,0.665 (0.024) 
LGMLVQ1-Training,0.936 (0.021) ,0.956 (0.022) ,0.840 (0.034) ,0.772 (0.052) ,0.876 (0.082) ,0.850 (0.022) ,0.956 (0.012) ,0.837 (0.013) ,0.836 (0.027) ,0.865 (0.015) 
LGMLVQ1-Test,0.646 (0.066) ,0.509 (0.093) ,0.182 (0.081) ,0.246 (0.058) ,0.396 (0.204) ,0.483 (0.027) ,0.807 (0.019) ,0.545 (0.031) ,0.489 (0.054) ,0.554 (0.015) 
LGMLVQ2-Training,0.936 (0.021) ,0.956 (0.022) ,0.840 (0.034) ,0.772 (0.052) ,0.876 (0.082) ,0.850 (0.022) ,0.956 (0.012) ,0.837 (0.013) ,0.836 (0.027) ,0.865 (0.015) 
LGMLVQ2-Test,0.646 (0.066) ,0.509 (0.093) ,0.182 (0.081) ,0.246 (0.058) ,0.396 (0.204) ,0.483 (0.027) ,0.807 (0.019) ,0.545 (0.031) ,0.489 (0.054) ,0.554 (0.015) 
GNB-Training,0.573 (0.000) ,0.667 (0.000) ,0.486 (0.000) ,0.512 (0.000) ,0.559 (0.070) ,0.758 (0.000) ,0.848 (0.000) ,0.768 (0.000) ,0.762 (0.000) ,0.778 (0.000) 
GNB-Test,0.462 (0.000) ,0.727 (0.000) ,0.091 (0.000) ,0.154 (0.000) ,0.358 (0.255) ,0.707 (0.000) ,0.829 (0.000) ,0.491 (0.000) ,0.457 (0.000) ,0.637 (0.000) 
LogLASSO-Training,0.560 (0.000) ,0.806 (0.000) ,0.543 (0.000) ,0.651 (0.000) ,0.640 (0.104) ,0.809 (0.000) ,0.937 (0.000) ,0.787 (0.000) ,0.814 (0.000) ,0.831 (0.000) 
LogLASSO-Test,0.423 (0.000) ,0.818 (0.000) ,0.182 (0.000) ,0.308 (0.000) ,0.433 (0.238) ,0.679 (0.000) ,0.853 (0.000) ,0.600 (0.000) ,0.566 (0.000) ,0.672 (0.000) 
