Clf-Split,Acc-Anorexia nervosa,Acc-Binge-ED,Acc-Bulimia nervosa,Acc-Other ED,MAA,AUC-Anorexia nervosa,AUC-Binge-ED,AUC-Bulimia nervosa,AUC-Other ED,Avg-Wgt
RF-Training,0.961 (0.008) ,0.953 (0.016) ,0.771 (0.017) ,0.794 (0.025) ,0.870 (0.090) ,0.981 (0.001) ,0.984 (0.001) ,0.981 (0.002) ,0.986 (0.001) ,0.983 (0.001) 
RF-Test,0.800 (0.000) ,0.600 (0.000) ,0.000 (0.000) ,0.200 (0.000) ,0.400 (0.316) ,0.773 (0.005) ,0.824 (0.007) ,0.574 (0.013) ,0.725 (0.016) ,0.737 (0.004) 
KNN-Training,0.839 (0.000) ,0.733 (0.000) ,0.429 (0.000) ,0.469 (0.000) ,0.617 (0.173) ,0.887 (0.000) ,0.961 (0.000) ,0.906 (0.000) ,0.914 (0.000) ,0.911 (0.000) 
KNN-Test,0.850 (0.000) ,0.300 (0.000) ,0.111 (0.000) ,0.300 (0.000) ,0.390 (0.276) ,0.748 (0.000) ,0.683 (0.000) ,0.722 (0.000) ,0.635 (0.000) ,0.707 (0.000) 
LDA-Training,0.855 (0.000) ,0.767 (0.000) ,0.607 (0.000) ,0.531 (0.000) ,0.690 (0.128) ,0.925 (0.000) ,0.976 (0.000) ,0.905 (0.000) ,0.826 (0.000) ,0.911 (0.000) 
LDA-Test,0.750 (0.000) ,0.600 (0.000) ,0.111 (0.000) ,0.300 (0.000) ,0.440 (0.250) ,0.828 (0.000) ,0.746 (0.000) ,0.747 (0.000) ,0.492 (0.000) ,0.728 (0.000) 
QDA-Training,1.000 (0.000) ,1.000 (0.000) ,0.964 (0.000) ,0.938 (0.000) ,0.975 (0.026) ,0.998 (0.000) ,0.999 (0.000) ,1.000 (0.000) ,0.976 (0.000) ,0.994 (0.000) 
QDA-Test,0.850 (0.000) ,0.000 (0.000) ,0.000 (0.000) ,0.100 (0.000) ,0.237 (0.356) ,0.661 (0.000) ,0.597 (0.000) ,0.506 (0.000) ,0.569 (0.000) ,0.601 (0.000) 
LSVC-Training,0.935 (0.000) ,0.900 (0.000) ,0.750 (0.000) ,0.656 (0.000) ,0.810 (0.113) ,0.919 (0.006) ,0.978 (0.000) ,0.875 (0.011) ,0.813 (0.025) ,0.900 (0.008) 
LSVC-Test,0.700 (0.000) ,0.600 (0.000) ,0.111 (0.000) ,0.100 (0.000) ,0.378 (0.275) ,0.779 (0.007) ,0.791 (0.003) ,0.696 (0.012) ,0.460 (0.026) ,0.701 (0.005) 
RSVC-Training,0.984 (0.000) ,1.000 (0.000) ,1.000 (0.000) ,0.969 (0.000) ,0.988 (0.013) ,0.996 (0.002) ,0.998 (0.000) ,0.997 (0.004) ,0.999 (0.002) ,0.997 (0.001) 
RSVC-Test,0.700 (0.000) ,0.600 (0.000) ,0.222 (0.000) ,0.400 (0.000) ,0.481 (0.184) ,0.839 (0.004) ,0.838 (0.004) ,0.708 (0.021) ,0.633 (0.007) ,0.773 (0.004) 
GMLVQ-Training,0.877 (0.008) ,0.860 (0.033) ,0.643 (0.032) ,0.575 (0.037) ,0.739 (0.136) ,0.901 (0.002) ,0.940 (0.001) ,0.781 (0.024) ,0.675 (0.026) ,0.839 (0.010) 
GMLVQ-Test,0.670 (0.040) ,0.400 (0.089) ,0.022 (0.044) ,0.280 (0.098) ,0.343 (0.244) ,0.782 (0.010) ,0.800 (0.007) ,0.484 (0.013) ,0.493 (0.013) ,0.672 (0.005) 
LGMLVQ1-Training,0.987 (0.006) ,0.993 (0.013) ,0.836 (0.062) ,0.919 (0.032) ,0.934 (0.073) ,0.958 (0.017) ,0.990 (0.001) ,0.877 (0.026) ,0.918 (0.020) ,0.941 (0.016) 
LGMLVQ1-Test,0.820 (0.093) ,0.060 (0.080) ,0.133 (0.044) ,0.280 (0.040) ,0.323 (0.305) ,0.711 (0.025) ,0.624 (0.035) ,0.542 (0.064) ,0.689 (0.029) ,0.657 (0.023) 
LGMLVQ2-Training,0.994 (0.008) ,0.993 (0.013) ,0.871 (0.036) ,0.950 (0.025) ,0.952 (0.055) ,0.963 (0.008) ,0.990 (0.002) ,0.851 (0.035) ,0.902 (0.020) ,0.935 (0.012) 
LGMLVQ2-Test,0.750 (0.055) ,0.280 (0.117) ,0.044 (0.054) ,0.200 (0.089) ,0.319 (0.276) ,0.741 (0.025) ,0.692 (0.022) ,0.469 (0.055) ,0.679 (0.026) ,0.669 (0.008) 
GNB-Training,0.097 (0.000) ,0.767 (0.000) ,0.786 (0.000) ,0.594 (0.000) ,0.561 (0.278) ,0.882 (0.000) ,0.939 (0.000) ,0.807 (0.000) ,0.704 (0.000) ,0.842 (0.000) 
GNB-Test,0.100 (0.000) ,0.500 (0.000) ,0.556 (0.000) ,0.400 (0.000) ,0.389 (0.176) ,0.812 (0.000) ,0.777 (0.000) ,0.656 (0.000) ,0.564 (0.000) ,0.726 (0.000) 
LogLASSO-Training,0.806 (0.000) ,0.900 (0.000) ,0.714 (0.000) ,0.594 (0.000) ,0.754 (0.113) ,0.933 (0.000) ,0.976 (0.000) ,0.899 (0.000) ,0.833 (0.000) ,0.914 (0.000) 
LogLASSO-Test,0.750 (0.000) ,0.600 (0.000) ,0.222 (0.000) ,0.200 (0.000) ,0.443 (0.238) ,0.814 (0.000) ,0.805 (0.000) ,0.744 (0.000) ,0.562 (0.001) ,0.748 (0.000) 
