Clf-Split,Acc-Anorexia nervosa,Acc-Binge-ED,Acc-Bulimia nervosa,Acc-Other ED,MAA,AUC-Anorexia nervosa,AUC-Binge-ED,AUC-Bulimia nervosa,AUC-Other ED,Avg-Wgt
RF-Training,0.981 (0.006) ,0.933 (0.000) ,0.714 (0.039) ,0.600 (0.012) ,0.807 (0.158) ,0.972 (0.001) ,0.982 (0.001) ,0.974 (0.002) ,0.998 (0.000) ,0.980 (0.001) 
RF-Test,0.850 (0.032) ,0.700 (0.000) ,0.044 (0.054) ,0.320 (0.075) ,0.479 (0.320) ,0.793 (0.006) ,0.849 (0.008) ,0.576 (0.011) ,0.738 (0.021) ,0.753 (0.006) 
KNN-Training,0.887 (0.000) ,0.767 (0.000) ,0.500 (0.000) ,0.344 (0.000) ,0.624 (0.214) ,0.888 (0.000) ,0.964 (0.000) ,0.903 (0.000) ,0.889 (0.000) ,0.906 (0.000) 
KNN-Test,0.900 (0.000) ,0.300 (0.000) ,0.222 (0.000) ,0.000 (0.000) ,0.356 (0.333) ,0.672 (0.000) ,0.786 (0.000) ,0.583 (0.000) ,0.572 (0.000) ,0.658 (0.000) 
LDA-Training,0.871 (0.000) ,0.733 (0.000) ,0.536 (0.000) ,0.500 (0.000) ,0.660 (0.151) ,0.918 (0.000) ,0.937 (0.000) ,0.849 (0.000) ,0.807 (0.000) ,0.886 (0.000) 
LDA-Test,0.850 (0.000) ,0.700 (0.000) ,0.222 (0.000) ,0.300 (0.000) ,0.518 (0.264) ,0.850 (0.000) ,0.756 (0.000) ,0.753 (0.000) ,0.603 (0.000) ,0.763 (0.000) 
QDA-Training,0.935 (0.000) ,1.000 (0.000) ,0.893 (0.000) ,0.938 (0.000) ,0.941 (0.038) ,0.999 (0.000) ,1.000 (0.000) ,0.995 (0.000) ,0.997 (0.000) ,0.998 (0.000) 
QDA-Test,0.700 (0.000) ,0.200 (0.000) ,0.111 (0.000) ,0.300 (0.000) ,0.328 (0.225) ,0.650 (0.000) ,0.649 (0.000) ,0.481 (0.000) ,0.628 (0.000) ,0.614 (0.000) 
LSVC-Training,0.935 (0.000) ,0.933 (0.000) ,0.679 (0.000) ,0.594 (0.000) ,0.785 (0.152) ,0.912 (0.001) ,0.943 (0.001) ,0.820 (0.025) ,0.817 (0.028) ,0.881 (0.007) 
LSVC-Test,0.850 (0.000) ,0.400 (0.000) ,0.222 (0.000) ,0.300 (0.000) ,0.443 (0.243) ,0.791 (0.004) ,0.741 (0.003) ,0.708 (0.026) ,0.566 (0.012) ,0.720 (0.002) 
RSVC-Training,1.000 (0.000) ,1.000 (0.000) ,0.893 (0.000) ,1.000 (0.000) ,0.973 (0.046) ,0.996 (0.001) ,0.998 (0.000) ,0.974 (0.011) ,0.983 (0.014) ,0.990 (0.005) 
RSVC-Test,0.850 (0.000) ,0.500 (0.000) ,0.333 (0.000) ,0.300 (0.000) ,0.496 (0.218) ,0.841 (0.008) ,0.805 (0.004) ,0.739 (0.019) ,0.618 (0.012) ,0.769 (0.005) 
GMLVQ-Training,0.897 (0.026) ,0.833 (0.021) ,0.586 (0.017) ,0.581 (0.042) ,0.724 (0.145) ,0.913 (0.015) ,0.927 (0.004) ,0.811 (0.016) ,0.797 (0.010) ,0.873 (0.008) 
GMLVQ-Test,0.790 (0.020) ,0.600 (0.089) ,0.133 (0.044) ,0.220 (0.040) ,0.436 (0.275) ,0.784 (0.038) ,0.834 (0.014) ,0.606 (0.087) ,0.525 (0.013) ,0.709 (0.034) 
LGMLVQ1-Training,0.939 (0.021) ,0.900 (0.021) ,0.879 (0.036) ,0.906 (0.020) ,0.906 (0.033) ,0.944 (0.011) ,0.973 (0.011) ,0.814 (0.031) ,0.799 (0.036) ,0.895 (0.020) 
LGMLVQ1-Test,0.680 (0.060) ,0.180 (0.040) ,0.044 (0.054) ,0.300 (0.063) ,0.301 (0.243) ,0.681 (0.029) ,0.656 (0.036) ,0.499 (0.037) ,0.475 (0.023) ,0.601 (0.020) 
LGMLVQ2-Training,0.961 (0.019) ,0.900 (0.042) ,0.757 (0.035) ,0.850 (0.036) ,0.867 (0.082) ,0.921 (0.011) ,0.964 (0.004) ,0.781 (0.038) ,0.755 (0.030) ,0.869 (0.018) 
LGMLVQ2-Test,0.670 (0.024) ,0.220 (0.075) ,0.111 (0.000) ,0.180 (0.075) ,0.295 (0.226) ,0.765 (0.034) ,0.598 (0.040) ,0.587 (0.039) ,0.426 (0.022) ,0.629 (0.019) 
GNB-Training,0.113 (0.000) ,0.767 (0.000) ,0.750 (0.000) ,0.688 (0.000) ,0.579 (0.271) ,0.888 (0.000) ,0.922 (0.000) ,0.816 (0.000) ,0.752 (0.000) ,0.853 (0.000) 
GNB-Test,0.100 (0.000) ,0.700 (0.000) ,0.444 (0.000) ,0.300 (0.000) ,0.386 (0.219) ,0.767 (0.000) ,0.738 (0.000) ,0.658 (0.000) ,0.541 (0.000) ,0.695 (0.000) 
LogLASSO-Training,0.742 (0.000) ,0.867 (0.000) ,0.643 (0.000) ,0.562 (0.000) ,0.703 (0.114) ,0.910 (0.000) ,0.941 (0.000) ,0.879 (0.000) ,0.835 (0.000) ,0.895 (0.000) 
LogLASSO-Test,0.750 (0.000) ,0.600 (0.000) ,0.333 (0.000) ,0.400 (0.000) ,0.521 (0.165) ,0.829 (0.000) ,0.815 (0.001) ,0.772 (0.000) ,0.592 (0.000) ,0.768 (0.000) 
