	mean (Lav-Dissatisfaction body)	std (Lav-Dissatisfaction body)	mean (Lav-Negative appraisal body)	std (Lav-Negative appraisal body)	mean (Lav-Unfamiliarity with body)	std (Lav-Unfamiliarity with body)	mean (MHCSF-Emotional Well-being)	std (MHCSF-Emotional Well-being)	mean (MHCSF-Psychological Well-being)	std (MHCSF-Psychological Well-being)	mean (MHCSF-Social Well-being)	std (MHCSF-Social Well-being)	mean (Age)	std (Age)	mean (SQ48-Agoraphobia)	std (SQ48-Agoraphobia)	mean (SQ48-Anxiety)	std (SQ48-Anxiety)	mean (SQ48-Cognitive Complaints)	std (SQ48-Cognitive Complaints)	mean (SQ48-Depression)	std (SQ48-Depression)	mean (SQ48-Hostility)	std (SQ48-Hostility)	mean (SQ48-Social phobia)	std (SQ48-Social phobia)	mean (SQ48-Somatic Complaints)	std (SQ48-Somatic Complaints)	mean (SQ48-Vitality)	std (SQ48-Vitality)	mean (SQ48-Work related complaints)	std (SQ48-Work related complaints)
RF	0.058815867762130415	0.0014882778541308748	0.12283432408317914	0.0029386807690273786	0.052174577349755655	0.0037602425376372715	0.03818628981605557	0.004216788807327412	0.03892001583225433	0.0027386088746541998	0.037986786262330055	0.00152461385848817	0.19830362723158937	0.0037381848064162383	0.02324420960830596	0.0012841427260851075	0.037206208527384564	0.0022061275711407714	0.030173266328648703	0.001731072463213524	0.05519297819637561	0.003053229362736904	0.04429253270640524	0.0022162840830268165	0.03949145419902299	0.0018685930874144286	0.13358214144480268	0.004011548340030441	0.040431791813585846	0.0013942461327802822	0.04916392883817392	0.0015618807731412703
KNN	0.10803024738892696	0.11477933394105218	0.06630376168974617	0.12286097815996841	0.10226458344400922	0.11592098045161807	0.006351674696637206	0.015448667786591116	0.014270729982755746	0.027850962489064015	0.06146455496103578	0.0877269183037287	0.08811649699158908	0.12810598624780864	0.06709990082863931	0.1116204440540138	0.0013112542559717544	0.00526139829365346	0.007280594637818701	0.023564907503125756	0.013245031471532305	0.034037251805730376	0.03843609516834864	0.07387898252196615	0.03774453907048973	0.07025488748356074	0.0669293259974914	0.09666554782622458	0.1732646598745066	0.13715894870917086	0.004455522582799628	0.015838623116414454
RSVC	0.006337068994230667	0.0005537079883660658	0.0059786052459492	0.0006737125530923598	0.006151959780581904	0.0007194605283218121	0.006629766284674241	0.0006284668670274254	0.006084903407064739	0.0006672912810398237	0.006781732234229784	0.0006237327879494266	0.00610362272096226	0.0006841364615682817	0.005566940232764091	0.0006174692947118469	0.006197829295859796	0.0006802670744562755	0.006483554470045104	0.0006784601086677488	0.006289504199327881	0.0005681282607748788	0.005926127836444596	0.0005988686952750038	0.0064877547718397936	0.0006622791469273666	0.006230290405620798	0.0006348054320410025	0.006395420350465186	0.0006091070776655162	0.006354919769939963	0.0006330575630622548
LDA	0.0028063743950018827	0.006010457481492212	0.018403648314043786	0.01579377065717337	0.006869687774444993	0.008715155431082953	0.005612287291683798	0.00739068569035542	0.002019660954569846	0.004707569147891684	0.007355983228161495	0.009394232720221187	0.03527405120963447	0.016119733555679173	0.0027237658748889243	0.00654181229940597	0.006607775702536892	0.008894267543697805	0.018299140493864698	0.01202611442560713	0.0020586598660977235	0.003927359440240453	0.005883045786484059	0.007897576793709423	0.008997626492703067	0.009632289085662969	0.032672296523328634	0.012797299518320102	0.01029364481119485	0.010715375154020478	0.004946359860522624	0.0077180684941725265
GMLVQ	0.032028625319487705	0.007676465576369319	0.20115995101981815	0.04816709193697877	0.09288736105182653	0.06909508966432035	0.035861037142829	0.011665576172301547	0.10743610970547372	0.049291339940947844	0.055399203092817054	0.03610224420538638	0.04824441083621559	0.008887900148896195	0.053739174772755215	0.028948170601914392	0.05731577549034855	0.023349645357489325	0.036387710937133416	0.027456113710615737	0.06152624254601702	0.03806112965942574	0.028653521713347986	0.016295084493215047	0.05373863678428241	0.015298509260573037	0.059179509851953804	0.01717681255570113	0.06401072916793507	0.02153448969255269	0.012432000567758724	0.004918687655755475
GNB-AN	0.04739968981751677	0.0	0.06474901980004752	0.0	0.06915687411032424	0.0	0.06733959523035188	0.0	0.06385955574562516	0.0	0.06085548275121959	0.0	0.043886086477671636	0.0	0.06183716008316796	6.938893903907228e-18	0.05506390516681699	0.0	0.06244133014370856	0.0	0.06509649351576251	0.0	0.06966980387903149	0.0	0.06174903640032249	0.0	0.06230290208200477	0.0	0.0696948804808791	0.0	0.07489818431554923	0.0
LGMLVQ2-AN	0.186587315033414	0.026467186594572256	0.030372130525566844	0.009712937493461119	0.01684280368521019	0.007867728912385089	0.013284190812456482	0.016212098079890644	0.026860902056589708	0.013360877026524737	0.07322110432152738	0.01432975366313519	0.07032134367728801	0.016422080883177523	0.05427994786960881	0.015906798006076805	0.11411702871812963	0.014912312165936864	0.011963697635018578	0.006808764585164395	0.03657361484248643	0.02053974065761686	0.0011515904848098646	0.0013442367426774943	0.0043246345582549865	0.002768817708747018	0.16376597590214345	0.06214116279952695	0.18188219274100564	0.06775840028407941	0.014451527136489988	0.010674992157202294
LogLASSO-AN	0.03349653283321221	0.005708294549018835	0.3064458797321158	0.002747724253716098	0.17818435154356618	0.0019345413214550153	0.0	0.0	0.0	0.0	0.0	0.0	0.060249762584316593	0.0019661296533079937	0.00026755425793153467	4.7631313375521e-06	0.01216618552464016	0.005045528336759759	0.07555849205226241	0.0010218008990877157	0.0	0.0	0.09959437987174176	0.0013469444467145992	0.04652978609124273	0.004262829477464326	0.1853069401175807	0.002505309129342958	0.0022001353913900026	0.0017901363106466517	0.0	0.0
GNB-BED	0.09398098939625193	0.0	0.04893125406993283	0.0	0.06479142081019588	0.0	0.0699083145726734	0.0	0.0717053988487459	0.0	0.06594570378336535	0.0	0.09354820350445905	0.0	0.0552693604159548	0.0	0.06930278226786034	0.0	0.053163025286621216	0.0	0.058591437866403695	0.0	0.06369939610982665	0.0	0.07162405888790055	0.0	0.028597517824257256	3.469446951953614e-18	0.04856790064838282	0.0	0.042373235707168284	0.0
LGMLVQ2-BED	0.028965442317498053	0.014890101567667735	0.10221642378794557	0.03976214294608189	0.038836244150622756	0.010074600607392788	0.06734044672999573	0.039755010176156486	0.20859412953026366	0.0924481999693433	0.08425035139674755	0.05123622746717097	0.04973972411377049	0.020727180151179678	0.034631060608874595	0.010867126670078489	0.010756891831313602	0.0047046981415032945	0.03203360861134198	0.018648633326854087	0.07252649473243784	0.02475823679859398	0.03726809404855909	0.018575848388275598	0.006383046699802783	0.005244399853449978	0.1378423324274086	0.060344429993992886	0.06539368489575115	0.017323698837854035	0.02322202411766639	0.014870924979936367
