	mean (Lav-Dissatisfaction body)	std (Lav-Dissatisfaction body)	mean (Lav-Negative appraisal body)	std (Lav-Negative appraisal body)	mean (Lav-Unfamiliarity with body)	std (Lav-Unfamiliarity with body)	mean (MHCSF-Emotional Well-being)	std (MHCSF-Emotional Well-being)	mean (MHCSF-Psychological Well-being)	std (MHCSF-Psychological Well-being)	mean (MHCSF-Social Well-being)	std (MHCSF-Social Well-being)	mean (Age)	std (Age)	mean (SQ48-Agoraphobia)	std (SQ48-Agoraphobia)	mean (SQ48-Anxiety)	std (SQ48-Anxiety)	mean (SQ48-Cognitive Complaints)	std (SQ48-Cognitive Complaints)	mean (SQ48-Depression)	std (SQ48-Depression)	mean (SQ48-Hostility)	std (SQ48-Hostility)	mean (SQ48-Social phobia)	std (SQ48-Social phobia)	mean (SQ48-Somatic Complaints)	std (SQ48-Somatic Complaints)	mean (SQ48-Vitality)	std (SQ48-Vitality)	mean (SQ48-Work related complaints)	std (SQ48-Work related complaints)
RF	0.06411282580786551	0.0019258622509313401	0.10728351775062443	0.0021558262359130877	0.06231029073444907	0.001513354014514475	0.0397830259147416	0.0022574041801149557	0.047609919542090304	0.002567310029577924	0.04553182471870588	0.001438900510932961	0.16131023349801002	0.0025659075172921077	0.027434200089767446	0.0016251616696832266	0.043383863718649246	0.0010775145644914316	0.0340310421170528	0.0011961667835479778	0.05743713073846661	0.0020181277845603834	0.045276088700178574	0.0017631850717918964	0.05325991290737999	0.0004922733468801388	0.10762677419312387	0.002449821136436723	0.05701869668497421	0.0025158783746765953	0.04659065288392051	0.00225271339020529
KNN	0.008065381352880208	0.00519632884208059	0.007136112926338605	0.0053871363435841245	0.004302584911099901	0.004908167651241822	0.003668594852719958	0.0037239356223816513	0.005364793354816044	0.0048811648008340435	0.008630592789513539	0.006253006437905155	0.0046010451494902125	0.004594834346082008	0.013316175752779777	0.007286461376204965	0.0022953074139889793	0.003345366010756181	0.0016305837698793613	0.0030349976845412837	0.008533665729789128	0.005018844702951689	0.016651740200582955	0.006786566207120825	0.006313813770976844	0.004814506895705196	0.012452429077826377	0.006931845775252305	0.00619081467872474	0.005328085339933422	0.005765948748059373	0.005409846076528119
RSVC	0.006469026863576308	0.0006386582412970169	0.006157440043278745	0.0005944632665430203	0.0060886176133731675	0.0007107959987476851	0.006711555860515838	0.0006438280943940745	0.0061896280605768725	0.0006341033581272364	0.006527443140578146	0.0006642963203453185	0.006074048391464438	0.000585384535323392	0.005379310921848974	0.0004918065230873743	0.006531995313702556	0.0006772176045979581	0.006441920271989043	0.0006790408717178098	0.006260628884818105	0.0006848941686854097	0.0058170865991446965	0.0005173852068070789	0.0063313582946047465	0.000775638394909113	0.006294908154838095	0.0005645343136356501	0.006319348893270699	0.000772351220920599	0.006405682692419573	0.0006040218358552095
LDA	0.017539849255528806	0.01967863412775661	0.0380925522610943	0.03726160719196265	0.023429017576325407	0.02739938842496252	0.007500384975420187	0.013058750833782402	0.003335418852608292	0.009513077705629326	0.016564955056905934	0.019224214675776383	0.04891378790853148	0.03168176135971483	0.0010295009334311538	0.003630302314471959	0.0024898761957800487	0.006829146989093935	0.014051371577199333	0.01943288290426159	0.0081847428805272	0.016063752400060274	0.014851906370480316	0.01835875338455333	0.02825588290907685	0.02901883986043554	0.054836749333415646	0.03528143835412378	0.00547967682846941	0.012643249710180488	0.013625865153962824	0.020854412726964824
GMLVQ	0.02033181213372496	0.009835466181367271	0.12139770956947116	0.060099096761055106	0.061292465798340336	0.03639062553399781	0.06481201184555556	0.021162899622069915	0.08436602930042056	0.023231172579807974	0.06799737005714862	0.013268353061362889	0.06324257601402446	0.011637983329163933	0.05129515663620713	0.012681683110046967	0.14738039094528016	0.05910723181936429	0.03772191260770984	0.010375385132759393	0.03407406280750882	0.02307589064196614	0.02122262925462499	0.008895913316106537	0.08304183232313361	0.026356584702221762	0.05617499976192804	0.008039474938849375	0.04858305655970546	0.023322383930380965	0.0370659843852162	0.020539172218376006
GNB-AN	0.043643311471204364	0.0	0.059976388670336514	6.938893903907228e-18	0.07258385428279109	0.0	0.06581318556784523	0.0	0.06487130523983735	0.0	0.05813901203016915	6.938893903907228e-18	0.04270642089259297	0.0	0.06317119425336996	0.0	0.0557018277785941	6.938893903907228e-18	0.06265671607860257	0.0	0.06417423844598484	0.0	0.06874066315919261	0.0	0.06242724098526163	0.0	0.06406483256498323	0.0	0.07504563691164111	0.0	0.07628417166759319	0.0
LGMLVQ2-AN	0.2535390030457635	0.08404953107399135	0.021349902268472665	0.005900193224790845	0.011960930777833433	0.00410516794133086	0.028623464129379928	0.0203544597095059	0.05269780809329981	0.014481244139588737	0.11937544021064057	0.0746427537124741	0.04367077120675149	0.00948504141895087	0.03362182032028964	0.009287285006349693	0.05575867908334973	0.020562419529356963	0.020946110730082738	0.005260067289273582	0.07410919758143862	0.021293009537327892	0.0014687664322466161	0.0012914367432587267	0.02341705690816364	0.011948562546474731	0.11854145202346363	0.02905653313805045	0.12618716068986638	0.0321263686127358	0.014732436498957686	0.010790743435494419
LogLASSO-AN	0.0599202602532317	1.670808697005312e-05	0.31268741165653613	5.2702125344133643e-05	0.1438340832537173	3.8456380402548436e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.016055116339795276	2.686723586631208e-06	0.0	0.0	0.0	0.0	0.08395018304105542	2.162719542648932e-05	0.0872253499302349	4.025890869711995e-05	0.09713452250121257	6.131298071425155e-06	0.06795247279553539	4.917023535602717e-05	0.086214487143521	4.6973990646057894e-05	0.02917117166827259	4.813907151761458e-05	0.015854941416887678	9.830934782979974e-06
GNB-BED	0.08715569004413522	0.0	0.04565065334962283	0.0	0.06849134767352158	0.0	0.06881526391002171	0.0	0.07336554297686017	0.0	0.06345531143893386	0.0	0.09168859337049257	0.0	0.05686794400499569	6.938893903907228e-18	0.07061007047604312	0.0	0.053730230920895475	0.0	0.05817693284961502	6.938893903907228e-18	0.06330208017897995	0.0	0.07293171432634006	0.0	0.02961783402643674	3.469446951953614e-18	0.05267292531114994	0.0	0.043467865141956094	0.0
LGMLVQ2-BED	0.01658282338127486	0.0017930816003274017	0.11862243551300171	0.018301600194517847	0.02164385405826868	0.009340259329329798	0.19520637663504936	0.020817496376312552	0.16251534827198783	0.023173098621066916	0.08610831914988062	0.014723870229616581	0.06653221864732951	0.018585131632149223	0.019709992579082035	0.0050139048526180495	0.016516096928062537	0.004297858648842703	0.01118562187863228	0.002780835133443267	0.05973916679851728	0.010656517788025026	0.019818644009167413	0.004997483560925422	0.011839439642038834	0.0037033786738740406	0.13808779994387838	0.021860129942420568	0.030289454848733945	0.007353727082290682	0.02560240771509472	0.003358037282600657
