	mean (BMI)	std (BMI)	mean (DT-Disorder Duration Yrs)	std (DT-Disorder Duration Yrs)	mean (DT-IND BDL CMD)	std (DT-IND BDL CMD)	mean (DT-IND OCD CMD)	std (DT-IND OCD CMD)	mean (DT-IND depression CMD)	std (DT-IND depression CMD)	mean (DT-IND others)	std (DT-IND others)	mean (DT-IND prev spec int wo eff)	std (DT-IND prev spec int wo eff)	mean (DT-num prev routes)	std (DT-num prev routes)	mean (Lav-Dissatisfaction body)	std (Lav-Dissatisfaction body)	mean (Lav-Negative appraisal body)	std (Lav-Negative appraisal body)	mean (Lav-Unfamiliarity with body)	std (Lav-Unfamiliarity with body)	mean (MHCSF-Emotional Well-being)	std (MHCSF-Emotional Well-being)	mean (MHCSF-Psychological Well-being)	std (MHCSF-Psychological Well-being)	mean (MHCSF-Social Well-being)	std (MHCSF-Social Well-being)	mean (Age)	std (Age)	mean (SQ48-Agoraphobia)	std (SQ48-Agoraphobia)	mean (SQ48-Anxiety)	std (SQ48-Anxiety)	mean (SQ48-Cognitive Complaints)	std (SQ48-Cognitive Complaints)	mean (SQ48-Depression)	std (SQ48-Depression)	mean (SQ48-Hostility)	std (SQ48-Hostility)	mean (SQ48-Social phobia)	std (SQ48-Social phobia)	mean (SQ48-Somatic Complaints)	std (SQ48-Somatic Complaints)	mean (SQ48-Vitality)	std (SQ48-Vitality)	mean (SQ48-Work related complaints)	std (SQ48-Work related complaints)
RF	0.360304421327006	0.026113641716003867	0.088640228251381	0.004839775224184119	0.0	0.0	0.00016831486396300124	0.0003366297279260025	0.00401442840490091	0.000981017573508785	0.004116753270798525	0.0009176683976303445	0.00616706151697736	0.0018319863411747296	0.0096333433287186	0.001619380770635007	0.025791884191476554	0.003489222759837132	0.06928555136509951	0.007327665718751209	0.0315651589059376	0.00443012523187331	0.031122794117972797	0.006132187490181454	0.038952923620501456	0.004349247611450461	0.030651041531440364	0.002534951844964761	0.03989405403262398	0.0064636278605759755	0.01677809759012398	0.003439947374825719	0.023383623225225157	0.0024156724058487004	0.025078753334536623	0.003961480635814358	0.024233608155609966	0.005480667917772017	0.02780694065753352	0.00292253480767989	0.019723045138082113	0.001909239157926197	0.05841600413068102	0.005145743236043309	0.042918644285082505	0.00626411414308247	0.021353324754327514	0.005650025522656427
KNN	0.010157540420148919	0.007131722248532985	0.001022537242962671	0.0025217703293969078	0.0	0.0	0.0040188124371801515	0.004754819852693804	0.006689349999478572	0.007923623429017493	0.004257270040530316	0.005671979861725786	0.003034208777747377	0.006250519277147182	0.0007276684080281077	0.002611543286397551	0.007682059131783051	0.005538445446331064	0.011399299346250016	0.008724867025123035	0.014142850178106127	0.007060656880454903	0.010793237671572108	0.008955056149939966	0.006858497561846755	0.007285392430671259	0.008825231952451716	0.008208801104871826	0.0013509928973015955	0.0030938613505117874	0.011416994777996584	0.008924145570479027	0.00950087122630759	0.008764215430753092	3.450953325856296e-05	0.00024156673280994076	0.014227138056478903	0.008443895180442047	0.01916534175071647	0.012546337889812726	0.0004211087209145425	0.0017439332716980378	0.006981481790197581	0.008521813315000836	0.01706331110606643	0.009567179587816662	0.009938088643797648	0.008583677998584912
RSVC	0.017794970036692993	0.0017771992640999317	0.000633786908310162	0.0005867377055503407	0.0010454188009717891	0.000562506730959465	0.0011648779249125746	0.0007288312081867512	0.002729717657882283	0.000996325221162232	0.0	0.0	0.0015060404820285392	0.0008618058063543554	0.005190335929120628	0.0009878397960133246	0.0051651596202658	0.0013863733180599922	0.004071827517936926	0.001390237422036235	0.005161302077406473	0.001625577669850278	0.0058672325805550875	0.001776270861062353	0.005045733236978775	0.0013428581047070101	0.001664721610739547	0.0009212677968495513	0.004130062431801385	0.0009059835521023009	0.004007042759784925	0.001580375267439858	0.005150771496992998	0.0013373655166392438	0.0017538438733736802	0.0008464950385786433	0.003917795336238213	0.0010512983277293044	0.002509966438381258	0.00120370099119372	0.0036055389139193735	0.0010887967304825743	0.006632586285242404	0.0013543445019279828	0.008425984067167458	0.0021715256821475196	0.0028252840132967287	0.0011042858933705208
LDA	0.03189282581835602	0.008274747219822489	0.004076781218792862	0.003786404130045184	0.0018120537537936398	0.0016078120291927213	0.0026674063891042343	0.002147717275791118	0.00015114642294817099	0.0005992892355986335	0.000490934074473088	0.0011526523205470903	0.0005420428869346298	0.0010225914290637368	0.014062045399098926	0.0051609558208492645	0.006132811404778227	0.005364755685661326	0.00775984329128855	0.006501885223259975	0.004581445328786641	0.0047550076989635705	0.007832024405862505	0.005493042439212819	0.0010694694942868475	0.0017617813515079946	0.004616856498383492	0.0037185014093803494	0.009806574538625686	0.006434241750412743	0.002748791491026292	0.002808669327622099	0.004737238535815293	0.004619501574628549	0.0016741421680322645	0.0024957454817514154	0.0006191279358281448	0.001851677636357824	0.0010220858234445867	0.0018005287332135567	0.001862365070866559	0.003065345468637557	0.003735605570155739	0.003973647613079267	0.013285584692918795	0.005694877240922816	0.0006373837805710767	0.001398590930381008
GMLVQ	0.1747846682240621	0.005165061874450932	0.05540820404222424	0.004261704853772226	0.11400086466209011	0.004251628560127436	0.011250108927352207	0.0011066066935560477	0.028150560278047555	0.0039058357850431003	0.017024568146207546	0.003099257441389654	0.023200363810593698	0.003910700426021798	0.08025892176986041	0.006135953824611224	0.0700492833406393	0.004881875909956411	0.0721169972054794	0.005754359984473281	0.02989212941186164	0.003434635124178697	0.05516028865138495	0.0034423029966459844	0.04197518398157155	0.002275793114369388	0.01977227582511738	0.001994932733972275	0.04614798529836424	0.0038647491716770907	0.01377121229615566	0.0020398902451094587	0.006054415395968155	0.00161070449485986	0.017251891615748256	0.0015907965636846365	0.023526937804943176	0.002875596209284009	0.022534698940086233	0.001670597627553813	0.016587690940962317	0.001827109078147616	0.04440105578286005	0.0033562347832402214	0.008671074169159887	0.0010432017706836602	0.008008619479260017	0.0010705181608826537
GNB-AN	0.006584761669257586	8.673617379884035e-19	0.027251691539833332	0.0	0.026771154942807483	3.469446951953614e-18	0.08767553234375211	0.0	0.04095620465371989	0.0	0.04126796610779559	0.0	0.04200807025487171	0.0	0.027707873567159997	0.0	0.03580263161048082	0.0	0.045324289081160686	0.0	0.05184376156840502	0.0	0.047790173914613494	0.0	0.04411624703789422	0.0	0.0426385721760536	0.0	0.02848133098309316	0.0	0.045157777385363175	0.0	0.04076247968010287	0.0	0.04173608431769922	0.0	0.04568234221547714	0.0	0.043699289626616414	0.0	0.04316339532043426	0.0	0.04559700342191933	0.0	0.04461798254602314	0.0	0.05336338403546561	6.938893903907228e-18
LGMLVQ2-AN	0.19104685708453953	0.020184582428588175	0.05778343148339826	0.016635194330630203	0.028276180756041915	0.020202125930593742	0.00624802493071064	0.003313509260236661	0.016343832594744798	0.006971790738571577	0.043838439486752506	0.014024628754584647	0.04322528547530224	0.011458185403750688	0.07736696070207588	0.025280174284173194	0.09137364933359046	0.02285701281731618	0.06082217487187656	0.014072779039906811	0.026698122147359955	0.007217135866623888	0.007528872653586037	0.008403328387118396	0.023252688270430776	0.00524471568527652	0.01602064651233464	0.017344003005877004	0.03565471051068222	0.018850660699972866	0.019126096212892726	0.009923730153384705	0.030642491425578948	0.006819494590608639	0.031068968674253433	0.014841249554150475	0.02139165117555758	0.007128658622421639	0.013873895759915763	0.009437337088062518	0.038294208099820794	0.016853404020261566	0.05039812616847893	0.021886599057952108	0.05515600940667285	0.024326156242513018	0.01456867626340273	0.005787857471700563
LogLASSO-AN	0.3025950012653466	0.0005375998327889087	0.09383558927664197	0.0006047716660994324	0.0	0.0	0.10901240203311058	0.0003794908851308332	0.0006672121801035143	0.00036918704093226435	0.05394580884243115	0.00012842389762840093	8.896616936976175e-05	0.0001338546733317428	0.0	0.0	0.10713308377190253	0.00024281166830028992	0.11498958502848729	0.0003453411154774503	0.0606698010293689	0.00020022292583638478	0.0010387508941271735	0.0005577019701565218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06423457303882225	0.0006051267629788938	0.022732635766057753	0.00023114686905240873	0.0	0.0	0.0426338469982301	0.00011543221769900031	0.0	0.0	0.0	0.0	0.02642274370600036	0.002055834185600946	0.0	0.0
GNB-BED	0.0330389235870729	0.0	0.060364301702009036	0.0	0.03511021255762309	0.0	5.246735034748035e-11	6.462348535570529e-27	0.046305018961071136	0.0	0.05383557225168151	0.0	0.04744483481112905	0.0	0.0618089631723855	0.0	0.06934419850411937	0.0	0.034485254208121034	0.0	0.04300918778067144	0.0	0.041428723641329344	0.0	0.042816071667658946	0.0	0.04167786698767055	0.0	0.0704266423081709	0.0	0.0320025815514502	0.0	0.04426548106477212	0.0	0.031029169661564066	0.0	0.03626573528364424	0.0	0.048374883185523326	0.0	0.05181827434883376	0.0	0.018309458029247584	0.0	0.0285766545343984	3.469446951953614e-18	0.028261990147385257	0.0
LGMLVQ2-BED	0.3080416463408689	0.05232570074754613	0.033909355464497914	0.009867369215974342	0.039214713089639044	0.016956151946000985	0.0031828382009383483	0.0012590365739962165	0.029723865467636994	0.013935931194328824	0.04394259055207751	0.019584394488065447	0.04013792265368388	0.01234237716307585	0.01516712957111887	0.004686522756797741	0.007699882971229602	0.0028196459932406403	0.04477443024183726	0.009583712347623303	0.04623005319767416	0.02023086714175656	0.03471622771475873	0.005096358816531249	0.0209670575534189	0.016269668824238758	0.03316973503702658	0.005948534511798357	0.023806787999104385	0.008510343161483653	0.03327114527116686	0.007885879856138424	0.04080337644417442	0.018359902410768035	0.04161359404898448	0.005961514406024218	0.03496393474136062	0.007348999558189044	0.028936669085866513	0.021004532704955354	0.017023580764380635	0.007005067606440056	0.025933027166695644	0.010042543194754892	0.0327963156495505	0.012941735205026585	0.01997412077230902	0.007342214136975963
LogLASSO-BED	0.5693945753063598	0.0014181468635298896	0.0	0.0	0.0	0.0	0.0	0.0	0.08282662459289633	0.0006364615850941125	0.0	0.0	0.012636876317353907	0.00037462804111755533	3.770063694792014e-05	7.540127389584029e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.2573416969694663	0.0009185585181174419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009070784962077073	0.0008198363581821255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019409558091292564	0.002646797788551344	0.04928218312360607	0.0003562576673803657
