	mean (BMI)	std (BMI)	mean (DT-Disorder Duration Yrs)	std (DT-Disorder Duration Yrs)	mean (DT-IND BDL CMD)	std (DT-IND BDL CMD)	mean (DT-IND OCD CMD)	std (DT-IND OCD CMD)	mean (DT-IND depression CMD)	std (DT-IND depression CMD)	mean (DT-IND others)	std (DT-IND others)	mean (DT-IND prev spec int wo eff)	std (DT-IND prev spec int wo eff)	mean (DT-num prev routes)	std (DT-num prev routes)	mean (Lav-Dissatisfaction body)	std (Lav-Dissatisfaction body)	mean (Lav-Negative appraisal body)	std (Lav-Negative appraisal body)	mean (Lav-Unfamiliarity with body)	std (Lav-Unfamiliarity with body)	mean (MHCSF-Emotional Well-being)	std (MHCSF-Emotional Well-being)	mean (MHCSF-Psychological Well-being)	std (MHCSF-Psychological Well-being)	mean (MHCSF-Social Well-being)	std (MHCSF-Social Well-being)	mean (Age)	std (Age)	mean (SQ48-Agoraphobia)	std (SQ48-Agoraphobia)	mean (SQ48-Anxiety)	std (SQ48-Anxiety)	mean (SQ48-Cognitive Complaints)	std (SQ48-Cognitive Complaints)	mean (SQ48-Depression)	std (SQ48-Depression)	mean (SQ48-Hostility)	std (SQ48-Hostility)	mean (SQ48-Social phobia)	std (SQ48-Social phobia)	mean (SQ48-Somatic Complaints)	std (SQ48-Somatic Complaints)	mean (SQ48-Vitality)	std (SQ48-Vitality)	mean (SQ48-Work related complaints)	std (SQ48-Work related complaints)
RF	0.2765708080155707	0.008506894122552443	0.06839942221870321	0.002881451656500475	0.0	0.0	0.00026822883117753594	0.00012091133697717141	0.005886046785551717	0.0006995944056425253	0.0061052615124114725	0.00047012213794670707	0.010298199651556301	0.0005032691816106671	0.008848803381353364	0.0007243954958148143	0.03461574838691772	0.0010133733651994563	0.0632894634719651	0.002838648931247427	0.04333880508076411	0.002690432990228705	0.034181748626239634	0.0013465372379771576	0.0427877512355458	0.0025757103857351076	0.03522421532446539	0.0009895213099571924	0.042441508434769425	0.0008121520651642371	0.02085309559615785	0.0008789295211062861	0.031503471021018636	0.002068165110370254	0.028089468449854726	0.0015916856076561019	0.03888829061319817	0.001802035393655997	0.02918669425759971	0.001027683889628555	0.029602815522696408	0.0018895655612033353	0.05413425464435935	0.0028280373135966376	0.06785814606150357	0.0032684543619090167	0.02762775287662018	0.0009661956505609239
KNN	0.0020486267346747754	0.004433377899718325	0.0362881984725325	0.02214487287713979	0.017915486400327266	0.010685746121972964	0.0	0.0	0.019819623819909052	0.012279009875022995	0.006380392362461237	0.009931334416330016	0.01706553120538431	0.017997619581561212	0.017028510470022747	0.013172250637545912	0.0018380131961151659	0.004138483859581094	0.020113330751430788	0.019704734069860796	0.011830965648614038	0.015589005206694234	0.022349285369039244	0.018098386887092602	0.002197430417364746	0.004780599958591882	0.0029822175801779414	0.008837215057127912	0.017305088281413264	0.015443466535256346	0.0005399149292907886	0.00223327165328284	0.0067421434753069135	0.0088452127032198	0.014851586520840534	0.018061319313528324	0.006857319677650076	0.01028546033161533	0.0019861967614944673	0.005117107637242432	0.016439587976897166	0.01388183068767792	0.01881767714859367	0.019698537004887422	0.0053970384911792724	0.009049963797120093	0.0028659716344212995	0.010641286613115157
RSVC	0.014948012416290046	0.001747621030206568	0.0021555769751308075	0.0007125178876847894	0.0013852372730612358	0.0004919456782361891	0.0013689426387991515	0.000464545079254039	0.0037174637753094116	0.0010360645463151602	0.004688747590514112	0.0009116060920758293	0.0017605571657569635	0.00044194877916992693	0.003186646460651599	0.0007967442439567547	0.0029501024553551043	0.0007900945939735226	0.0024711517728498097	0.0008194315348265485	0.005196482542990738	0.0013480058257667605	0.004782405522372334	0.0013305987839459035	0.004679066106313195	0.0011153294052152526	0.0031547473192142183	0.0010712568227024574	0.003207073107303917	0.000886891412677892	0.004057279320352696	0.0011162170779280402	0.004947366374931102	0.0010937849766599506	0.0028357499820732164	0.0008810649398329056	0.0030906686648976365	0.0009403569041522556	0.0055908338949453166	0.001270874148559633	0.005829963458279092	0.0011976989885234598	0.003671694009247853	0.0009738727466104778	0.007105865447819299	0.001578930940169571	0.0032183657255411436	0.0008943065473034262
LDA	0.019327964201407453	0.003427475667027365	0.0014614934877310852	0.001874544245373075	0.00016598380200709726	0.0006574681634230282	0.0013917870688321648	0.0016529179393016589	0.0030129715615902354	0.0018298547957028629	0.002134994224819833	0.0020382798601149346	0.007539448219429481	0.003512445878279803	0.00980985245803137	0.004324616064355484	0.007625211384967587	0.0033067269189230772	0.0023797590508796954	0.002571896269868957	0.001508263678113582	0.001987695551942935	0.006501323205134873	0.003540106411469126	0.0007365577756310018	0.0014092162003545292	0.002578604558560652	0.001974264012829836	0.006070123822606724	0.0034808825331683235	0.0031904144255827022	0.0018505314168820689	0.003895390885781766	0.002815868024488269	0.006287196640758176	0.0024955150340285957	0.0029610338825095473	0.0026486818504482565	0.004921493645705707	0.0028268333214379183	0.002983826879350825	0.002691637084990857	0.0012141077941850657	0.001833308066304411	0.007195673606226433	0.00385041103593174	0.0026277488381419045	0.0020309627655049436
GMLVQ	0.14932173355165174	0.005087302966250924	0.0717926625713656	0.004713373129541161	0.13537169863094906	0.00778177895068737	0.010877781632284284	0.0016937245376780275	0.041158445034381694	0.003959769073937593	0.01065376314973549	0.0018908546395311463	0.028320405927120228	0.005757692861459983	0.03842587873448739	0.002133685131214447	0.06140045949866944	0.005639229219272278	0.03277833881239341	0.006230428853098516	0.022318625663447087	0.0028122725719168288	0.05102909590549785	0.0069320854738025295	0.03000039865009426	0.004287625856825623	0.028785252642592157	0.003463977818233509	0.030519090103497116	0.0044301828825884905	0.021482759784555584	0.006066175714292523	0.01727343906587711	0.002457537940914406	0.047997396739448195	0.007968610928462242	0.06022579406949809	0.005569244007510337	0.032837925707505336	0.00655484160620913	0.03256602440044849	0.0010826813134251728	0.024977247593010957	0.004935876139027551	0.007088816919493849	0.0018612814969173662	0.012796965211995217	0.0018982920627342817
GNB-AN	0.008162971204012295	0.0	0.02460089772475451	0.0	0.027966402025085692	0.0	0.10434010344569897	1.3877787807814457e-17	0.040084557629695726	0.0	0.03992469491167168	0.0	0.04206023666109866	0.0	0.013555356351828422	0.0	0.0321579111907083	0.0	0.04064743927132232	0.0	0.05401232164577742	0.0	0.04643893482359849	0.0	0.04490708567075618	0.0	0.04218749645545893	0.0	0.028052163275033938	3.469446951953614e-18	0.04462971159862395	0.0	0.040881502230525994	0.0	0.041189918232799126	0.0	0.044604766609367186	0.0	0.04447791495194588	0.0	0.043481033081874704	0.0	0.046854382733849426	0.0	0.04958626881745631	0.0	0.0551959294570558	6.938893903907228e-18
LGMLVQ2-AN	0.21219007204549545	0.1290391444558932	0.11662343191100563	0.05777667984958589	0.0029939025451599776	0.0009395470793270801	0.003740125760710895	0.0020401082732194368	0.007782214497914168	0.0020744449578473973	0.04714774255789113	0.009670819468214348	0.012897122933343358	0.0019142781888425583	0.12794954650618706	0.05519105813619522	0.1055565399527278	0.032135344521471335	0.07204747086598574	0.03994765973201226	0.037354271902096677	0.006447100545467802	0.014633828467723427	0.009244779923670274	0.006923848126065365	0.006869436783782301	0.004458166455028509	0.0009410100121272399	0.02604335904300084	0.022930728667573758	0.011191942623954832	0.006461214870506763	0.026483986061737786	0.014575725271194094	0.025791575574276072	0.017162942279362742	0.02720824354758436	0.03177379471586199	0.016254498942785647	0.007202457939908185	0.007518875056890306	0.00361034854175673	0.010033845074005409	0.00443805386755101	0.07596486599657865	0.027799732024158297	0.0012105235518509766	0.0008384311915896467
LogLASSO-AN	0.3416566030956347	0.0007683342883889983	0.09321473558438116	0.0007363741176758647	0.0001356153318045448	0.00016639229417090561	0.11422230767798085	0.0005792458974640276	0.010554293147977501	0.0011020758356496431	0.026890662587444193	0.0006754654992116762	0.011410064086888052	0.0015024592458965575	3.749804899369948e-05	7.389363174249914e-05	0.01750616691746032	0.000495406723000366	0.03628664946671597	0.0012374215112150894	0.04937049183082169	0.0005993724487423057	0.00014617233087334036	0.00019066553627920238	0.00011922509234015353	0.0001348240810789121	1.4866721786468618e-05	2.861174528126125e-05	0.00029755809708229805	0.0002547763446652894	0.00017561713745508313	0.00022055615506150049	0.1053687319815523	0.0007360101395541848	0.03934823307218949	0.0011014107255418203	0.08896519988671767	0.0010732430239804973	0.02624364984534494	0.0005230964821934036	0.026856662929972762	0.0012260526983181655	0.0004091804582891393	0.0007443665277090915	0.008933221336619461	0.00027477653642553904	0.0018365933336742524	0.0015722938366354345
GNB-BED	0.033966376448242144	0.0	0.059843584015826304	0.0	0.03644170728898327	0.0	5.071662966557002e-11	6.462348535570529e-27	0.04502785147662331	0.0	0.051748008712451346	6.938893903907228e-18	0.04719800991514767	0.0	0.07423323703362304	0.0	0.061884057691484126	0.0	0.0307277944973261	0.0	0.04451981485454107	0.0	0.03999824719990908	0.0	0.04330309105548896	0.0	0.04097154609059983	0.0	0.0689189779512581	0.0	0.03142478412322875	0.0	0.0441089994882944	0.0	0.030426020296720972	3.469446951953614e-18	0.03518237582126889	0.0	0.04891992021818608	0.0	0.05186363690790814	6.938893903907228e-18	0.018693265549041584	0.0	0.03155430751450119	0.0	0.02904438579862898	0.0
LGMLVQ2-BED	0.028715953496807067	0.006511267209449996	0.0258135587625715	0.013915559524758035	0.04564553514340151	0.006266736398516541	0.05027438573850922	0.007823497586225006	0.02587523469319617	0.004801935420254334	0.015549954565820978	0.0041810655843063935	0.02878961260137285	0.00415248938033769	0.025938923768569423	0.0039601096844836745	0.0568226795837556	0.0022680752100302706	0.10329112056437206	0.02949550902677754	0.039660031841310436	0.004483312587218392	0.09541423607740061	0.026026331043169565	0.06031397638976085	0.01689730007175303	0.03577690170739335	0.011626994113165184	0.06643749137516562	0.012010152366860184	0.050915294724006556	0.012513326483430164	0.011873409169360461	0.006303497730990866	0.0415603060316514	0.0077863498160564894	0.03818737566569984	0.008486705846175176	0.018106842031582724	0.004929874786300821	0.03589164511969378	0.004930348709329197	0.02877953060797292	0.008642889953704661	0.020795233716287956	0.005369580851630127	0.049570766624337195	0.010874306430428646
LogLASSO-BED	0.44785403942228574	0.009268159114620082	0.002489831994028344	0.002661604961385161	0.011943348396396592	0.012451761570112414	0.0	0.0	0.08168465188617556	0.000914216079759706	0.055917391823473994	0.004512487979837014	0.0032805824624531623	0.002947618745504559	0.017665333067229026	0.013762507440028836	0.007845791144957495	0.003312995102490778	0.002240201099587347	0.0015592416255936809	0.0347699619978091	0.005201922613290539	0.1112232438758338	0.002994215979991036	0.003488535284916968	0.0028405456917141307	0.04575870030121818	0.0022214259591297686	0.004394758162988005	0.004054402496395614	0.013244572471997573	0.0022693471905384315	0.019846668503963293	0.0012823154566719468	0.0006385067841453198	0.0004928498548612997	0.0008924792169436129	0.0008913665923399387	0.00019781673622991993	0.0003640071744748321	0.0008404741778965536	0.0005728441450919145	0.06753187720639145	0.003300005180083567	0.00040042663212036967	0.0004638617672191363	0.06585080735095852	0.004334586159045869
