	mean (BMI)	std (BMI)	mean (Disorder duration (in Yrs))	std (Disorder duration (in Yrs))	mean (Comorbidity BDL)	std (Comorbidity BDL)	mean (Comorbidity OCD)	std (Comorbidity OCD)	mean (Comorbidity Depression)	std (Comorbidity Depression)	mean (Other psychiatric comorbidities)	std (Other psychiatric comorbidities)	mean (No. of previous treatments w/o effect)	std (No. of previous treatments w/o effect)	mean (No. of previous treatments)	std (No. of previous treatments)	mean (EDEQ-bodyshape)	std (EDEQ-bodyshape)	mean (EDEQ-eating)	std (EDEQ-eating)	mean (EDEQ-weight)	std (EDEQ-weight)	mean (Lav-Dissatisfaction body)	std (Lav-Dissatisfaction body)	mean (Lav-Negative appraisal body)	std (Lav-Negative appraisal body)	mean (Lav-Unfamiliarity with body)	std (Lav-Unfamiliarity with body)	mean (MHCSF-Emotional Well-being)	std (MHCSF-Emotional Well-being)	mean (MHCSF-Psychological Well-being)	std (MHCSF-Psychological Well-being)	mean (MHCSF-Social Well-being)	std (MHCSF-Social Well-being)	mean (Age)	std (Age)	mean (SQ48-Agoraphobia)	std (SQ48-Agoraphobia)	mean (SQ48-Anxiety)	std (SQ48-Anxiety)	mean (SQ48-Cognitive Complaints)	std (SQ48-Cognitive Complaints)	mean (SQ48-Depression)	std (SQ48-Depression)	mean (SQ48-Hostility)	std (SQ48-Hostility)	mean (SQ48-Social phobia)	std (SQ48-Social phobia)	mean (SQ48-Somatic Complaints)	std (SQ48-Somatic Complaints)	mean (SQ48-Vitality)	std (SQ48-Vitality)	mean (SQ48-Work related complaints)	std (SQ48-Work related complaints)
RF	0.2748728553833401	0.008617115201980403	0.07817625833873494	0.004762006752975601	5.490395486586629e-05	6.762925391036825e-05	0.000132723765387493	0.0001294534470086517	0.0038539155549406124	0.00036457880498613	0.003280282018036319	0.00042750682721483853	0.008163882265119157	0.0009757280718144456	0.007202452389841278	0.0005713115868213337	0.029105316318427877	0.0024894125649852915	0.035273134099647566	0.0020063071301076787	0.03012267304515136	0.0022707251603550885	0.027221472329609586	0.002924484897864019	0.06457767895883688	0.003177673806584189	0.03253397387356891	0.001836946231873802	0.029525458272486614	0.0019524368198529413	0.03670274993589561	0.002312684903704334	0.027705266794035354	0.001430532865956207	0.046673020763605154	0.002748404364072536	0.01704694190574737	0.0013507082169605155	0.024216383183862017	0.0011483129215208374	0.024980207356755307	0.0014455949379407426	0.028636511860217324	0.001975509579039075	0.0226092076495239	0.002623424053415401	0.018766035225476978	0.001468281961467391	0.06357824764398634	0.0035590965719818463	0.04143978934071489	0.001792179478781363	0.02354865777218523	0.0013821098368759362
KNN	0.0017109057509102884	0.0014161696744594968	0.004719425081366757	0.0024256070293420806	0.0022309947244772794	0.0011997164341195636	0.0	0.0	0.0006341699180106015	0.0009026349011984793	0.0023855039481274353	0.0017962044200919628	0.0021286256356935584	0.001901420839772861	0.004483088001382064	0.0018343922879263776	0.00466224482429491	0.00213612939554044	0.004762278300490691	0.0022495894726554896	0.007513937734349132	0.00254939581834957	0.004245644231445887	0.0023178149213902736	0.0038823997342688522	0.0021581973248998043	0.005035852199029765	0.0020910170863140476	0.0025108526672611656	0.0015320809652362398	0.0033400584531028104	0.002211825063081656	0.0020626966648084745	0.001609109005495787	0.0029852942693794553	0.0018189098299325303	0.004396658601403028	0.0016168895341215203	0.0035692641434359918	0.0019165124441802056	0.008214954549848807	0.0017457195219482537	0.0035072434328882007	0.0022376070433983352	0.002990659704670792	0.002058597909557685	0.0076153989395714525	0.0018797006090446253	0.0044909295969482975	0.002148656318491814	0.003234889815785126	0.0018876089440049955	0.004859377782200345	0.0020916864265160115
RSVC	0.021368248003639942	0.002861863075291806	0.00020767188639243123	0.0003676452199038485	0.00025918639885589965	0.0005532306921139062	0.0016555347280343118	0.0008846225314526729	0.0010806688769483806	0.0006475310640756991	0.0	0.0	0.001215906413036258	0.0008258592674117181	0.00544589969599891	0.0012015910539295085	0.004112980593765851	0.0014237819860546976	0.003907147066628286	0.001547354737080472	0.0021015893087068145	0.0009828147619519204	0.003682474471168224	0.0015453699000947847	0.00288332619577061	0.001849950006750636	0.0044291601270623725	0.0018302688746154499	0.005710147404073723	0.0015658157364983481	0.006852848853763696	0.0017733065254969703	0.000330089940398197	0.0005870775353289677	0.0034054715520997012	0.0013631109105231485	0.0021868120600871694	0.00112608786023568	0.002479770763409302	0.0016466653013729538	0.0015339245649850113	0.0009397117969171937	0.0040493852757632655	0.001338483197577719	0.002894977673695362	0.0012973288346787518	0.003293842774976356	0.0013122847193479243	0.006104100784195682	0.0016590006192256509	0.006430372378343845	0.001831979555989119	0.0023784622082003927	0.0011351479235734278
LDA	0.04216285765512123	0.011143115978855596	0.004793613309552524	0.0045749788259172326	0.0	0.0	0.002242107822553608	0.0029749234305030325	0.003875052410053857	0.0034547535218138943	0.0021913917504449384	0.002374327618808407	0.004115007798823714	0.004212183031347887	0.018567173180967442	0.007677054912268042	0.011718544849683382	0.007765645404589817	0.0037470622043599155	0.005025784781577234	0.0027076881206121906	0.003898440093012349	0.011676945918903708	0.00911251826301771	0.004693792177922049	0.006210783072468654	0.0034421349803045137	0.0051331654880593346	0.005290971932759886	0.00591643995912684	0.0008896511969141639	0.0018849092847472541	0.0020852894043764635	0.002892559612343051	0.007903913606333761	0.0074502768375959046	0.0026815361365936157	0.00370413805682915	0.007079669597170169	0.007190481106402605	0.011113413747524514	0.00537434961197508	0.0004321387144940065	0.0019283813830976277	3.769033619779919e-05	0.0002638323533845943	0.0017991351591956826	0.003442403186853122	0.0001698859438555577	0.000766424633638319	0.013338394226023691	0.007529386937388038	0.002621103731163874	0.0032800261900903286
GMLVQ	0.2579560511962899	0.0676025048437806	0.03719823656658647	0.006608918355824074	0.007669141818281555	0.0023623445912165104	0.01723651381263232	0.010912075159156685	0.020759914969376417	0.008207866516447795	0.003567931566664759	0.0028948298030499016	0.03853688400461546	0.018841396250133903	0.049232145874901476	0.009114309153652137	0.03643544859269926	0.005007231148295865	0.02316431346036349	0.010173208951508155	0.0072671076065214625	0.003217128660243359	0.0509972992428956	0.027651700848847823	0.08528894405748652	0.023833586948964095	0.08607700198366611	0.018546413845349646	0.1001665405878052	0.03864849968543169	0.041044591847140134	0.015511813763147624	0.009279549929538593	0.0037158490199688896	0.02480178989777351	0.0072791133835703615	0.0015704945161527264	0.0016661846599105958	0.007669140908204272	0.006724739497055963	0.009307528331977824	0.00274108913334518	0.006326332859873317	0.0025912115883572305	0.007541444359384361	0.0009473049001707125	0.02224298578208766	0.016829805244114246	0.023636825097022387	0.009383491214988613	0.014094505551022537	0.00354195240833737	0.010931335579036479	0.007045527135158562
GNB-AN	0.0042433498255669885	0.0	0.021115166155161562	0.0	0.023856608590594897	0.0	0.07813039305048328	0.0	0.03649734745727151	0.0	0.03677516778289466	0.0	0.03743469760111847	0.0	0.008329918203673441	0.0	0.045085562681317734	0.0	0.03757358499268348	0.0	0.047365387434421265	0.0	0.03190483827347826	0.0	0.04038988331158007	0.0	0.04619958796114083	0.0	0.042587309960779335	0.0	0.03931335948402165	0.0	0.03799655746788136	0.0	0.02538059963622851	3.469446951953614e-18	0.040241499561947905	0.0	0.03632471310960598	0.0	0.037192322475385856	0.0	0.04070895559285713	0.0	0.03894179576997745	0.0	0.03846424369066565	0.0	0.04063290754039725	0.0	0.03976047159625612	0.0	0.04755377079260955	0.0
LGMLVQ2-AN	0.5709704855195555	0.09395054506636358	0.01053492276714075	0.011446589998637702	0.0011035791762932692	0.0009140228834244373	0.005170347508075876	0.0044388534504638455	0.010438932966624872	0.007711387191809439	0.020404730669479683	0.014677244084125334	0.0008539018958815439	0.0004523152763845321	0.12421102803575179	0.06966823470140132	0.0060469558411275935	0.004014037405589439	0.010114797645487303	0.007995058299178627	0.01609636269033523	0.014284601090925136	0.010712825395897208	0.007031535330359795	0.004194207292870058	0.0022426261604438272	0.012515575786397054	0.007650621445021271	0.014026893234281185	0.0064663026255300255	0.01593612395424884	0.005114727490302468	0.01831874691268718	0.005896075384084103	0.04203800622620766	0.024081554221785918	0.001799609674311655	0.0014702980486335706	0.011777896758767312	0.004401381410374773	0.013287864567521396	0.009826906037546474	0.0030971670741940455	0.002552782824577638	0.01508896212040799	0.005475969055595995	0.030497242122412317	0.020603629959203947	0.00635579089914777	0.001124646763120237	0.02295558922620369	0.01745727465784817	0.0014514540386913184	0.0011983114383564836
LogLASSO-AN	0.280563516761187	0.0012807047963645803	0.12437198382146983	0.0006028785646534795	0.0	0.0	0.12478925535182524	0.0005932827710374449	0.0	0.0	0.041607235266065926	0.00014940963095620653	0.004439474753398754	0.0010121696374079806	0.033639052530768696	0.0007259625658421706	0.04496701080160591	0.002140781571717586	0.0	0.0	0.0	0.0	0.10394854521681977	0.0004802541739125734	0.06786078327543262	0.00042394406505426855	0.042824025860349134	0.00019073176240001608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09339202955398676	0.0027692144682902836	0.0	0.0	0.0	0.0	0.036695758821160364	0.00021738721933365054	0.0	0.0	0.0009013279859300443	0.0003975064724918818	0.0	0.0	0.0	0.0
GNB-BED	0.02133174878317804	0.0	0.05323859988515254	0.0	0.030798733612471308	3.469446951953614e-18	4.602444214919463e-11	0.0	0.04061883537622792	0.0	0.04722464855298898	0.0	0.041618683630509835	0.0	0.04774530890625406	0.0	0.036639718017646254	0.0	0.06314725009044832	0.0	0.036848178903412764	0.0	0.06082883986514061	6.938893903907228e-18	0.030250519166500244	0.0	0.037727727087145016	0.0	0.03634134146125986	0.0	0.03755832532943175	0.0	0.036559890396065914	0.0	0.06177836127053622	0.0	0.028072714811876082	0.0	0.03882974952955124	0.0	0.027218836372871695	3.469446951953614e-18	0.03181235996302312	0.0	0.04243452352560218	0.0	0.045455071663506	0.0	0.016061085346778543	0.0	0.0250674862505059	0.0	0.024791462155891154	0.0
LGMLVQ2-BED	0.18938021018628567	0.015474674992604569	0.016133016952962043	0.003935082575779726	0.01142446254380539	0.0022503083284019076	0.01493442771070401	0.002759386738765313	0.039310145339213905	0.006643483904305299	0.010716202475369276	0.004758885934301167	0.02464278330577468	0.005629317535136361	0.009218271486316695	0.003245026334554754	0.13850236167854552	0.03178889600928543	0.008207724808117458	0.005854176143725557	0.07742045849952542	0.010436040544367257	0.04627830840811028	0.023186069157651798	0.006842160361006435	0.0025607293192634233	0.026653132485893023	0.009539199467948463	0.11856655702233913	0.024444047933573406	0.01795538563332277	0.00996302311194058	0.018116748609480156	0.00580162956831714	0.009065492360563596	0.0018448462078228776	0.03158895285732585	0.003173987968162293	0.02772685121561223	0.00878537372232156	0.04529121488201522	0.009587054421179247	0.01981205594869289	0.01505039563290777	0.00855824796869425	0.003939229699153822	0.021253775293867183	0.002623256272149501	0.01262768449639276	0.006799072770252275	0.03620420960974842	0.010367387176005037	0.013569157860315994	0.004664017109342925
