	mean (BMI)	std (BMI)	mean (Disorder duration (in Yrs))	std (Disorder duration (in Yrs))	mean (Comorbidity BDL)	std (Comorbidity BDL)	mean (Comorbidity OCD)	std (Comorbidity OCD)	mean (Comorbidity Depression)	std (Comorbidity Depression)	mean (Other psychiatric comorbidities)	std (Other psychiatric comorbidities)	mean (No. of previous treatments w/o effect)	std (No. of previous treatments w/o effect)	mean (No. of previous treatments)	std (No. of previous treatments)	mean (EDEQ-bodyshape)	std (EDEQ-bodyshape)	mean (EDEQ-eating)	std (EDEQ-eating)	mean (EDEQ-weight)	std (EDEQ-weight)	mean (Lav-Dissatisfaction body)	std (Lav-Dissatisfaction body)	mean (Lav-Negative appraisal body)	std (Lav-Negative appraisal body)	mean (Lav-Unfamiliarity with body)	std (Lav-Unfamiliarity with body)	mean (MHCSF-Emotional Well-being)	std (MHCSF-Emotional Well-being)	mean (MHCSF-Psychological Well-being)	std (MHCSF-Psychological Well-being)	mean (MHCSF-Social Well-being)	std (MHCSF-Social Well-being)	mean (Age)	std (Age)	mean (SQ48-Agoraphobia)	std (SQ48-Agoraphobia)	mean (SQ48-Anxiety)	std (SQ48-Anxiety)	mean (SQ48-Cognitive Complaints)	std (SQ48-Cognitive Complaints)	mean (SQ48-Depression)	std (SQ48-Depression)	mean (SQ48-Hostility)	std (SQ48-Hostility)	mean (SQ48-Social phobia)	std (SQ48-Social phobia)	mean (SQ48-Somatic Complaints)	std (SQ48-Somatic Complaints)	mean (SQ48-Vitality)	std (SQ48-Vitality)	mean (SQ48-Work related complaints)	std (SQ48-Work related complaints)
RF	0.33011553843495556	0.011431220781517804	0.059612294241072485	0.002396083717872497	4.449146249737631e-05	8.898292499475262e-05	0.0001349963799320572	0.00011057089943081696	0.006459359906171479	0.0013119030439738303	0.003861271474598909	0.00035852116872471393	0.006859142954740549	0.001296738450897191	0.004754626751485106	0.0007523495211257767	0.029698002775712988	0.002337526213992341	0.041637945289347736	0.0025196970756274635	0.02521591488617339	0.0018609957983682065	0.026593144174687534	0.002264198875214094	0.04851582943654199	0.005258800975179221	0.04031667204734836	0.002313897513528099	0.02267200414568903	0.001821889728880602	0.0359702423127873	0.001837138007640992	0.028892640964711697	0.002519130366396082	0.028917099878341273	0.0017475673400174508	0.014727305405010044	0.002886699309307325	0.02705304907377696	0.0014715852695179519	0.024151356771882404	0.0017548577584212623	0.028110884209894844	0.0013139979150408715	0.0223365378578485	0.001272308849833398	0.023859200229074444	0.002377297097178192	0.042700891418314645	0.0025287277975965666	0.056822150283361905	0.002275648049698852	0.019967407234041414	0.001972141095405306
KNN	0.0075343152717531866	0.005627867562585751	0.002027257532736556	0.00453938471871623	0.0009295574706926705	0.0018353463094888942	0.003562047502657273	0.0035912006287774083	0.0038005416497159054	0.00422853199660513	0.011812213186692897	0.008623539059941161	0.01359561467802587	0.011055230900893671	0.0020346834032622853	0.0035761518768260775	0.0065948141762464975	0.006023325114296692	0.012799664973765064	0.006370666394692508	0.011186376659215395	0.0074930799712673935	0.0018986798492312354	0.0028678565106556937	0.0023089627033604813	0.0038021597404067397	0.0034209513991541006	0.004286973517925978	0.004938368343969962	0.004889059215332298	0.003823598242065246	0.004670980956938154	0.008160705807451285	0.006384626579543439	0.0034723666231257977	0.0037949951172628663	0.009016733975078019	0.007333833422530763	0.00639147764521586	0.0066734152698888615	0.00013488719043776464	0.0006360365502568593	0.005444193070244252	0.006294899390079762	0.012149853338601389	0.008487366917207152	0.0011787322728788571	0.003156165104291404	0.005337873080265227	0.0054988409701455165	0.008343329147884626	0.005938883212701545	0.007536732150330627	0.00560524276909499
RSVC	0.015094371455131783	0.0015429412934073736	0.002940287025014267	0.0007224641087036956	0.001751717648873333	0.0005898086889890995	0.0009276848211479234	0.0006263284641344396	0.0011941645829137851	0.0004764619041958758	0.002924766919453088	0.000800455265948435	0.0020862463196516775	0.0005162320172953031	0.0030092168664145715	0.0007455330919173585	0.003465666062260718	0.0009774536003561392	0.0030240600857594922	0.0009298544560683832	0.0036822090997720215	0.0008617860093852321	0.002610183141955432	0.001070581595489892	0.0023758264632795763	0.000962915204056279	0.005712132894263654	0.001619880553793473	0.003647579545594784	0.0010192208224403699	0.006138844618819644	0.001327031482615916	0.0023989056379792074	0.0009674649927220303	0.0028667234434484132	0.0009287375790540978	0.002273788443348869	0.001076096104450633	0.0034142666234810164	0.0008979892976489665	0.002342063271604948	0.0007394108442655272	0.0028211469375602205	0.0009566238128677005	0.005735181477108307	0.001131921668059312	0.004451949593904848	0.0009742605413493795	0.005678500477548586	0.0013103242645395178	0.005130898205157477	0.001494376660164071	0.002301618338552356	0.0006800290632058743
LDA	0.020828212205300355	0.0057264631492070775	0.002158622747521201	0.0030752865860838095	0.0006041670142789143	0.0012890549868917747	0.0013626629404012195	0.0018526456403518499	0.0	0.0	0.003906120465907265	0.0027711232603957353	0.008583251083800876	0.004330377631003574	0.010539129802450314	0.004789975460578092	0.003558419823911083	0.003651851501180815	0.004586902077292232	0.003365548377786623	0.007152781975791922	0.0051041193888101775	0.005787409449965969	0.004011621273161979	0.0035376978986466014	0.0030400739666657083	0.0013049659874950416	0.001989543630159452	0.010427929850674351	0.004552812864379457	0.0003219127859535714	0.0009726818831165074	0.0019016929338355464	0.0017951294943457053	0.006801583969472116	0.0050367780809717246	0.0012387871224931908	0.0017168839393905822	0.004179547397492562	0.003582881736418783	0.006030555655873199	0.0030040974401966338	0.001697642745686114	0.0021396346556548825	0.003109545726744817	0.003280525549089676	0.002818834511184827	0.002748484073400378	0.0005872328971330117	0.001173949148984634	0.009252894735981239	0.0037943191748791537	3.856820143620634e-05	0.0002699774100534444
GMLVQ	0.1789119566232898	0.019880173502562718	0.03936953214814692	0.012685614962401375	0.25275241288435507	0.05084547855999374	0.009378897304023342	0.002619909822530148	0.018937087741100457	0.00903214097695375	0.0023913672272950796	0.0010965171494809695	0.012454042507193917	0.006200468265704969	0.014212185259735976	0.004189751782061767	0.08020165149937253	0.019424098242573892	0.05248931528375067	0.004012278090766302	0.0119060144819608	0.004076777819047419	0.0191757411847539	0.00950407248806779	0.009048525356857521	0.008317363960392964	0.016334865379687116	0.0020203444810885213	0.007852414789625048	0.0016559744782108038	0.04111240515740084	0.00563207449652464	0.033979544944142744	0.012833055005762787	0.052138699001090014	0.007898759791968317	0.008547440251327037	0.0034191548804866096	0.016998249792000077	0.004683152309438868	0.015704875112973117	0.009053187022567327	0.05225686495735009	0.012343558129165549	0.01302446452945307	0.004718289901519573	0.0149537236839466	0.005523517939704353	0.013245483241624936	0.010880263521133823	0.005708051123614981	0.0020380471518239435	0.00691418853392838	0.002791915813691466
GNB-AN	0.003951771859556102	0.0	0.020832701486875407	0.0	0.02504016450437655	0.0	0.09342257728900553	0.0	0.03589034857728245	0.0	0.03574721294067649	0.0	0.03765930433747646	0.0	0.012105356713858427	0.0	0.03715809372468352	0.0	0.033139236277789065	0.0	0.03891953388325663	0.0	0.02879309914840574	3.469446951953614e-18	0.036394333640866264	0.0	0.048360794429701794	0.0	0.04157984163811519	0.0	0.04020827604492038	0.0	0.03777324842591215	0.0	0.02511695220859673	0.0	0.039959924741480995	0.0	0.03660390564793331	0.0	0.036880050839072816	0.0	0.03993758984713209	0.0	0.03982401119062014	0.0	0.0389314370941875	0.0	0.04195181955670305	0.0	0.04439785737305758	0.0	0.04942055657845768	0.0
LGMLVQ2-AN	0.3287804611190429	0.1533223168255153	0.05449970702936745	0.07807829774461028	0.009296524907485875	0.004433559419199604	0.0019184213866154161	0.001590836992672011	0.012410049653916063	0.019220958773332755	0.008603385730813574	0.01237933193651267	0.001773364946534069	0.0022966986619143313	0.0272788627953579	0.016970264568725385	0.023734667807918195	0.0132518431833635	0.20975772416021882	0.04358185290707192	0.04335176539935992	0.02879662823477302	0.01691933182851641	0.022148568748313977	0.0018303249205419473	0.0013490742467072178	0.010558060478580001	0.006073029919512575	0.015165477161288169	0.009112258145017689	0.04395983308211088	0.027594309380151828	0.04818133178125602	0.016722049477591917	0.025412776404020974	0.029632384742770867	0.010249891030789318	0.010530129860164855	0.005790300692292062	0.0018429484230548696	0.018293087220290973	0.0060257430101380875	0.031861221766701676	0.023223492672091058	0.003750651163393385	0.0031636730460272724	0.025049519342928955	0.011093763386511201	0.010002549032401093	0.005365983807391947	0.010440307789491367	0.006356431076546094	0.001130401368766509	0.0008637612939696205
LogLASSO-AN	0.2427355347623866	0.0004327302447976992	0.0882198775310997	0.00015439829349001385	0.0	0.0	0.10649067628236086	0.00011568142161455516	0.01595676759095508	5.851610480265462e-05	0.00639298093747837	5.911416251398707e-05	0.00657435369138188	7.28234420005571e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.01670185337839829	8.156974581293426e-05	0.0585758438585123	0.00014193911599490506	0.05983623572067248	3.8401926115043534e-05	0.05499347196787017	0.000188498563048367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13024208227927345	0.0001777504970768013	0.02920104744163533	0.00011806639811750719	0.12671091567551684	0.00023355693890005032	0.02361963846631271	0.00015438596079897992	0.030455817766008236	0.00025657407089537597	0.0	0.0	0.0	0.0	0.003292902650137687	9.10839606746089e-05
GNB-BED	0.03639277039447842	0.0	0.05079579247652401	0.0	0.031109709169565392	3.469446951953614e-18	4.3295984637728965e-11	0.0	0.03843956466857454	0.0	0.04417645661829837	0.0	0.04029219460544857	0.0	0.090786729519554	0.0	0.029060472648861045	0.0	0.05359804183129861	6.938893903907228e-18	0.029137828628020324	0.0	0.05282944132523354	0.0	0.026231832187592802	0.0	0.03800586183914522	0.0	0.03414587104314211	0.0	0.03696716397496357	0.0	0.034976760912937076	0.0	0.05883504149037218	6.938893903907228e-18	0.026826841208001422	0.0	0.03765515525822205	0.0	0.025974212325239603	0.0	0.03003463781250742	0.0	0.04176216219831701	0.0	0.044275166580044586	0.0	0.015958145156276644	0.0	0.026937413278656293	3.469446951953614e-18	0.024794732805429223	0.0
LGMLVQ2-BED	0.08958261691963874	0.01600316111501553	0.05109857431018918	0.010391343672199769	0.0428383808663805	0.007440920262483966	0.04362980609042338	0.005143239638209035	0.021450931282417204	0.014887856674150133	0.0038193592347048125	0.0010945444275320315	0.01427634947078093	0.006423218492331332	0.02476439513629102	0.0018144821439910754	0.13901574679637188	0.04713134256004277	0.045822855525363256	0.006081055911447635	0.09516311120428925	0.01019501954715202	0.026639235652887183	0.007450159283737268	0.018181062114512692	0.002985248617653489	0.02386263628966071	0.0014952782612809245	0.06328293321426168	0.029236195617096693	0.02003127618974848	0.007056835733325151	0.0077245655192744594	0.004487160461052347	0.0726322233454301	0.01257269741952552	0.05156248570313051	0.010683805002152187	0.011082929105273647	0.002807038153348848	0.03569691205262977	0.002789016508824255	0.01982614966878659	0.006370797040700923	0.009425564844649422	0.003733733923924164	0.011809408540609665	0.004870368775689246	0.03164494983453303	0.011521711398618151	0.013142459450780644	0.004101328090291181	0.011993081636981495	0.0041979526798402314
