	mean (BMI)	std (BMI)	mean (DT-Disorder Duration Yrs)	std (DT-Disorder Duration Yrs)	mean (DT-IND BDL CMD)	std (DT-IND BDL CMD)	mean (DT-IND OCD CMD)	std (DT-IND OCD CMD)	mean (DT-IND depression CMD)	std (DT-IND depression CMD)	mean (DT-IND others)	std (DT-IND others)	mean (DT-IND prev spec int wo eff)	std (DT-IND prev spec int wo eff)	mean (DT-num prev routes)	std (DT-num prev routes)	mean (EDEQ-bodyshape)	std (EDEQ-bodyshape)	mean (EDEQ-eating)	std (EDEQ-eating)	mean (EDEQ-weight)	std (EDEQ-weight)	mean (Lav-Dissatisfaction body)	std (Lav-Dissatisfaction body)	mean (Lav-Negative appraisal body)	std (Lav-Negative appraisal body)	mean (Lav-Unfamiliarity with body)	std (Lav-Unfamiliarity with body)	mean (MHCSF-Emotional Well-being)	std (MHCSF-Emotional Well-being)	mean (MHCSF-Psychological Well-being)	std (MHCSF-Psychological Well-being)	mean (MHCSF-Social Well-being)	std (MHCSF-Social Well-being)	mean (Age)	std (Age)	mean (SQ48-Agoraphobia)	std (SQ48-Agoraphobia)	mean (SQ48-Anxiety)	std (SQ48-Anxiety)	mean (SQ48-Cognitive Complaints)	std (SQ48-Cognitive Complaints)	mean (SQ48-Depression)	std (SQ48-Depression)	mean (SQ48-Hostility)	std (SQ48-Hostility)	mean (SQ48-Social phobia)	std (SQ48-Social phobia)	mean (SQ48-Somatic Complaints)	std (SQ48-Somatic Complaints)	mean (SQ48-Vitality)	std (SQ48-Vitality)	mean (SQ48-Work related complaints)	std (SQ48-Work related complaints)
RF	0.31784803826117136	0.006256964171437381	0.07289221219026192	0.0006299541328808849	0.0	0.0	3.8337405636308935e-05	7.667481127261787e-05	0.0019246671528740616	0.00025921073554491914	0.0036122644094505945	0.0008253422552352305	0.008391931050983154	0.0013389462275220888	0.0034448542367599504	0.0004446914528723412	0.031446280310200636	0.0008909590817237478	0.038719866119460725	0.002844519428206787	0.030573113261159364	0.0011459623710769146	0.02666849235053047	0.001685573219001967	0.057189385812689855	0.0025776040391976333	0.038980386402964494	0.0014647712408878332	0.021050179277441107	0.0019385231368692674	0.02644107474802577	0.0023743066069315845	0.023510320541891592	0.000750880629353638	0.04071812228293485	0.00257578265712564	0.012573441896961218	0.000914085301862418	0.021467791028708112	0.0020555395323721636	0.01568924979612818	0.0008040888445347681	0.033738477328582595	0.004499085107346024	0.017820234229606543	0.0007200400789860044	0.023617465690348716	0.0028490073759746214	0.049863168178403736	0.0021805916431880375	0.06171762867825251	0.0025601045933216376	0.02006301735857225	0.0007879400372644931
KNN	0.013967156171012789	0.010092454555951109	0.00036731852766972334	0.002201314691001085	0.0008026979974221235	0.002502900572927403	0.005945032861957998	0.006148486442909968	0.017686699508130992	0.01090183037946947	0.0009554659766310644	0.002981883996171795	0.00038895062926653145	0.0022831700430328045	0.0051863197973624695	0.007464323360376875	0.010241566539883307	0.011853356108529844	0.014024595751987818	0.012887985612998218	0.006783165093024995	0.010261162276959872	0.003918251598598066	0.005797397495790849	0.008452809051930186	0.010040979849150658	0.00894165062037731	0.010947058792143069	0.008471435915992696	0.009396247335709637	0.009904550062985004	0.011130095139361364	0.02701750166873365	0.016508765408617558	0.005291299817824765	0.008776351496325878	0.0023858648553217675	0.0038189145026530156	0.007891929722715381	0.008998770196520615	0.004153634002399798	0.007451944398095419	0.008848265729600707	0.010191571920355113	0.019203531989098997	0.011956022408211194	0.005189069813682597	0.008167760510788612	0.01763302976698873	0.014838924573325613	0.01021134487593784	0.011111396300324606	0.006934963668105045	0.007588266929518274
RSVC	0.017628186366928717	0.0019506938323645647	0.004056996865427186	0.0008793056949212686	0.0014598478204979066	0.00017650593400856426	0.0011668307600024548	0.0006804820983681831	0.0018337753522785813	0.0006043759967164583	0.003730888578281175	0.0010451972641045038	0.001812045740721894	0.0008747870205469825	0.0017001562446349557	0.000670758362970865	0.002375900548521264	0.0010520558191317666	0.0025265341169566136	0.0007629727791700939	0.003256791077658381	0.0008882985233490177	0.001170695147668614	0.0006482729960474836	0.0011658720312775308	0.0006233717990975564	0.004327171002634565	0.0013405523119293977	0.004321563239752048	0.0009661326933528562	0.008784268778883168	0.0014356868138931573	0.002435624557146612	0.0008048891954727643	0.0033198414034657097	0.0011143487758447901	0.0012592339517049197	0.0004346389659565056	0.003677771732973107	0.0013491325135388242	0.0031706689263102297	0.0010867840186567163	0.0018341197243761647	0.0009473937858090054	0.005602639930292443	0.0015035413242659368	0.007424006965753305	0.0016573083799159684	0.005668058411855019	0.001265066495202602	0.0018933290874325642	0.0008495233375863637	0.002397181636564867	0.0007086740212134425
LDA	0.02668042993052155	0.004663396973738056	0.00036564416115905397	0.0009085646732088652	0.0015697923868526942	0.0009814041975639847	0.0014437467787143166	0.001237474110348604	0.0022547891426043533	0.0017650414603247843	0.0002467296193641531	0.0007104202114603651	0.0013900631435906868	0.002046866365473478	0.0010174236629076655	0.00127140508135832	0.007547479814860714	0.004113391399729714	0.010058079108583024	0.003822619835083627	0.0056227879479879605	0.0038277274400106676	0.005830461854346193	0.0035705675938162034	0.0009413775969843305	0.001649076616877891	0.0066775943437108265	0.0032662761994827418	0.004186240949545659	0.0032297227712828943	0.0047447310229512514	0.0034876538651562898	0.0007402763962515119	0.0011835274183261346	0.0014972819941224652	0.0016906339991827792	0.00042812733127004383	0.0010755739206612053	0.004719421792907802	0.002613691518479932	0.0018803538090816987	0.0021327706147021494	0.007406607172917138	0.003917196031499975	0.0063657032669380996	0.0038814702154399863	0.004200958475846684	0.0028335388915101513	0.0015990172531099853	0.0023235494600016694	0.004110038111257374	0.003042234829657979	0.0014352733043205737	0.0016953712636418837
GMLVQ	0.45674550515337337	0.07166844755221996	0.08840573826152001	0.025237518727248668	0.013147069936336553	0.0012930893944448367	0.00857216104276648	0.0016548728752578147	0.0029350646939014973	0.0026780475322228893	0.002483065037779567	0.0016002575830978926	0.018963751213673267	0.0015461026240469944	0.0009287798471564973	0.0006813556037319982	0.0575581660693653	0.05220770238764192	0.039381512955068615	0.00562838594757803	0.03426986405416007	0.009106567353815483	0.00931818828748485	0.0018473915331424166	0.002706360475062844	0.0004720888107276955	0.049815787193839674	0.007810923902031204	0.019014892375577398	0.007625997855862977	0.027412999808040378	0.01137613539586764	0.02211073314187791	0.0035175770697639798	0.005278923540201748	0.00176450517921132	0.01168925102441382	0.0016974020861155762	0.003560732496840005	0.0015027406622480425	0.03949790815028864	0.008569238236376786	0.03495767638555861	0.013618533468736564	0.010216428726037698	0.002969512214484217	0.01637580360824053	0.004333664530551422	0.015478620176525067	0.0009294849893889881	0.0032089830548295215	0.00029854961985330205	0.005966033290079963	0.0012546401611746893
GNB-AN	0.005944938641678816	0.0	0.022358119689625953	0.0	0.029205331772422922	0.0	0.08266896966639302	0.0	0.03904742158853838	0.0	0.0348444544954404	0.0	0.038403779554540954	0.0	0.017590983733765133	0.0	0.03617803050100292	0.0	0.03076430054942426	0.0	0.036741904636629207	0.0	0.029091859791064288	3.469446951953614e-18	0.036408570127130405	0.0	0.047685219228184965	0.0	0.04175876137574229	0.0	0.04126259474931808	0.0	0.03689802333894329	0.0	0.024161504099652634	0.0	0.04036390758766767	0.0	0.03547499379539343	0.0	0.037294219645068696	0.0	0.03931798569506084	0.0	0.03860018618783496	0.0	0.03984149564683257	0.0	0.044438613506760316	0.0	0.0458373030971182	0.0	0.04781652729876536	0.0
LGMLVQ2-AN	0.34691601342980916	0.13854104387128963	0.01650324813801518	0.01349170721790416	0.020206386587542417	0.010653420804030348	0.002001517007026824	0.0005553589390711104	0.01636996392017874	0.009690272754682934	0.001364297256266325	0.0012299915143744085	0.011496715609489524	0.008161495503459246	0.05011576639909029	0.026082261863230156	0.03155919629722519	0.03109954261379786	0.0640631736595649	0.016881591459450705	0.01826627950064471	0.01775589366433625	0.011448993152463274	0.005400173749840979	0.017585987448364114	0.007283812187288847	0.025470955720119433	0.01761280835164959	0.020854402808662707	0.009941159821001503	0.025906043146955455	0.004181204654013608	0.02487868738591517	0.004017773238269338	0.013891858633750162	0.0036525157657542025	0.006223893153942945	0.005326856608082276	0.05334695376406817	0.03371092006050126	0.03712651872869579	0.012335645965259507	0.09167798727404183	0.05548591411591532	0.007593406371397519	0.0034328075118374543	0.05864943564719165	0.011868808471120405	0.004186880935609917	0.001947942769161449	0.01752990058550139	0.008034423007177464	0.004765537438467017	0.0029892755252382405
LogLASSO-AN	0.3429804768057155	0.0008962464064862093	0.06484818686482327	0.0006721153644450768	0.013588681257112082	0.0005567815665772226	0.062104939311053695	0.00014677317997960725	0.007636375724432593	0.00041299379774521413	0.0	0.0	0.009271936166502438	3.0811750234580095e-05	0.06070312258689681	0.0013291252121615622	0.035500748611885534	0.0005310953623654585	0.0	0.0	0.02633076490054633	0.00015800445086641883	0.04152414530174087	0.00011512725427340566	0.010916855128395315	0.00013320407514156958	0.040018441106840705	0.0005688157040491179	6.989251814159991e-05	6.246575288275068e-05	0.0	0.0	0.00612845907833798	0.0002991329208732806	0.0	0.0	0.0	0.0	0.04500828182125703	0.0012848975724759804	0.06243752451043166	0.0005257526831570173	0.06163462121978094	0.0009804329836964267	0.002063400286683625	2.3092896558416146e-05	0.01832292695823593	0.00180021905245595	0.06116026429257643	0.0001770647955828812	0.0	0.0	0.027749955548609727	0.0014795998194481572
GNB-BED	0.037703628492954215	0.0	0.04970393840880954	0.0	0.03723315947372649	0.0	4.38118237393506e-11	0.0	0.042914308468463995	0.0	0.044186676125266146	0.0	0.04216300642406613	0.0	0.0692847079900013	0.0	0.029033750548305665	0.0	0.05105784095723078	0.0	0.0282267055494251	3.469446951953614e-18	0.05477319364816939	0.0	0.026928207759161753	0.0	0.03845474317932249	0.0	0.035189406824249224	0.0	0.038928367229137256	0.0	0.035059629925330626	0.0	0.058076717780847775	0.0	0.027806546440341584	0.0	0.03744797312376996	0.0	0.02695264383853867	0.0	0.03034176077022833	3.469446951953614e-18	0.04153711671554901	0.0	0.04649479902787271	0.0	0.017346069507603024	0.0	0.02853789317121467	0.0	0.02461720857660242	0.0
LGMLVQ2-BED	0.03624404439121415	0.017740299769149388	0.043242407793972926	0.015825951360485962	0.024965770766274563	0.003614249452186115	0.050905488045197324	0.020612208033953652	0.018050637014978797	0.0035395196947852112	0.018197376115983252	0.008892867629514063	0.033826884230077035	0.006304901257558361	0.02149500195009297	0.0013477685054459005	0.06738863357977995	0.027245104432920154	0.07898372403723705	0.034884198418191015	0.07407219832236316	0.022125931512718217	0.048058170373371574	0.0072545677659893466	0.033801836922035935	0.01833878848386071	0.08678261796405976	0.017044226226770386	0.04991352556461946	0.017531048439590306	0.015533631701325379	0.01600148255923024	0.019404724055936608	0.010144369626128306	0.04549058782778499	0.009842056284053277	0.024850355345193788	0.009814781603653015	0.01796620960354874	0.013948946083328395	0.03906889419164719	0.016274571704946113	0.022407714606219997	0.007236096197684324	0.031680051763108154	0.007134527140470855	0.010477028734348196	0.00426748160552353	0.04071329186788429	0.028154613484661535	0.012436869108519643	0.006725695489224826	0.03404232412322507	0.007424604154257863
