	mean (BMI)	std (BMI)	mean (DT-Disorder Duration Yrs)	std (DT-Disorder Duration Yrs)	mean (DT-IND BDL CMD)	std (DT-IND BDL CMD)	mean (DT-IND OCD CMD)	std (DT-IND OCD CMD)	mean (DT-IND depression CMD)	std (DT-IND depression CMD)	mean (DT-IND others)	std (DT-IND others)	mean (DT-IND prev spec int wo eff)	std (DT-IND prev spec int wo eff)	mean (DT-num prev routes)	std (DT-num prev routes)	mean (Lav-Dissatisfaction body)	std (Lav-Dissatisfaction body)	mean (Lav-Negative appraisal body)	std (Lav-Negative appraisal body)	mean (Lav-Unfamiliarity with body)	std (Lav-Unfamiliarity with body)	mean (MHCSF-Emotional Well-being)	std (MHCSF-Emotional Well-being)	mean (MHCSF-Psychological Well-being)	std (MHCSF-Psychological Well-being)	mean (MHCSF-Social Well-being)	std (MHCSF-Social Well-being)	mean (Age)	std (Age)	mean (SQ48-Agoraphobia)	std (SQ48-Agoraphobia)	mean (SQ48-Anxiety)	std (SQ48-Anxiety)	mean (SQ48-Cognitive Complaints)	std (SQ48-Cognitive Complaints)	mean (SQ48-Depression)	std (SQ48-Depression)	mean (SQ48-Hostility)	std (SQ48-Hostility)	mean (SQ48-Social phobia)	std (SQ48-Social phobia)	mean (SQ48-Somatic Complaints)	std (SQ48-Somatic Complaints)	mean (SQ48-Vitality)	std (SQ48-Vitality)	mean (SQ48-Work related complaints)	std (SQ48-Work related complaints)
RF	0.2966254147744204	0.005425671883922979	0.0730679850756866	0.002692991883703218	0.0	0.0	0.00028273018690218044	0.00018781474144626196	0.0025236630562526464	0.00046233592220672697	0.006139710339810755	0.0007835150070053116	0.011210096499237402	0.0012779775471640454	0.004897938293392953	0.0009124160433983337	0.03245006982618982	0.0015227946483510285	0.06881930718583137	0.0018923579304402315	0.04624419265700837	0.0019533268181868846	0.028321224927297883	0.0010714083171743539	0.03535072158352406	0.0017186050737598164	0.026809319733938953	0.0016252366425635696	0.044197868728444806	0.0025426862636426617	0.0171757099051197	0.0015541327782922628	0.02940767605440443	0.0009013137760445441	0.02273814897774768	0.0020987398969389303	0.043369682720664715	0.001332449897529578	0.02611659408579898	0.0010994269074903616	0.02935545841552838	0.0018120621457647112	0.056790186614294844	0.0031533448404691333	0.06960106078643795	0.003990672348659591	0.028505239572065223	0.0018301693245125121
KNN	0.009960152498415243	0.003315583611028089	0.0005238984192378951	0.001483795366679809	0.0009151720040414177	0.001318597273838235	0.001119209871974182	0.0013075024864780912	0.0027474581987981255	0.0028714300962443783	0.0005190810444641338	0.0010242338874488454	0.0012911811739169088	0.0019099111735497401	0.002430846984871589	0.0017127692192398674	0.005573233995454012	0.003163537756672497	0.008438285083895249	0.003838971753629888	0.004560205778358481	0.003139463903266094	0.004292085364780897	0.00307391316094432	0.00689873089842632	0.0038929377821044094	0.006913205754903123	0.003300105737839431	0.0014908401396353582	0.0020778466862822107	0.007919456595938146	0.003551686953523575	0.0028669358902934008	0.00314793422840285	0.0031022783027667973	0.00273924938411413	0.00444622479716248	0.003072596384966168	0.008538630717380017	0.004450004028391786	0.002557477936389126	0.0026164445341187673	0.008876234723954775	0.0032423025252671933	0.01732099924544776	0.004060693929092471	0.002111059881709223	0.0028007351399541684
RSVC	0.01720155047152445	0.001797098845538286	0.003769965859409575	0.0006913027718363512	0.0013211341950934965	0.00011645916262792583	0.0015018067138733832	0.0005376533005697372	0.003911068853903086	0.0012578566728980133	0.0058733182081726594	0.0012207465445476318	0.0022000749468386377	0.0007755114646447604	0.0010237835915307006	0.0005212482939361292	0.0035089181094768683	0.0007814801522258277	0.0018741058494622237	0.0006945478890386831	0.003395798014789245	0.0008765175779760447	0.0036654183382229966	0.0008418978848504814	0.0074337637631316286	0.0014024109592410338	0.002385095085689085	0.0008130603677573642	0.003677933384035077	0.001000290403721341	0.0034786373680705247	0.0007770642333989155	0.003313947587225175	0.0010250446255878768	0.0034200565046031296	0.0011081049865907704	0.0015936719295289023	0.0007987845727628846	0.005792302095588104	0.0015004864241595552	0.008093884138961775	0.0014543170620691561	0.005670274265558026	0.0013305161026375347	0.002494056448707047	0.0008302282826085543	0.0033994342766042085	0.0007993256498024301
LDA	0.023167713032008343	0.0035359047190981997	0.0010676336308240728	0.0013426660814117454	0.0010935576433693298	0.0007098438759436179	0.0009980176671454065	0.0009370317759021145	0.0011901560154792884	0.0008850923650248012	0.0020091300220241182	0.0011970865063037248	0.003765038185477562	0.002490605925343874	0.0005194958896164443	0.0007323332708983847	0.005139046847465943	0.0023987263652544455	0.006416589796420652	0.003066187905408549	0.005478882985230578	0.003363991066700532	0.005075945440350128	0.0029029901447274633	0.005463185126380534	0.003168827323525085	0.0016437686123057201	0.0016718395858309216	0.0027488541495190068	0.0018090638322925006	0.0011327726179008915	0.001243245332838392	0.005966541243377631	0.0029244951709415344	0.0008952268869166999	0.001229057204453176	0.004641948909557497	0.0027389922856947578	0.007399681721632274	0.0029892787779185527	0.004950052469179999	0.0027177100559576707	0.005023033403109735	0.0027430898731594746	0.004135563047664289	0.0026910806126005837	0.002507426031908294	0.001778475714448237
GMLVQ	0.3651779753362337	0.03505642467219552	0.039848143610016706	0.025977757501023734	0.10287996358873434	0.03562566243658677	0.003436802057358188	0.0016540746700807502	0.02174936327926846	0.006216308778142576	0.013968777776182287	0.004834298773453488	0.035726394525196895	0.008120995154638945	0.006566763869767583	0.0035754920304660286	0.06668249339754793	0.04424393045472851	0.023637106205704382	0.01361111685241203	0.015657252225251876	0.010360591535318668	0.023799226106350706	0.008307887885526525	0.02751741632210125	0.005258697311394361	0.01292488676739978	0.005579094998581014	0.02003329967498105	0.009961512254567446	0.00527976316722148	0.0014301567608658837	0.040146947171867696	0.00561376991456542	0.016297235661113914	0.00329397430160465	0.045911068369402924	0.005399929856254756	0.02770046134663153	0.0048789400573045595	0.03654979112818877	0.011696042965386686	0.019005646364666135	0.00382049848269631	0.012663235215635848	0.005869049298940113	0.016839986833176696	0.00829533601821055
GNB-AN	0.00709694763622813	8.673617379884035e-19	0.023955881244423636	0.0	0.03260139328316446	0.0	0.09228190295557394	0.0	0.043587943387224055	0.0	0.03889624584973301	0.0	0.04286945721328031	0.0	0.01963650279377218	0.0	0.03247472652519989	0.0	0.04064224035670931	0.0	0.05323016351828972	0.0	0.04661456384871087	0.0	0.046060701853644935	0.0	0.041188608286249054	0.0	0.026971058011035814	0.0	0.04505751333232293	0.0	0.03960010567431717	0.0	0.04163087518785391	0.0	0.04388996929515693	0.0	0.04308870245059983	0.0	0.04447435415879598	0.0	0.04960603519869707	0.0	0.05116736755306474	6.938893903907228e-18	0.05337674038595219	0.0
LGMLVQ2-AN	0.4863297039538237	0.0774823166985744	0.0028702371391444237	0.0018750917800064483	0.0035954157037998515	0.004073894811169892	0.0018086574993022217	0.0020493554087522804	0.023742828873776923	0.006642480210193034	0.001605379020298419	0.0014098594915996183	0.0009574640273152463	0.001073313470174413	0.07239181684046501	0.06559524407136613	0.011849315394595133	0.006025463457867965	0.046738751615830895	0.015515812735346395	0.011030725737872884	0.008880575688426094	0.015626183748065695	0.005602223659694373	0.030242447206401228	0.004061474932209771	0.03437671731250823	0.009640032935178768	0.03248025273711151	0.024289191704729266	0.009645443566019393	0.008493791351683941	0.03024767960150241	0.012259113502329512	0.03545796566464208	0.01672589018003159	0.04021816812064124	0.009265932360665185	0.0022085337638004304	0.002258185764735383	0.08724372322664017	0.027312819180241348	0.0034246769878126795	0.0023495672742669	0.00781981828547157	0.00784148769855465	0.008088093973158307	0.002594720549013789
LogLASSO-AN	0.3580611831309786	0.0011959829808419488	0.04858136341695857	0.0004898707639193253	0.031288406623683276	0.0009177311098582097	0.06851356239187859	0.00040005325500334476	0.013099841353712977	0.0008979936634703111	0.007055013245517762	4.126547382634535e-05	0.038785252141105814	0.0002556332438706987	0.0	0.0	1.4860902702046446e-06	9.920532531174364e-07	0.0	0.0	0.05858785944235405	0.00043423815168530417	0.0	0.0	0.0	0.0	0.031084105629406333	0.0010820220117792173	0.0	0.0	0.0007253882727170742	0.00048387236045835565	0.08650785496114897	0.0005183772381114569	0.05098592278049362	0.00030289833473146635	0.049350201184840424	0.00037437905329591763	0.00876807440698638	0.0006381598395549815	0.02020818251196837	0.002058365343744561	0.07588911168497808	0.00041551550438196294	0.0	0.0	0.05250719073100095	0.0002791276514377052
GNB-BED	0.03593356667174245	0.0	0.05301845015560304	0.0	0.03960671929260874	0.0	4.66047638467582e-11	0.0	0.04565003328138892	0.0	0.04700351252763762	0.0	0.04485083682325791	0.0	0.12920404697694074	0.0	0.05826490516104519	6.938893903907228e-18	0.028644841878722883	3.469446951953614e-18	0.04090617718454796	0.0	0.037432680381178425	0.0	0.041409994079390826	0.0	0.03729463039351189	0.0	0.06177902415735759	0.0	0.029579173374654023	0.0	0.03983522700073101	0.0	0.028670835722655906	0.0	0.03227600393455531	0.0	0.04418504755520337	0.0	0.049458774911719953	0.0	0.01845185623590466	0.0	0.030357142397016933	3.469446951953614e-18	0.02618651985601985	0.0
LGMLVQ2-BED	0.07128239784543815	0.043149422886561206	0.02753633936678059	0.012058882141832811	0.02433467456898023	0.010544446298098227	0.07183939162172945	0.02390580518306225	0.01639630240376399	0.009354559401142765	0.03395817018911298	0.00967445763131129	0.023441070299444835	0.006649624488719042	0.020047775312220288	0.008061175268616388	0.06430978286635343	0.01524735046134497	0.12231332395349712	0.03588676130573232	0.01329039660702885	0.006184077999593055	0.05483522567031711	0.01546881105494825	0.014810101593054657	0.006957460941284955	0.026725285794573846	0.011081883295785501	0.06041751703010757	0.01556234529280483	0.02325469742769301	0.015363900175965364	0.006666427168881846	0.006206045386087316	0.06390106672153827	0.024670818176421118	0.0419071040177227	0.00869469713880144	0.02584807564876444	0.013966889912392118	0.05496862903479838	0.020128298644427514	0.024125298126918646	0.005348716050568089	0.024044431942930898	0.013613514014351196	0.08974651478834875	0.034733054816953504
