	mean (Lav-Dissatisfaction body)	std (Lav-Dissatisfaction body)	mean (Lav-Negative appraisal body)	std (Lav-Negative appraisal body)	mean (Lav-Unfamiliarity with body)	std (Lav-Unfamiliarity with body)	mean (MHCSF-Emotional Well-being)	std (MHCSF-Emotional Well-being)	mean (MHCSF-Psychological Well-being)	std (MHCSF-Psychological Well-being)	mean (MHCSF-Social Well-being)	std (MHCSF-Social Well-being)	mean (Age)	std (Age)	mean (SQ48-Agoraphobia)	std (SQ48-Agoraphobia)	mean (SQ48-Anxiety)	std (SQ48-Anxiety)	mean (SQ48-Cognitive Complaints)	std (SQ48-Cognitive Complaints)	mean (SQ48-Depression)	std (SQ48-Depression)	mean (SQ48-Hostility)	std (SQ48-Hostility)	mean (SQ48-Social phobia)	std (SQ48-Social phobia)	mean (SQ48-Somatic Complaints)	std (SQ48-Somatic Complaints)	mean (SQ48-Vitality)	std (SQ48-Vitality)	mean (SQ48-Work related complaints)	std (SQ48-Work related complaints)
RF	0.053906830810575436	0.002971653617397093	0.12360038015692236	0.004218800617707348	0.07700324840553978	0.0022357651644022707	0.040446809902262	0.0019896361746117334	0.056058588442459735	0.0021223878213416673	0.038713811588159945	0.003648151735666976	0.11709382046147125	0.0037113112288323273	0.02266947516304183	0.0013118992490356927	0.049582818146449485	0.003218754396527698	0.03027363784141342	0.0022822397692207675	0.06576090419754395	0.00289078156877875	0.03750502191541575	0.0007440347288940567	0.061877999188240704	0.0039395654512488585	0.11597770284764897	0.0024725971552535986	0.057749389682487294	0.00288726626403373	0.05177956125036811	0.0036023041571432617
KNN	0.006607947567905416	0.003651042247764946	0.009432464458395863	0.003542342044361614	0.00468382684588872	0.004231639233050075	0.006031541294451793	0.003891042335399984	0.005873927873281325	0.0031737426404153573	0.00918062339730573	0.004055076595414943	0.003403951909182247	0.003054768189390936	0.004506297183932575	0.0025326974443296048	0.0027212731693014025	0.002977909155759236	0.002513580383814117	0.0025872389470687246	0.007081038010857349	0.003604126562396263	0.010635602655816968	0.003148479357313778	0.006572785947202824	0.0036422528885494006	0.01002127970892277	0.00405272575788332	0.009277356786704112	0.004891455780808149	0.005281584573824463	0.003989834965187605
RSVC	0.005712575189265367	0.000716429122259625	0.008348794782946145	0.0013186971768892322	0.002741684779701201	0.000960025032686863	0.004892260951868822	0.001369472748967994	0.009693838037263007	0.0014417313221274774	0.007352401701959864	0.00126690412248488	0.008063670297887474	0.0012378207582666222	0.005462663829661427	0.001178377092463497	0.004550381846982039	0.0011526788886689861	0.005854263934653348	0.0009346435849089012	0.005202781865687691	0.0012667408624574704	0.006753257919677084	0.0015787823601347516	0.006767204883056995	0.0014526385541641714	0.00900329545428445	0.0013228487518387824	0.004988716778903393	0.0011460281734432664	0.004621781613373856	0.0015910314148448314
LDA	0.006532033497699712	0.005629612772925218	0.011215847011381152	0.008487931763230549	0.008274767540909646	0.007067398085254277	0.0064993591546844975	0.006877460235368118	0.004709796910877767	0.005815220540788737	0.005326949898214037	0.005155313682714822	0.013559784328269098	0.0073243035603708095	0.0007457897105663127	0.0013581685940053682	0.0027780640146584444	0.004510741194212173	0.008375381890939355	0.0063106878588269555	0.008797401862252143	0.007124201521081345	0.013014499778944215	0.0077549014517824255	0.008787616524857165	0.007557505248905194	0.019764582164110173	0.008934453319877168	0.0009390980335973681	0.0030949915344493746	0.007264197547480788	0.006168616825225286
GMLVQ	0.05612458967714316	0.037263829508359665	0.25752668617801283	0.11737144591366724	0.0784702850820683	0.03510256557759355	0.04246947513533282	0.011411244231342436	0.0915598125234311	0.06677532825474639	0.05212778972844155	0.017927004857152092	0.049768304018799156	0.020051072969767013	0.00789392049694608	0.0024331617032281086	0.09200912889294727	0.07457404166902092	0.020914948976317356	0.004127481875989398	0.026947293001532598	0.011051473841794118	0.013327786391628243	0.0035098474465375083	0.07113600581021773	0.027613109552963092	0.06911951730976444	0.02394464528497885	0.026153441141005568	0.018540676798940586	0.04445101563641193	0.02374519386576509
GNB-AN	0.045950619790130806	0.0	0.0603192702457506	0.0	0.07441592568677075	0.0	0.06485010731983075	0.0	0.06528509124026162	0.0	0.05632378974139547	6.938893903907228e-18	0.040379551021376435	0.0	0.06760330897774502	0.0	0.053903849062753875	6.938893903907228e-18	0.061993369453912026	0.0	0.061610341399943	0.0	0.06708243429598426	0.0	0.06450886693426636	0.0	0.06786215111986516	0.0	0.07219934916775043	0.0	0.07571197454226339	0.0
LGMLVQ2-AN	0.11124564776991472	0.005066889898446063	0.11165687887417422	0.002289560689959574	0.02635217118917013	0.0009228698864461843	0.05539969247109433	0.0020875588219917028	0.03261961487121813	0.0017792758854340434	0.07797321450974928	0.004872022809272038	0.08498716709963117	0.0048501476115630155	0.049153912628064775	0.003119256294200598	0.09964739388786123	0.005903296472208253	0.05310906816238098	0.005526840334324036	0.041641988687029875	0.004031981482246193	0.021959939369668384	0.001994435536878584	0.028466946524584202	0.002001876878759021	0.11890817304474585	0.004141914365944191	0.05779443167886349	0.0029082969491094224	0.02908375923184906	0.0016554378036144446
LogLASSO-AN	0.015621024877891687	0.001007027458510631	0.2228489256107385	0.0006928487463991283	0.14438202267396566	0.0018363150760656323	0.0	0.0	0.0	0.0	0.024236687504983662	0.0012574886670855482	0.07909477515466541	0.0002998071390122966	0.0	0.0	0.0	0.0	0.08033781825012562	0.0002510842517319632	0.12257629898109397	0.000692120653244141	0.04262148838516914	0.00207324689293577	0.006109260067283588	0.0022199391942427293	0.19665288062186975	0.0006132327713952253	0.0	0.0	0.0655188178722131	0.0021057068810482566
GNB-BED	0.09192557104219098	0.0	0.045992781658530685	0.0	0.07034423108767775	0.0	0.06792810184419659	0.0	0.07396400647513002	0.0	0.06158275499354206	0.0	0.08684614243797392	0.0	0.06096538297473865	6.938893903907228e-18	0.06845164494374063	0.0	0.0532553486491649	6.938893903907228e-18	0.05595135718272161	0.0	0.061884229878847806	6.938893903907228e-18	0.07549681098038954	0.0	0.03142882423569082	0.0	0.05076474232636284	6.938893903907228e-18	0.0432180692891011	0.0
LGMLVQ2-BED	0.03710812410534564	0.0020472221019349804	0.07059511333351998	0.0036802414393830793	0.045717815614673155	0.0034802300302442892	0.08057444053666715	0.00628538423085258	0.06406777767080049	0.0033007621697286843	0.08147195856821518	0.003979123042082256	0.08199528260863383	0.0031867527823898623	0.04582184406869418	0.0026860351310341126	0.03159306838584867	0.003239200936874261	0.0674079825440146	0.0021992072104057123	0.07495117237255719	0.00448019539890967	0.06644495463341742	0.004335117700750983	0.029010791574658246	0.0013517624196858384	0.1057756598466226	0.0069805664588355075	0.0768392596347488	0.004229494365209696	0.0406247545015829	0.0027009970056890388
LogLASSO-BED	0.03880015199829221	0.0007751030435638056	0.20399930898152827	0.0007589634328859057	0.039918853488366525	0.001206501061474463	0.0	0.0	0.02476791453255152	9.357167882120079e-05	0.0370233032006854	0.0008477095418658754	0.1924319514384829	0.0007581577507877572	0.0	0.0	0.0	0.0	0.025859839761699727	9.765397612057983e-05	0.08340134120127093	0.00044389100534609414	0.08577967836571407	0.001426110107843884	0.0026395444195814965	0.001574015278205237	0.2593670615300481	0.0009699100477804189	0.0	0.0	0.006011051081778797	0.001443226624092168
GNB-BN	0.05027402865860568	6.938893903907228e-18	0.04604581875004232	0.0	0.04219354753842136	0.0	0.04876395897613684	0.0	0.055566985421996985	0.0	0.07865920821488998	0.0	0.061102949086303135	0.0	0.06490041716885118	0.0	0.07707857838378501	0.0	0.08679151591070096	0.0	0.06499003686757805	0.0	0.06504031973407709	0.0	0.051678488854256674	0.0	0.052426435691791264	0.0	0.0937018153372149	0.0	0.060785895405348636	0.0
LGMLVQ2-BN	0.059352300137685554	0.001771455149428018	0.07179243271081401	0.002057390083004331	0.07484083816189771	0.0036278254328518914	0.1012096166961312	0.003961888710443878	0.09253914482702909	0.0027326156963499233	0.027448088201046612	0.0014856142983948046	0.0735998654511322	0.008662113625462804	0.09186585926071787	0.0029532685597447542	0.056303682122869916	0.0031497889153305754	0.021943781892060865	0.0011459343816183642	0.052960553643458766	0.002643980525313897	0.07219064452185785	0.003960098402583645	0.07783701208361102	0.0020550681196262427	0.05189421869727482	0.0028076060075658852	0.027422337557944525	0.001577127878732301	0.046799624034467996	0.0017380261168476047
LogLASSO-BN	0.010751806115501635	0.0011841997155049163	0.0	0.0	0.14815240969045526	0.0023277319220912774	0.20165810289036434	0.0004574882981439377	0.24286947979084372	0.0005540059901376684	0.006990889039452735	0.0014069779315584706	0.00043447089233283973	8.167530737671954e-05	0.0	0.0	0.02040571157139415	4.7154242367607046e-05	0.0	0.0	0.059475643759112407	0.0005993335118470138	0.04753399830814324	0.0025123247412470705	0.09707030520843456	0.0024299327156723765	0.0	0.0	0.0483601049605442	0.00011122876092182884	0.11629707777342091	0.0021585367406022128
GNB-OED	0.09517952410875972	0.0	0.09059924874960823	0.0	0.04712701206004419	0.0	0.06755341955809675	0.0	0.0545478674015613	6.938893903907228e-18	0.06911632612175099	0.0	0.07050913225692874	0.0	0.058947060468484545	6.938893903907228e-18	0.05831559629805431	0.0	0.06127345472001474	0.0	0.06036360037292924	0.0	0.05926695858462181	6.938893903907228e-18	0.058487156785225126	0.0	0.05768713462193822	0.0	0.0333758496655918	0.0	0.05765065822639025	0.0
LGMLVQ2-OED	0.03963684409572713	0.0012180862447468128	0.044559967032660915	0.002566410373216062	0.09562147347182604	0.0024312356557561828	0.04025400119217259	0.002249068729652492	0.09666018027151699	0.005602964893361477	0.06999420501520134	0.001408437125461145	0.04186052242816772	0.0023891031210765954	0.04422752743518766	0.003196128486001783	0.05193204135051609	0.0029406887655863416	0.04711254374178601	0.0011796594383937733	0.03360697756471818	0.0022617852668727323	0.05520091324124092	0.0037357528268785094	0.0927256936993092	0.0010868694596049965	0.0731013496327654	0.0014482610848225647	0.1488098527764469	0.004277750250532071	0.024695907050756867	0.002369992770311609
LogLASSO-OED	0.044772180171621455	0.0013082188740987542	0.034227601383803374	8.413169321395897e-05	0.05575205297612405	0.0022006664895323816	0.0	0.0	0.0	0.0	0.09255687577111889	0.0016110844629919113	0.07522055526770563	0.00020324760386185206	0.0	0.0	0.12207960728479494	0.0002739965393522924	0.0	0.0	0.06933993052074061	0.0007603864080138028	0.1549895803391435	0.0027758975654072872	0.1391593361543429	0.0029101967452012253	0.13043213928410952	0.00029436190949222305	0.07880703368705529	0.00017561870992076993	0.0026631071594398403	0.002589497557577136
