	mean (Lav-Dissatisfaction body)	std (Lav-Dissatisfaction body)	mean (Lav-Negative appraisal body)	std (Lav-Negative appraisal body)	mean (Lav-Unfamiliarity with body)	std (Lav-Unfamiliarity with body)	mean (MHCSF-Emotional Well-being)	std (MHCSF-Emotional Well-being)	mean (MHCSF-Psychological Well-being)	std (MHCSF-Psychological Well-being)	mean (MHCSF-Social Well-being)	std (MHCSF-Social Well-being)	mean (Age)	std (Age)	mean (SQ48-Agoraphobia)	std (SQ48-Agoraphobia)	mean (SQ48-Anxiety)	std (SQ48-Anxiety)	mean (SQ48-Cognitive Complaints)	std (SQ48-Cognitive Complaints)	mean (SQ48-Depression)	std (SQ48-Depression)	mean (SQ48-Hostility)	std (SQ48-Hostility)	mean (SQ48-Social phobia)	std (SQ48-Social phobia)	mean (SQ48-Somatic Complaints)	std (SQ48-Somatic Complaints)	mean (SQ48-Vitality)	std (SQ48-Vitality)	mean (SQ48-Work related complaints)	std (SQ48-Work related complaints)
GMLVQ-AN-1	0.2784731559216471	0.31824083043099866	-0.2855631086034068	0.1957141442091622	0.18007411256769895	0.27964480182487716	-0.09909319569624961	0.23649892325277835	-0.21978383228276094	0.3142306699350922	-0.031799882677281746	0.1673062964431891	-0.10040151332099492	0.30915608241101794	0.10918888119313644	0.4202677264777821	0.036640913019220456	0.11474785064098825	-0.05941384505168416	0.1974039557307788	0.09640284243686086	0.2514302314498715	-0.2071804023456675	0.15782580041722427	0.23371090051128623	0.20032420227696465	0.1103308963722549	0.2946407379430226	-0.003517441634522123	0.2051372409993289	0.04708178131478599	0.1268466961873623
LGMLVQ2-AN-1	0.055471369635478406	0.2953908181063221	-0.5198054996746533	0.08177971628672785	0.2871288936231376	0.17419653934237017	-0.21003134211850366	0.1312360151901732	-0.2240639270189458	0.1475760686892616	0.12207687696799545	0.09260350477783649	-0.30399282889158513	0.1200860465003885	0.04458141155912217	0.048503239575726324	0.22411279472228235	0.12999342449949863	-0.018171860468253996	0.14610296255409475	0.22012204486547224	0.10727105868038433	-0.16306487225235378	0.08651251533867978	0.19387727590158405	0.09222504623268868	0.3600052134482773	0.11817859319965476	-0.00252270408243446	0.11675886907347702	-0.12097498689835681	0.06457699189759866
GMLVQ-AN-2	-0.011447005093635582	0.30522739696591583	-0.15017744200592	0.2725609366618509	0.18475108411056979	0.25993379038079467	0.07197188189237831	0.27139238987024433	-0.007932537945237272	0.248081918909528	-0.11217339902355561	0.4190097371196252	0.06077827175319776	0.21788348890007783	0.17649762324390292	0.3883012654789189	0.10085740396338112	0.15572498386938344	-0.10888128976025255	0.2806632900960463	0.15121638853576358	0.19335124457429695	-0.16105905243272195	0.2628013068207404	0.2610892565015525	0.21568397139621784	0.161160634687953	0.2345680527214925	-0.077671997773082	0.26189306980444377	0.014910431616170117	0.1553362830857956
LGMLVQ2-AN-2	-0.24856047392444186	0.3104944962048587	-0.31151895033093174	0.13166015769936815	0.17393049013110112	0.1255691899291203	-0.07030677976363922	0.11198431354625064	-0.05668679910736463	0.14835305496298787	-0.04106950912784843	0.16005678658551384	-0.16640691649645642	0.16828101556393676	-0.0330574790714185	0.038052133114826706	0.3073531501944301	0.13998982288405815	0.062160617656289927	0.13880022610137013	0.10872944869002603	0.10050870061651199	-0.1385518892534101	0.10646613201966346	0.18273667823965437	0.0901360106752301	0.16693740122258321	0.1440608545020028	0.02951923690031728	0.08388576723269538	-0.04079742238301622	0.07440329068152193
GMLVQ-AN-3	0.18965348942903604	0.2841766225769945	-0.18095967593838025	0.1654171692711387	0.2541623646746043	0.31614087941009295	-0.0317443606633431	0.1360214120404596	-0.17971709912562409	0.25480035858228334	-0.013369345951507123	0.12678228280246506	-0.053379578139723494	0.18622344412425051	-0.01794489485858718	0.33878653382683416	0.12539757746131136	0.16316886257486898	0.08205108236955048	0.2687314771364941	0.14006143728928594	0.17256601092191182	-0.10392223394162667	0.11741277595813181	0.1212259543676208	0.29386010712045935	0.0814778062597878	0.2903699565441243	0.13049587790194958	0.2373953800932712	-0.0012770758562194507	0.08245127429281533
LGMLVQ2-AN-3	0.18501808181635696	0.4177134305452081	-0.26965615278449423	0.10782845235586418	0.3150179566660151	0.20171378833275044	-0.007960030190872547	0.11932750882537263	-0.20322877024452465	0.18869725363764261	0.011370753453162153	0.1861708196953063	-0.1667432696260895	0.1015935121362897	0.021288056481892817	0.057094418911574796	0.18667929441100806	0.1197101882208359	-0.13831917164280164	0.19783117149351745	0.11373461788411468	0.08345709257908396	-0.0448623101699126	0.07951163828367978	0.3826015630323202	0.13028576289665206	0.12222048454136747	0.08717926077564436	-0.01544925588430987	0.1333681560874447	-0.04427201896837448	0.11200611818667429
GMLVQ-BED-1	0.13965811531199704	0.014647644856374625	0.9382863601147482	0.31579545905800405	-0.0582332336306447	0.07976608057929495	0.47571297307409194	0.1365151339454749	0.22491804845918256	0.1380883956284092	-0.1355909176520166	0.23796198638091348	0.7667367033765748	0.08756680389349707	-0.22036080821424336	0.26657748277740007	-0.7138737621517501	0.27366004923372766	-0.2181148129627636	0.1536114609677994	-0.589015002866353	0.13480101365055672	-0.08864899746285722	0.1540656234426924	-0.4039721098412509	0.14344990150365838	-0.8666813832680136	0.12810729340410457	-0.23072533400616785	0.3062615101191829	-0.1612593294832668	0.08356555343787263
LGMLVQ2-BED-1	0.38395215012980627	0.13817493533438566	0.3656062926342036	0.12273722185907708	-0.5268816497613994	0.2254646039956661	0.46853879593828945	0.08463412195313609	0.4565270853713449	0.1635210187778723	-0.26545615270606826	0.12041497159153076	0.8296510049415071	0.07055272717324029	-0.1916095869022723	0.028261429296467504	-0.5894381474537937	0.029938809054705102	-0.22487713898866563	0.08600793696238476	-0.6594773623088054	0.0903792991139996	-0.05657184797935012	0.027715196489836443	-0.0866209649125429	0.0330185529362457	-0.7450187632531516	0.11948369265148161	-0.17554895358052813	0.06121988670915456	-0.14298188469210632	0.06761260337908336
GMLVQ-BED-2	0.23740197213631822	0.18289001346255587	0.4177163303830437	0.119017402874377	-0.09624958171896009	0.21306347971515904	0.4399200808955895	0.14865539390894672	0.06582728670590757	0.07238464696240239	-0.050050832215043875	0.05450348589345322	1.0039482268626065	0.17662235311618163	-0.29075866805080774	0.23287856961332193	-0.5787056014464733	0.30387882792564047	-0.3355357302636621	0.2265733473234562	-0.5808715271337707	0.11988585742150512	-0.1464367890983922	0.10972496621498871	-0.07629387379391492	0.2649924997652866	-0.8736363916021178	0.16985672290670997	-0.09101591905641629	0.2583557593502455	-0.16230171078799968	0.17535880014276184
LGMLVQ2-BED-2	0.39151606148611195	0.14810220759879944	0.7175982897160073	0.1620620921448572	-0.2436272819740007	0.1725635526851589	0.710890142218304	0.22005245202212806	0.011283267285568726	0.0777154255221673	-0.024737483881160992	0.13043611719207254	1.1832470944441889	0.20660664534679277	-0.1774979007833955	0.0955988246542197	-0.5986675050198027	0.05723237353006792	-0.295806842430027	0.11342334163899742	-0.5922859704280397	0.0729096630095173	0.12289210156279676	0.1688146636115131	-0.1918307938396186	0.02851718069125743	-0.8671188674415078	0.11623647744091223	-0.126335585926949	0.04309605890230375	-0.18003246230712538	0.045644327364696057
GMLVQ-BED-3	0.35935563198196707	0.24889145505840427	0.5129539940241881	0.42832673460750437	-0.0396811753846778	0.1586386066990779	0.47394048423625923	0.11969340359557921	0.061548508644250696	0.16141509991640007	-0.015222058131150785	0.1712521925987343	0.9627666645925748	0.12199718998972822	-0.3339929997511307	0.13713352887898966	-0.5391699403491149	0.2969588916656309	-0.25523125865246205	0.061896967677848184	-0.5983076624005539	0.05688460429663564	-0.1301214912740212	0.06967180133501928	-0.1456030620635588	0.1745501742227222	-0.8885567204923188	0.16351657943146644	-0.08152317606535957	0.19160384724333102	-0.16601775059756219	0.10554963545165963
LGMLVQ2-BED-3	0.17773420915151328	0.10576271933859313	0.7018816354273218	0.12583005877405046	0.01733673199906325	0.18737174535062018	0.5261669693639229	0.10438502398458893	-0.06398373479626936	0.1093132039335693	-0.07652522842730736	0.18313332096172336	1.1546681181465308	0.1982961079824359	-0.21518642054019183	0.0686543328750807	-0.49694328885367567	0.052127797124819915	-0.26996679792871375	0.15306531993121805	-0.5021351978041679	0.08645063027834234	0.03988233410289058	0.13896410152526165	-0.20851050762522844	0.05178574249507751	-0.7147764461347739	0.18654541652273166	-0.04951398917576207	0.09505202581426661	-0.15406793155530635	0.04699888441193593
GMLVQ-BN-1	-0.278369234880778	0.07066519208725719	0.09694471206403381	0.06797562672479046	-0.43551717493965214	0.11618805374537901	-0.05013301223427337	0.06521281083415709	0.4393367864769059	0.06352535610337784	0.12250741290362357	0.07489437884162639	0.23048928903908075	0.15770542891902722	0.04941565934529214	0.06839791387225563	0.04151175150072731	0.06103645511649891	-0.17965462000441454	0.0694538458987077	-0.142355097816743	0.04096405034745063	0.0774640823337361	0.060355146444523035	0.28123916009278294	0.08983684270051141	-0.4100167952276907	0.07031759952861538	-0.25654999613961016	0.06910025232525907	0.21367861084234058	0.023596031295735297
LGMLVQ2-BN-1	-0.03255681026198044	0.2003012737871368	-0.05143671772631262	0.15173504509339406	-0.5300666354000166	0.11795655524997309	0.10420253278766137	0.10100247130530406	0.16115574183133077	0.08124636745750553	0.1779609731897039	0.1463142638402961	-0.2683652061940141	0.18549460988503982	-0.21548087863648954	0.06711862507086831	-0.05456877927603023	0.042982170299230384	-0.07655230418513345	0.05540683125521106	-0.17078232785045028	0.10465184171013982	0.02067020600333582	0.06356775841013144	-0.03571719613540305	0.12651256973067543	-0.10984740125250783	0.11514256858163423	-0.3202873585729218	0.0877628647784222	0.14554374084861987	0.0767026147964205
GMLVQ-BN-2	-0.022536986150167172	0.16732541063671186	0.18723093153408105	0.09054995956049966	-0.23331462627856409	0.1383778083521699	-0.173893644114263	0.0485145056851907	0.2797238903940063	0.11311207090462892	0.5807859647230853	0.11630932489122553	-0.2618584371303361	0.08417102496054361	-0.24029517151583932	0.11124439617438078	-0.48413145422221693	0.08146398476218834	-0.04401387353366818	0.11563458955772243	0.06497484398203636	0.10577884453658526	0.04901109297777513	0.09494997796960927	0.030382036799152412	0.09064133611655525	-0.270950025442946	0.1460664177978985	-0.6223432560262886	0.05741183618875659	0.43234054278384776	0.03334090068603683
LGMLVQ2-BN-2	-0.060897229950853025	0.28715039995760605	-0.006435069570725843	0.18043486806010306	-0.23294043046944654	0.19016233366330113	-0.015602087500209711	0.13728249133167747	0.30678732956853505	0.1279630737710188	0.2763575678150457	0.11991491659634462	0.1397610669423553	0.2764492039493263	-0.02606729227844583	0.130972711203974	-0.2289749960035142	0.10519853765804477	-0.20163331684278757	0.0716922715457997	-0.0712432135247639	0.17936071527379938	0.0726917405224148	0.07428121416710287	-0.02070375163463853	0.1469613309493444	-0.2409633106740768	0.17617727336817024	-0.31507430665979713	0.059787333192580665	0.33237352660937286	0.151926539324869
GMLVQ-OED-1	-0.20769294991090162	0.11578348785970473	0.19951194128092128	0.04237185512658339	0.015269860265318055	0.06599659214443927	-0.029721947142869777	0.029728447325572	-0.1490532523623462	0.08147415637577367	-0.29114715411746794	0.07352389093689603	-0.4393337327445219	0.034601856504140334	0.2540412589812747	0.09027730938371793	0.25616384534998754	0.14041814277904535	0.4304660047341615	0.09325408627841705	0.10014365738197673	0.04852409855688903	0.3510650816916349	0.042943099321571546	-0.35971143120003557	0.05524035179887445	0.41042975518232827	0.08900388977812444	0.3485701118176562	0.10279952456220873	-0.04286369864257679	0.030911783045136896
