	mean (Lav-Dissatisfaction body)	std (Lav-Dissatisfaction body)	mean (Lav-Negative appraisal body)	std (Lav-Negative appraisal body)	mean (Lav-Unfamiliarity with body)	std (Lav-Unfamiliarity with body)	mean (MHCSF-Emotional Well-being)	std (MHCSF-Emotional Well-being)	mean (MHCSF-Psychological Well-being)	std (MHCSF-Psychological Well-being)	mean (MHCSF-Social Well-being)	std (MHCSF-Social Well-being)	mean (Age)	std (Age)	mean (SQ48-Agoraphobia)	std (SQ48-Agoraphobia)	mean (SQ48-Anxiety)	std (SQ48-Anxiety)	mean (SQ48-Cognitive Complaints)	std (SQ48-Cognitive Complaints)	mean (SQ48-Depression)	std (SQ48-Depression)	mean (SQ48-Hostility)	std (SQ48-Hostility)	mean (SQ48-Social phobia)	std (SQ48-Social phobia)	mean (SQ48-Somatic Complaints)	std (SQ48-Somatic Complaints)	mean (SQ48-Vitality)	std (SQ48-Vitality)	mean (SQ48-Work related complaints)	std (SQ48-Work related complaints)
GMLVQ-AN-1	0.11483510571871591	0.18226335285145118	-0.2497976340700591	0.2806607593779158	0.30435580767488374	0.22110846742947457	-0.12065254724875904	0.30612570874719097	-0.07097457520915637	0.33032068668614906	-0.015459624788915629	0.30902813652230876	-0.29325945522871966	0.16573805564933597	0.06908880834440675	0.490887651337201	0.12918970570365035	0.252949325217351	0.004706493714193604	0.15976763396924243	0.22386080319410678	0.19049543640242453	-0.190778113818372	0.19979204135806786	0.22121915315833424	0.08586990504191143	0.25269250699574436	0.30071799127178805	0.006940919057393091	0.1644388116255464	0.009477014437386392	0.04907234230398565
LGMLVQ2-AN-1	0.03091853450333597	0.2868329950015067	-0.36124638610140664	0.14570354082648296	0.2755374551480605	0.14512104359521769	-0.16902432995170322	0.20409822603947975	-0.18602943112268616	0.14822358799774354	-0.08878192455413905	0.1629031968678989	-0.28229778402910377	0.19189559192536365	0.022804594011630548	0.07054147169438325	0.26847381487547	0.11508640402219482	-0.012144890579693795	0.054002968552013614	0.29337662406493	0.1606047775883851	-0.03573975132352322	0.03769936328880155	0.3020985897945456	0.12416957489246983	0.3592218612741307	0.1480174926465566	0.06044981520296609	0.14319591148795935	-0.12694942047856062	0.08644789546263981
GMLVQ-AN-2	0.20851238977165648	0.05226202959479967	-0.2998177955783242	0.18055799112811763	0.44569884229231055	0.18473705093007284	0.09772355029937689	0.2919304402984646	-0.00661658081826739	0.23230171737721955	-0.06009747547604925	0.18072546067356032	-0.2213633149678357	0.11027711115661759	0.3044230274546393	0.5068201226329194	0.2706438376411768	0.30891888305346926	-0.00956313632417013	0.2545573331756587	0.28351412913920715	0.11892667472877319	-0.24593170308678336	0.09215404302255824	0.23965022031232505	0.07558705724445702	0.2794486306396728	0.24946196667665582	-0.06309523182407761	0.09896454770081786	0.04707988568080864	0.07284363792298322
LGMLVQ2-AN-2	0.006017903186174367	0.32359534703647325	-0.3683554738296825	0.056142953274045386	0.3048820491897492	0.07331810524672325	0.018770173652513288	0.2207099181858536	-0.2205789672616425	0.1622961566053241	-0.11488926982339584	0.06795991644367688	-0.1098257231926127	0.14892125008831364	-0.0014663815747206518	0.061526935490780144	0.28946599900907194	0.08902337583298466	0.04448949197737535	0.03910777688282773	0.24032894815497624	0.1601680881447798	-0.05908479974595802	0.03384754481464112	0.3302626248124862	0.05484874935581409	0.17441456129115182	0.12944227293783725	0.05581458893686162	0.15845536550572267	-0.07927917528493136	0.0518941495774533
GMLVQ-AN-3	0.29383992502523004	0.14504660236992648	-0.16842304921711632	0.25150287765732837	0.3163846476721555	0.2882337128050321	-0.2018273980373068	0.28314565892148036	-0.21095745543918695	0.44546215560579744	-0.17898452182354277	0.3049904686453034	-0.18651627940961726	0.1452913923849238	-0.19913668387623773	0.6936701219918944	0.016405769057109415	0.4652014613057243	0.036013317185092125	0.24883547953948545	0.2228284418748248	0.16700081414437715	-0.08530712940477271	0.16171980057400992	0.24912183337736157	0.12375006215166864	0.12320037481331472	0.34001918880237353	0.05218220213177092	0.15854052403244398	-0.013367049426471045	0.06542758083132463
LGMLVQ2-AN-3	0.028981064694657565	0.30749170262781866	-0.3840452044273803	0.09058753495418535	0.2996868839006226	0.12503417440022244	-0.09177498617607102	0.1576980651785003	-0.2630026239786906	0.14665494243785096	-0.0985027372416412	0.13878526731004173	-0.2147533659257747	0.07115969988592752	0.039723312262025946	0.056215625237965104	0.33101612963595056	0.025806940038644727	0.03865239096923329	0.03312675167262495	0.27576895770909154	0.10206426663336746	-0.05056699335610981	0.02240351340997052	0.29318136503116504	0.0658469801457045	0.25168953588675985	0.12543556166193703	0.022699099300917815	0.13600649184978927	-0.11342882219490591	0.08039187164903401
GMLVQ-BED-1	0.31672110471400794	0.16661640612578274	0.50140243916845	0.20571207169570566	-0.28226421710841104	0.1780595891424262	0.3598017324050595	0.12248092053955091	0.0907489698677604	0.3729921096366567	-0.13917009095356866	0.15023008788418418	1.017454838341765	0.1831405678624587	-0.2542075015125936	0.3510305011589748	-0.587320462293005	0.1296267164294485	-0.11939320872255135	0.1870243234415952	-0.4858137574032484	0.14593768911751856	-0.014025087785237072	0.05997633949931747	0.00044188248810727584	0.20262601629789745	-0.963793650394213	0.13711110055480183	-0.0863015037929467	0.17246111520547225	-0.13809546432097955	0.1291292205927021
LGMLVQ2-BED-1	0.2017932778933679	0.06322919363902937	0.5839910601794994	0.2399763054922972	-0.3574434008940979	0.025001434565496687	0.40142272052992467	0.05790282608944333	0.002775595326813968	0.0885999145704491	-0.10528254373029207	0.07051946822360523	0.8912398030261061	0.13892609439399597	-0.22065219451378582	0.040629701849748526	-0.548698106714913	0.02981780857372149	-0.2592765579427051	0.05036536050642395	-0.5878931780540105	0.07904313804654224	-0.035875344876277054	0.08303395269626665	-0.13589668229134935	0.015891822093742226	-0.8107371314190498	0.14777764870026291	-0.0406537908778835	0.05607666745636078	-0.21216076212047721	0.01811448730774788
GMLVQ-BED-2	0.36683192698209033	0.20548928334793448	0.6338305682925879	0.22143533216745112	-0.2313382149056371	0.16408276040567119	0.3938640063194939	0.18973368414002653	0.10640613755244273	0.2308837015335	-0.06324630439884765	0.1571874841620745	0.9937351624402154	0.1663586522061569	-0.288180114087836	0.18618145692793103	-0.596743185954584	0.11617146353157849	-0.17925850492739367	0.14402309379913383	-0.4065962728251574	0.13222044580369421	0.025987667649234214	0.07465604896098	-0.06519567318706873	0.09127357498002438	-0.8901229897595659	0.10100643176400327	-0.11645165353389145	0.1047419614627916	-0.20790869086475153	0.06738730345617502
LGMLVQ2-BED-2	0.1788626569872957	0.060566242935716046	0.4785721086013622	0.25040061805190683	-0.3615119209922085	0.03209554111234073	0.4513608094346936	0.05316703164827944	0.0502779500942909	0.08304402872399225	-0.1721897113360622	0.06118108181166092	0.9092026857995043	0.13965637560805155	-0.23174395219931726	0.03038358838530324	-0.5234661935280942	0.03101504917128784	-0.2769496253968983	0.021884635164056865	-0.5860414241790652	0.06856017913129747	-0.023286937497748534	0.0710236438407175	-0.1283406723635407	0.0165649405592799	-0.7742543064154412	0.16689927340846694	-0.026752210147240208	0.04300509839887882	-0.23291528121333674	0.0298325381178105
