	mean (BMI)	std (BMI)	mean (DT-Disorder Duration Yrs)	std (DT-Disorder Duration Yrs)	mean (DT-IND BDL CMD)	std (DT-IND BDL CMD)	mean (DT-IND OCD CMD)	std (DT-IND OCD CMD)	mean (DT-IND depression CMD)	std (DT-IND depression CMD)	mean (DT-IND others)	std (DT-IND others)	mean (DT-IND prev spec int wo eff)	std (DT-IND prev spec int wo eff)	mean (DT-num prev routes)	std (DT-num prev routes)	mean (Lav-Dissatisfaction body)	std (Lav-Dissatisfaction body)	mean (Lav-Negative appraisal body)	std (Lav-Negative appraisal body)	mean (Lav-Unfamiliarity with body)	std (Lav-Unfamiliarity with body)	mean (MHCSF-Emotional Well-being)	std (MHCSF-Emotional Well-being)	mean (MHCSF-Psychological Well-being)	std (MHCSF-Psychological Well-being)	mean (MHCSF-Social Well-being)	std (MHCSF-Social Well-being)	mean (Age)	std (Age)	mean (SQ48-Agoraphobia)	std (SQ48-Agoraphobia)	mean (SQ48-Anxiety)	std (SQ48-Anxiety)	mean (SQ48-Cognitive Complaints)	std (SQ48-Cognitive Complaints)	mean (SQ48-Depression)	std (SQ48-Depression)	mean (SQ48-Hostility)	std (SQ48-Hostility)	mean (SQ48-Social phobia)	std (SQ48-Social phobia)	mean (SQ48-Somatic Complaints)	std (SQ48-Somatic Complaints)	mean (SQ48-Vitality)	std (SQ48-Vitality)	mean (SQ48-Work related complaints)	std (SQ48-Work related complaints)
GMLVQ-AN-1	-0.5303239089218289	0.05972154465787305	-0.28598442655582107	0.13134830204580727	-0.05595436177976341	0.13759429707637474	0.19432711239638714	0.08700893152344721	0.039118077000601034	0.06433210360010558	-0.007778512651237369	0.01952630828182523	0.13501585100799826	0.041401336071863915	-0.12136460154521958	0.04443942047091175	0.019652666301737707	0.04053901090509084	-0.28295673210452293	0.09880360849587123	0.17477162149032147	0.042836039951669985	-0.03209181319611438	0.024370270446145228	-0.1207342562418207	0.08348215572596557	-0.07138433660540215	0.03860756822509314	-0.2278739319516964	0.11641933278568282	0.015234328873260195	0.18051150135420943	0.06576084455923152	0.0798698830643744	-0.039331252880074066	0.04040566619693452	0.08648670681626588	0.12003033111195956	-0.14154931760359518	0.20546524089044604	0.05371784880255549	0.03829117188499034	0.2408017656602306	0.15046096563241007	0.06799730629479614	0.0767900272124256	0.0010534354944836302	0.04829068742312925
LGMLVQ2-AN-1	-0.7541418703372632	0.08002458049118626	-0.4011045216419145	0.06195252652162091	-0.08484635321220904	0.07351116722873845	0.26084513535286163	0.026630716755199055	0.05006681942856195	0.13121058683043277	-0.0021231661499542033	0.07927288007818734	0.24274547527330706	0.1426272306377255	-0.1828707806697523	0.06962465349448231	-0.02360482345757652	0.10507091856297332	-0.3530644153805914	0.0640600232489001	0.19010253657925338	0.0460196275944145	-0.06717059362132036	0.10316480200445641	-0.12236836967551663	0.10867189909444439	-0.059884020397331025	0.07384290072523436	-0.3349161666704777	0.043725717711966094	-0.0015248613707125713	0.09370764038199297	0.10937086806926266	0.1385984533284674	0.03383645414724899	0.06868764803403754	0.18537975327611778	0.060297564006785306	-0.12842347745868582	0.07725310676176078	0.11890207454492685	0.029787020917373903	0.2967530063457646	0.11875444491798391	0.06334793077889386	0.09587818053508732	-0.031350849986382615	0.05366083644777796
GMLVQ-AN-2	-0.607335623327441	0.07920218523991308	-0.37432261666053257	0.10924481709122687	-0.07187662373712675	0.12053636336149319	0.2316708887650719	0.09888747815180791	-0.06265319273962201	0.11923800127477358	-0.0015338814621111974	0.029965244517326635	0.11635131597266166	0.06944671046249858	-0.23242215652527226	0.08327580250610303	-0.0486215567700488	0.048605836658116	-0.3306362447069616	0.09061995975352938	0.1310713991216169	0.08588005560342811	-0.05411093211724809	0.09970899448707317	-0.05477357133532916	0.09273512484942764	-0.009052374615395615	0.05836084354485753	-0.2584095367173342	0.0809669376955363	0.05801170937060315	0.15208188429209668	0.1526690256679806	0.10013206167991866	0.03432953990288496	0.07805971851433323	0.20379505066575146	0.126813123466364	-0.16777445561435272	0.16910611921698437	0.12117936678879362	0.06050253574211776	0.2677894438101331	0.13245211412500735	0.036923028826431545	0.10322978718765036	-0.07146547071369347	0.03475105613657296
LGMLVQ2-AN-2	-0.7537835567266127	0.10308597563748569	-0.3850148989154335	0.05981500690227094	-0.13358227986377272	0.03263799027593651	0.23296912622405636	0.00969393280561059	0.051587163264580446	0.08229424834067454	-0.020355228167904627	0.037010960771430235	0.1640192568522112	0.09536901243300391	-0.20401814970423288	0.0701304707226659	-0.022906503586799794	0.0959777999169199	-0.38537873451144067	0.11124243658848694	0.17235348491144983	0.07979918573487597	-0.05491273521799256	0.07960878669881448	-0.11273947930780774	0.0586142062801089	-0.03157615554765688	0.08464215247755263	-0.2959928739903353	0.06200298018370342	0.017614558218039287	0.05620494623287147	0.12503635629502147	0.05760395439490798	-0.06369220335710088	0.0649907542962134	0.1790250594656424	0.05875361665752597	-0.12209536007656556	0.050661813313593436	0.1146862711165246	0.08312277344209801	0.32950328342051965	0.04562308812425714	0.07372995305869481	0.030193134108194297	-0.015917964277483605	0.05941683320501944
GMLVQ-AN-3	-0.6294905127916441	0.08676616412930319	-0.43229696281477636	0.12669558397239575	-0.1442692663420861	0.13305699390600836	0.28296933739812713	0.1025623378637354	-0.07591626502908647	0.1107848046595144	0.0008237749216331916	0.011686370754790135	0.13152233785408912	0.06140314021778734	-0.22811331297906862	0.05598283503763238	-0.009901871821191437	0.03949049905093955	-0.3887263817840084	0.09463472634605934	0.17857604118859619	0.06417316516828675	-0.04869754320404624	0.08443720228884083	-0.1277776100863569	0.05117526256388739	-0.023297959448450884	0.051871685007915225	-0.3180025131659022	0.09016404067929243	-0.04859026967473166	0.11635570237468983	0.11335575543912049	0.08513054234541066	-0.02475220415835008	0.07426391613838851	0.27213347723925513	0.14510948980786986	-0.28234762075567066	0.1593124130865392	0.08989175011411603	0.06083424459833854	0.3713813952672752	0.13905338363261624	0.11314609118780454	0.09423404310794156	-0.034288449459577576	0.05413446914306598
LGMLVQ2-AN-3	-0.6897402827071014	0.08761126910306442	-0.3645107805738607	0.06985528906426082	-0.12064539173604656	0.06110441637740463	0.23656958971973308	0.023932847296629516	-0.04794870736076675	0.10896675820519523	0.022393188976248663	0.1617366156695482	0.0933228300507469	0.11237339940032849	-0.20061714844781925	0.08130772636145558	0.027180495807328654	0.09945435119312604	-0.3507987236209464	0.06710537143586782	0.1670919795124751	0.05641123844571491	-0.021046324741625357	0.0686869647317667	-0.0696311750170698	0.10142888804852117	0.02036158586369162	0.06692750445154724	-0.2798960066649985	0.04695427137087334	-0.022976861948841826	0.09388589257103076	0.04477656283075927	0.13012057178435904	-0.08368562311187186	0.10842042033133521	0.15512437997702588	0.040836769014431756	-0.16210482880850602	0.06184755592567891	0.03365337255906216	0.07520725486617397	0.2666247992838943	0.1158606648955049	-0.006855015814643724	0.0628679622058359	0.0002471926214345999	0.05141413147122666
GMLVQ-BED-1	1.3836554164329662	0.06169245454706192	0.46111094222819915	0.02060529718691046	-0.12628755092729838	0.031985789062138115	-0.170830816292601	0.05019968225760191	-0.04960668101027833	0.05222937010580088	-0.1498654273391853	0.07152564105791077	-0.1360006104981391	0.02527649525000742	0.12226034410466913	0.08507669229696936	0.2412123482202359	0.11056078704839621	0.47271855192852474	0.05678330251241692	-0.10618501757590852	0.040492521867982204	0.45091355768996866	0.044170289711417204	0.12415030258318097	0.05317706841221933	-0.05581523241250748	0.028397365983791438	0.5825066994641233	0.03108922262990321	-0.36143848576404275	0.03657886616867109	-0.5077238611780945	0.06408527363409627	-0.25186649618539153	0.06968660478826014	-0.41365495153446136	0.05612494373037151	-0.07203856738010113	0.03744841903679768	-0.3414839314924147	0.07709469180685567	-0.5695119627647898	0.04382542460290834	-0.09980989959318146	0.043541749559422326	-0.15629174397035409	0.09621386689277886
LGMLVQ2-BED-1	1.423698387641301	0.04132871087589906	0.5344690720795882	0.0840572603346502	-0.1015792308373759	0.044961731268044154	-0.21043779776698468	0.00864912989778344	-0.10670539830740222	0.03961268142738606	-0.23699678129293683	0.03922914808707839	-0.2700334000671729	0.028966718592827925	0.1275973146303341	0.07360506755621145	0.13367805777015251	0.01996893169789869	0.48500008850921394	0.035945576107347305	-0.2224658070342817	0.03416827717432551	0.39024171264996643	0.029604048910678096	0.21164040938077688	0.026868889748863423	0.009908066393386424	0.04341470861493226	0.5860234068551622	0.07649403249933821	-0.3514237223928661	0.012987363220130001	-0.4534725033729911	0.02869885898063069	-0.17480987207706694	0.03679686720082616	-0.47203643477562884	0.017232206184074526	-0.013924451434134105	0.054104698831467304	-0.2748877348414122	0.026653574332958233	-0.6332430358572994	0.016320344401612	-0.09870319538183099	0.03639991498701684	-0.1674797856438765	0.02751570299629463
GMLVQ-BED-2	1.3094967424424455	0.044446486435291026	0.45308805109403255	0.018269714028752652	-0.13822194472294758	0.031617617175515964	-0.13273285944899307	0.046016049882962734	-0.14261492730483258	0.054467413798363735	-0.1853504793871104	0.07587819633751934	-0.18894474305609066	0.02716098656869653	0.09745005796448945	0.08092172091915877	0.15862079733411671	0.1126543469042274	0.40715199429034765	0.04950905585379629	-0.09927855494779055	0.04072630854744467	0.3794530239424832	0.04524661967817083	0.10789378793211682	0.056545419607238474	-0.06880280319648328	0.025652451572877648	0.54486992618206	0.030340496305798725	-0.3708277371651344	0.03622590595254969	-0.5055313127033237	0.065359133077134	-0.1834978909107635	0.06056008249495489	-0.35163739196454336	0.02440439569145841	-0.11144488509937038	0.03965264758084623	-0.2908155497642377	0.0680973970355422	-0.523267604433691	0.039202021226416486	-0.05619592466667955	0.020696076058372474	-0.23541111853012442	0.09970200362293113
LGMLVQ2-BED-2	1.5759932371953769	0.023146579117742067	0.5992951935456222	0.06738127129119502	0.017995649177495493	0.06362901820030996	-0.20437589629776082	0.011816568847905048	-0.003132823500744936	0.0762795724188525	-0.11547596328662264	0.049157157189818494	-0.19908865559624653	0.04443217805785876	0.17002951762987545	0.04950906246301201	0.15659861563821947	0.02989850425741028	0.6226484403238309	0.03053312378414583	-0.06383260741883656	0.03585252923311155	0.35852213216606843	0.01992765498517683	0.0721680368902172	0.04270938066087676	-0.20977220931899584	0.020932103688403658	0.645652739518404	0.08299096875689395	-0.26468109523754746	0.04472378701636181	-0.3948598157188803	0.03621942203920174	-0.007851693924854998	0.03706218407672143	-0.3728167045373466	0.04620916678180682	0.020596779630295166	0.036155991406551014	-0.229885807433786	0.038232976066383456	-0.6209953492815302	0.01760281128930862	-0.04387318315677982	0.02749886240189631	-0.18644956597863915	0.04608857526103879
GMLVQ-BN-1	-0.006791965572879028	0.00370888698584747	-0.010390870313012352	0.008108604530910666	0.1003624478418994	0.003991273701326374	-0.16596264550750411	0.0075537155538033425	-0.22475441908440658	0.011556822944029094	-0.07308454250439844	0.004863695117936357	-0.35747288153183354	0.008301140170985915	-0.35083298238210325	0.014789730873341633	-0.02271038666119367	0.005592839905218998	0.18349296757500916	0.005508354917737718	-0.3528045391978612	0.007756007099996155	0.07934765127359292	0.009666820105541579	0.46638517364330373	0.009867578367800079	0.5398274432120834	0.007006740129645635	-0.04241772496759115	0.00750093051264741	-0.022483122806296055	0.008800426827467286	-0.053743314209054115	0.020524091109421796	-0.15640555019595367	0.0189539946560771	-0.10332344946779712	0.007253260618779978	0.1662729929924037	0.0060082281515311114	0.06349511271613484	0.012431525392314284	-0.16882087938441362	0.006676339356901767	-0.5337983444746222	0.016164645180943044	0.22218537366250155	0.017845065176760797
LGMLVQ2-BN-1	0.2490062297312071	0.0560269886896981	-0.03526465981806126	0.05528237601847251	0.11237567619871289	0.05148315881263062	-0.2472599391450717	0.06330761497531004	-0.2971069874487382	0.06334917667287152	-0.021154053616584043	0.10641045556661011	-0.4839282239645054	0.02232795267770394	-0.39840616053206357	0.030371393160853143	0.02811842125665561	0.07375704487148693	0.3382824170741522	0.07325867349673737	-0.3607292776994168	0.05619126109952728	0.24131520438133572	0.0641864775467228	0.6119215079553364	0.033698670054616936	0.6006761384581121	0.049215540140564576	-0.03141079521169034	0.02384876042547032	0.1358284541602856	0.15658453839287295	-0.04460687121341574	0.07777646785039792	-0.18181720646387015	0.042043829480922015	-0.1514206020124198	0.08037466651506181	0.24784386299066302	0.11174059771434756	0.15550405350612015	0.06395128053552862	-0.2665236834539296	0.04386273660580031	-0.5888519392517914	0.0376325050754745	0.37161389887839374	0.09344919448519681
