	mean (BMI)	std (BMI)	mean (Disorder duration (in Yrs))	std (Disorder duration (in Yrs))	mean (Comorbidity BDL)	std (Comorbidity BDL)	mean (Comorbidity OCD)	std (Comorbidity OCD)	mean (Comorbidity Depression)	std (Comorbidity Depression)	mean (Other psychiatric comorbidities)	std (Other psychiatric comorbidities)	mean (No. of previous treatments w/o effect)	std (No. of previous treatments w/o effect)	mean (No. of previous treatments)	std (No. of previous treatments)	mean (Lav-Dissatisfaction body)	std (Lav-Dissatisfaction body)	mean (Lav-Negative appraisal body)	std (Lav-Negative appraisal body)	mean (Lav-Unfamiliarity with body)	std (Lav-Unfamiliarity with body)	mean (MHCSF-Emotional Well-being)	std (MHCSF-Emotional Well-being)	mean (MHCSF-Psychological Well-being)	std (MHCSF-Psychological Well-being)	mean (MHCSF-Social Well-being)	std (MHCSF-Social Well-being)	mean (Age)	std (Age)	mean (SQ48-Agoraphobia)	std (SQ48-Agoraphobia)	mean (SQ48-Anxiety)	std (SQ48-Anxiety)	mean (SQ48-Cognitive Complaints)	std (SQ48-Cognitive Complaints)	mean (SQ48-Depression)	std (SQ48-Depression)	mean (SQ48-Hostility)	std (SQ48-Hostility)	mean (SQ48-Social phobia)	std (SQ48-Social phobia)	mean (SQ48-Somatic Complaints)	std (SQ48-Somatic Complaints)	mean (SQ48-Vitality)	std (SQ48-Vitality)	mean (SQ48-Work related complaints)	std (SQ48-Work related complaints)
GMLVQ-AN-1	-0.580457806205066	0.11317401005074759	-0.34136648609099274	0.17739242862190607	0.007480584030472781	0.10169830100818426	0.26359682522309963	0.15496878330327513	-0.032588346233591664	0.1135448496222944	0.01163075816840651	0.06791932077457845	0.2243452989245176	0.10209774634639499	-0.1531162483100366	0.02868501354540255	0.05698689393775547	0.012715970044449739	-0.23566468022709489	0.07902670855744573	0.1878709681361071	0.04782777942631602	-0.06872384816752122	0.10043029608482651	-0.07050644799584792	0.08028631648300681	-0.106918165200985	0.06950473399052028	-0.2627693716445862	0.10407725716333911	0.08444053830663519	0.06274117723971735	0.12976106342674723	0.05484321146536095	0.016438944592727517	0.018787415254272646	0.22506930140789388	0.14505699330355185	-0.05754104156112065	0.043128518064754734	0.1255856788839423	0.04563587507141385	0.22837150363840344	0.1866087314247704	0.08967411039944181	0.008072205666436861	-0.034309498100622865	0.09382511967228692
LGMLVQ2-AN-1	-0.5518880914880724	0.08644084183338657	-0.3830007547351185	0.11246766728895885	-0.08412308898373924	0.044404292193900484	0.2998159929107428	0.017097137239620037	-0.025839611949323583	0.06334648097103135	-0.02813339266490899	0.11213824546971256	0.2057267174758302	0.11122544207180936	-0.2080912199215164	0.06429237061632444	0.04551831912444415	0.21632821648823647	-0.24663234116230429	0.16053809605092856	0.18826042187715147	0.06224449893033895	-0.11856217493600718	0.030643253602301433	-0.15756982458637286	0.11379859955280977	-0.08978320582951815	0.05620906073370133	-0.287324816598353	0.013023548741432899	0.04585023083389937	0.06390333024725502	0.12049325076742863	0.02410976194499525	0.051067940992309144	0.059993553524959504	0.19789999160325183	0.0841814906130491	-0.03625382072038513	0.08622061145376476	0.1576970320020693	0.03499708992656741	0.2561141163319795	0.06562093295121439	0.09620522360249165	0.11118342182960048	-0.06192701254109534	0.03050170298243719
GMLVQ-AN-2	-0.5662788739079877	0.08947770858625072	-0.41302929185981696	0.16261007683679923	-0.059328161095451214	0.10819948857136032	0.2814922678877904	0.15153994368512055	-0.0918283386942206	0.09953890832039661	0.030401275082350965	0.03454027687467144	0.16099905511328005	0.08103752825985676	-0.14707336808122579	0.02369968901198601	0.04562789621451839	0.016020241846845938	-0.2688508273270892	0.08107935207261756	0.14699223221084698	0.03731503108259402	-0.15058510476621192	0.07996208313118601	-0.19128467615431904	0.07501026781969615	-0.09605484421226053	0.05257062290557912	-0.30886356801900156	0.10027406171675644	0.015613475401983582	0.0836413668436601	0.07824886960296602	0.06543523656829983	0.030673814788334076	0.015747621987701594	0.2550699803170632	0.12407711779424817	-0.06747092652379394	0.03384981000818241	0.13356436839306735	0.03699305609998984	0.28729832990928017	0.15743067414243897	0.08824645643148096	0.05085508078976211	-0.05569112567716313	0.09431992910994184
LGMLVQ2-AN-2	-0.6301290088423313	0.0936138297062755	-0.36076043435821437	0.1267089513486288	0.0029349183297716955	0.05541064343916217	0.2882166350969658	0.02172888391266512	-0.10631688174324597	0.07500642871753202	0.04697439787669756	0.11306626539214308	0.25583998647860035	0.11191762893168365	-0.19747667727973045	0.07485509453342587	0.04714060938290517	0.2430364372722879	-0.26175668195148966	0.1680796960610288	0.17224569082374722	0.06204532346295032	-0.15160658962525286	0.029304925086226424	-0.1518980028050529	0.11148202129190564	-0.07564057927993995	0.054089575994514055	-0.2755109536001994	0.01750735123527257	-0.011502710455213118	0.07791748775605026	0.10264416054617571	0.01943126427508346	0.0312945528213579	0.060079004959642315	0.3281751707883873	0.10283084960123591	-0.01029080980291688	0.09134934843368375	0.13158971300473138	0.03324102392258913	0.2983280826869629	0.07404705983773266	0.07110015846397857	0.11456783612308731	-0.08261646277759875	0.027984515929387378
GMLVQ-BED-1	1.3664290610967003	0.04041434899510341	0.39155800488960674	0.016524296430600334	-0.13778085108515084	0.05401551385486844	-0.13130097734159085	0.056028459460045366	-0.14509958150924643	0.06834644388924328	-0.13947119419248533	0.06495757846676871	-0.07857272808885538	0.025011551587951198	0.22475837291193107	0.04249786343955062	0.2326404907550912	0.08859004980830296	0.4804833233352487	0.08173503502185933	-0.14822491405991475	0.07661003601857475	0.28779613098452317	0.03765189848549653	0.06819931615102355	0.08502567986472141	-0.13449145281673747	0.029211094693288146	0.5305994918617929	0.03304818078862942	-0.31715692136776125	0.039890465954058846	-0.48783414433307837	0.05450779716970622	-0.13567224616271234	0.06513396282242302	-0.2999867856147517	0.04785875670229058	0.07684013550257368	0.026939135857233936	-0.20380636955711995	0.03786977162142192	-0.5160296689074084	0.0631952521826541	-0.09664383833910051	0.05416412419843033	-0.21031272368972193	0.07909040987413188
LGMLVQ2-BED-1	1.3878507991372149	0.1557361152360062	0.48839982889165234	0.2631871736958593	-0.10013899373046434	0.05024168418827095	-0.17540940956564216	0.016120211401073593	-0.06440485417745397	0.04316765150990967	-0.1753860089852267	0.14230254777958615	-0.14915609015281522	0.10047291573098677	0.1708717665860827	0.07685481381009504	0.21938479506252953	0.025000740859587204	0.511475426643527	0.07914623628861303	-0.17346941609398986	0.06361031164834532	0.28279617324119627	0.139841652593313	0.09961560157484353	0.12532518589515512	-0.08160801434673191	0.028363392089665186	0.5783264851668329	0.04795629707280902	-0.2940978504526507	0.10951966176192024	-0.40990042978580965	0.14548070270724733	-0.13572594408926578	0.16974646059055992	-0.31336504606416893	0.019977839982432303	0.08280711583943394	0.18029592541989184	-0.21341644324993983	0.11206554810768371	-0.639318074989468	0.18170363251580737	-0.06720611421508962	0.0350391523046469	-0.2422103700340971	0.14386764852061826
GMLVQ-BED-2	1.3534535507821737	0.042139301654735103	0.42006878468739944	0.015793253156169106	-0.08751205383341254	0.06075686387473516	-0.10491725177043251	0.04300141798719173	-0.13230555328911026	0.07589329932536155	-0.11077249312424693	0.07740677277607638	-0.1320753610567711	0.0098867036454534	0.13855543950625343	0.034175106324612466	0.23913161488814164	0.08716665440949332	0.4412778865667046	0.07087290222164054	-0.14660180680144116	0.06078421757160344	0.30766274503885216	0.034997003099216877	0.10033557346202807	0.08230470136285417	-0.11301803195752383	0.0110544468753257	0.5482314232165777	0.033617735796027656	-0.3252094709436017	0.03514776700589386	-0.4578018134744025	0.062350364746434246	-0.1621801982715066	0.05540260256186597	-0.2958649842485408	0.0492193522733372	0.039553343377913996	0.02483701894216117	-0.19149382928879125	0.04318650668996964	-0.5298325470717428	0.05452967183297952	-0.14454113022048637	0.0408118153336866	-0.2303669441353829	0.08296868140294057
LGMLVQ2-BED-2	1.604528787016892	0.1371180282535064	0.5010222519343612	0.2406779244864653	-0.0040174975365756885	0.04965186097155466	-0.17350467003997722	0.010565055779715043	0.004025632274954969	0.041600508541872756	-0.17543448654521404	0.12413016823219979	-0.20482266340556668	0.08521792193512388	0.1494990878820022	0.07251189429432944	0.2120585825661868	0.023271729987509465	0.5635521601181266	0.07331057337420196	-0.16290421583959253	0.05830942866807441	0.3016717417682117	0.1205280994162022	0.05652662287099562	0.11952962188083266	-0.15128818864785876	0.029612427856453235	0.6029541060808075	0.04053557233121231	-0.35757735325925905	0.10869929009029922	-0.47656193802144575	0.14824754217359182	-0.027182860211398985	0.16488645530277576	-0.32941140813308095	0.019198718455971132	0.08219305258495906	0.17256785435245708	-0.23384423519465286	0.10462252620442403	-0.6283922755654199	0.18407071069785308	-0.06224779684872137	0.028648878539362977	-0.13960138081128542	0.13654052329781036
GMLVQ-BN-1	0.15587495544718985	0.03319600435071812	-0.0365718810320641	0.0413424949023718	0.11507746956863615	0.03895002427406619	-0.1366276645865298	0.031753807184263017	-0.19817502459351077	0.062304659605817304	-0.0689526290222924	0.02243506584280656	-0.3244980636129817	0.0325784836578702	-0.2490455250880425	0.019843710293681576	0.004314535698420756	0.035872308415226005	0.15863855217891568	0.015501469301921002	-0.30746958736413427	0.04370882022885676	0.041544622311900405	0.027404223587842842	0.4030316554246597	0.06386196399950432	0.4359254514180879	0.014636768649509508	-0.0663884195935925	0.03910690234289399	-0.004833972045777764	0.043416409583192365	-0.0873722498129051	0.05516240389852084	-0.14023179504698285	0.0356929745628721	-0.07052934140070315	0.03551684193006924	0.23049214490432646	0.026714895842969884	0.10533139348398605	0.055491813606007724	-0.14840640561665136	0.01826732154387812	-0.40362845497825256	0.09189734924120144	0.19823182171110604	0.008016805955597523
LGMLVQ2-BN-1	0.20860901372713894	0.1830241409717269	0.02304571295002241	0.07370301824033525	0.1734991729365924	0.10991729982693936	-0.17653175478678554	0.00778413438031628	-0.1621778419521239	0.08957407671369619	0.044168524043093155	0.04646268881025856	-0.3426809661056941	0.011736976163998476	-0.2548556820454101	0.0674287939000197	-0.06455363087244777	0.16238311304680092	0.1730051585837288	0.17998383680462882	-0.32642342967551824	0.034037979962760756	0.06460517031030939	0.028781002176526772	0.38253565710918414	0.017979351328830072	0.4576528761882342	0.09064293852572194	-0.09591833848832337	0.07902076086126662	-0.005934851008054234	0.010145570668793244	-0.08413319962553822	0.12051544534708404	-0.1309582006145177	0.019121659521136588	-0.07276459408953993	0.0887726713559678	0.2343534784481483	0.012871212711309147	0.07034089811616032	0.07086352936049022	-0.22126212470857137	0.16850970770722312	-0.41321827631427627	0.1182807215449955	0.21672977870127444	0.11233103909590791
