	mean (BMI)	std (BMI)	mean (DT-Disorder Duration Yrs)	std (DT-Disorder Duration Yrs)	mean (DT-IND BDL CMD)	std (DT-IND BDL CMD)	mean (DT-IND OCD CMD)	std (DT-IND OCD CMD)	mean (DT-IND depression CMD)	std (DT-IND depression CMD)	mean (DT-IND others)	std (DT-IND others)	mean (DT-IND prev spec int wo eff)	std (DT-IND prev spec int wo eff)	mean (DT-num prev routes)	std (DT-num prev routes)	mean (EDEQ-bodyshape)	std (EDEQ-bodyshape)	mean (EDEQ-eating)	std (EDEQ-eating)	mean (EDEQ-weight)	std (EDEQ-weight)	mean (Lav-Dissatisfaction body)	std (Lav-Dissatisfaction body)	mean (Lav-Negative appraisal body)	std (Lav-Negative appraisal body)	mean (Lav-Unfamiliarity with body)	std (Lav-Unfamiliarity with body)	mean (MHCSF-Emotional Well-being)	std (MHCSF-Emotional Well-being)	mean (MHCSF-Psychological Well-being)	std (MHCSF-Psychological Well-being)	mean (MHCSF-Social Well-being)	std (MHCSF-Social Well-being)	mean (Age)	std (Age)	mean (SQ48-Agoraphobia)	std (SQ48-Agoraphobia)	mean (SQ48-Anxiety)	std (SQ48-Anxiety)	mean (SQ48-Cognitive Complaints)	std (SQ48-Cognitive Complaints)	mean (SQ48-Depression)	std (SQ48-Depression)	mean (SQ48-Hostility)	std (SQ48-Hostility)	mean (SQ48-Social phobia)	std (SQ48-Social phobia)	mean (SQ48-Somatic Complaints)	std (SQ48-Somatic Complaints)	mean (SQ48-Vitality)	std (SQ48-Vitality)	mean (SQ48-Work related complaints)	std (SQ48-Work related complaints)
GMLVQ-AN-1	-0.5716416612046864	0.23486679228746143	-0.38215940312422714	0.15669756579476207	-0.141133489376518	0.1322101553386103	0.27429985768462417	0.10506868451457932	-0.036642521819452635	0.05356987779958548	-0.026736339494979312	0.048165998293952086	0.0868917631950735	0.07840862474853458	-0.26015101521877154	0.3492712837541215	-0.15018614373405909	0.15595585623787186	-0.15959621182615086	0.12133484347465649	-0.13311299969553841	0.10719647684878202	-0.013806213448210102	0.252695378311835	-0.2561658558465507	0.1300678741051119	0.2543600128088107	0.2308020606587331	-0.06660760309541672	0.10806575942307067	-0.08912334358141052	0.08553912720272638	-0.1172290646246382	0.11456643168610983	-0.2575846304297882	0.14658975633733495	-0.004883215036609362	0.06398857524293788	0.07618072302132736	0.08815583898341273	0.03161049689705437	0.11709623502236578	0.13727404233699872	0.11110599531932125	-0.1933583674360371	0.10910229104870871	0.07371735401948551	0.11857421099059202	0.24697876889057624	0.10988570793967861	0.14453351653299468	0.08403092115414086	-0.03637944537266211	0.03892384053976796
LGMLVQ2-AN-1	-0.6235836686091906	0.23973974144650498	-0.26525995818031045	0.08136277178903434	-0.08478312658151507	0.008975383178460814	0.2568631789653154	0.01707725227002487	0.06171599836288701	0.03871238239599393	0.010372988827669051	0.05917722580538082	0.11917163474772001	0.0772009575505537	-0.30316651975753567	0.15764632347862156	-0.04021821700688087	0.052795783087917644	-0.18766074116441347	0.034509803512464673	-0.154668511183488	0.04795703825935166	-0.052109430337937114	0.15769264575368794	-0.32949492186409424	0.02567637997388453	0.15398181527580623	0.048184391340038796	-0.11459386888082641	0.10336987568252891	-0.18365031066632212	0.06441320681120175	0.00020709823557281195	0.07452790459277753	-0.2323922228478909	0.04129329227511988	0.07974436170955111	0.018582261895468223	0.16497794311073155	0.03668447263500308	-0.05626748331998923	0.023444757781669868	0.15166123142778595	0.06554615733415703	-0.12049456663355655	0.02285818239025976	0.04472610431504528	0.037947299249342016	0.3768917860638	0.12552170618014008	0.12793853719136994	0.09676279721331603	-0.028004563173230357	0.008631948650176517
GMLVQ-AN-2	-0.5853554473172938	0.3469730650581632	-0.2678973008471364	0.2054330104377972	-0.013300161166153457	0.14810133465383984	0.16667216823078493	0.10007538038113031	-0.008787175407630427	0.11943397058741557	0.027856010049087006	0.032162569103158546	0.16744080291571467	0.040660916073755105	-0.14175907193114642	0.12127661359528867	-0.12418384073508773	0.09281262223295546	-0.051075633210276396	0.11154355150212907	-0.0838686202023672	0.06694715198407553	-0.08734922218642446	0.1529171093339989	-0.18434034217097323	0.19173235653942516	0.10842096101722087	0.21245983083679837	-0.1169974809042074	0.03194092526446318	-0.04808804559222739	0.06040380467378557	-0.05557010481182019	0.09885558604650538	-0.2863933590873281	0.06158064085049873	0.07645703407522061	0.09793194168265	0.14745403831124132	0.08859643155194108	0.00364760444298184	0.04532982868035968	0.0932732306689613	0.11776070243236031	-0.09111462222318334	0.12227141639675962	0.09326766089267889	0.05377590393712869	0.1730699641517835	0.1539128672524021	0.0726612759284134	0.07881713157024664	-0.0035319271658841023	0.050512817257171876
LGMLVQ2-AN-2	-0.7476951324490961	0.22167749625803448	-0.3305491557045619	0.03145899705240718	-0.07933375797802746	0.014781362487636547	0.24157977745702502	0.014157091694066478	0.06533942095267029	0.08389147376054665	0.04401428681778481	0.03320085034117536	0.14701471670321573	0.020266685340088055	-0.1863510993501721	0.07313397571012267	-0.06662326218227195	0.0353910680833747	-0.18498629078456919	0.07532476618168482	-0.13939555363486317	0.004490256683490702	0.01897344364122345	0.08090352422541978	-0.31797880871963435	0.049700209401478956	0.18020818331399163	0.0577595681193381	-0.12397961345705907	0.047899474301919605	-0.17430506793112788	0.08177014964517586	0.022801253008823023	0.029348521117476396	-0.25125570823915877	0.03751159292315139	0.0744176820710473	0.02852514663316118	0.16274859257272917	0.07013861967041364	-0.04894114826481549	0.051845602269581105	0.20757867437117442	0.037829972102307055	-0.11845925314338812	0.01660754387341856	0.06038065240118086	0.025921945860896307	0.38000443411445584	0.13175884773956123	0.06401206641608667	0.08516061555103242	-0.030130304480662784	0.013288267674310853
GMLVQ-AN-3	-0.6773785135813163	0.3360982695056691	-0.5040049019873334	0.2457409133635143	-0.1536277456335498	0.1365181801737056	0.3011832211179701	0.17074974684395977	-0.02885218239595459	0.10346310505196234	-0.016906322588683423	0.04429721128539474	0.10483229145440161	0.05989590218978717	-0.403702285288015	0.27546906768556295	-0.1627817902994218	0.10078870174981157	-0.1670644088182925	0.12085885046021154	-0.18828079188899002	0.06813146418377826	0.050178651420932974	0.16052233773502236	-0.44787164701356136	0.19221860074144068	0.17180738921255576	0.18278501457123947	0.02184800233959195	0.1257011315251085	-0.1047001160715783	0.05719128299350108	-0.02923316740466847	0.07984060476468698	-0.18959551721209883	0.10124766767779741	0.004829959586119673	0.09356486979510759	0.037062917440567535	0.1124824413737875	-0.0366856966897355	0.06267730602274726	0.2503171840036798	0.1383810517029031	-0.17608706393866025	0.10855347975330887	0.1367498680463099	0.07611057019653061	0.3144506823148572	0.15287733693690517	0.04689907874740579	0.07585997026384725	-0.03880819508898674	0.057987928149193374
LGMLVQ2-AN-3	-0.4063014808913438	0.02065387887571929	-0.393954077912246	0.05648491964155383	-0.0646313074107557	0.01532977628034051	0.262610069336088	0.023505092630337537	-0.09882137455194515	0.0614155128785254	-0.06072552810983134	0.06060272151513552	0.12802213976644122	0.0813127586263306	-0.27453805310653373	0.1449568078189427	-0.2190554528208291	0.02500441412264686	-0.04530367729421753	0.053387456448818656	-0.13269120117709524	0.043434691229479884	-0.041826738682215446	0.16941887341179612	-0.3137451371754285	0.05494279182638807	0.1861250316452365	0.03978113436768545	0.0133685567204322	0.06765169263845111	0.016328537412613316	0.0401860824256708	-0.05211851113542323	0.0796631104633146	-0.2795496985461079	0.01947472349494201	-0.026018336189701202	0.029083465272564186	-0.0017233344862399886	0.053548200700557526	0.04392602143740656	0.03286194493589241	0.10791456420373302	0.04612407988969061	-0.1782017572319604	0.020534947155443618	0.14316937343738048	0.03820251930693479	0.10332331149514103	0.08611609265758924	-0.020935786915749793	0.12132164684737219	-0.03339616094573959	0.009601799094615936
GMLVQ-BED-1	1.363150078457488	0.20007124672690701	0.4753664174539174	0.057518767557747534	-0.0839447791908572	0.038313686978404204	-0.13900033479485926	0.08381319346005353	-0.06373486354739291	0.03776864302571319	-0.18533634496830287	0.09268539290145669	-0.2142485171669266	0.034778101429426736	-0.10842524151731929	0.2727959972386671	-0.07042776867580144	0.012416920268408965	-0.19315437747946396	0.0443093124534052	-0.12473653465368018	0.06687350072639558	0.30283677989848035	0.27890481179525806	0.4447310114527248	0.049497345184158256	-0.1676141208054199	0.09042915962259647	0.3466348901878119	0.08181390135193813	0.1802210495196705	0.0675208152273595	-0.021340140091369246	0.07568306036189908	0.6620992416255963	0.11816277232486135	-0.29746613390233356	0.01567559371159763	-0.49802670954892925	0.08578038057439819	-0.19567553690003994	0.08584369130198853	-0.3647425725634636	0.11466186934972249	-0.006234937025056822	0.028923559500282178	-0.1945724217249874	0.1609053143555569	-0.5642154629515129	0.03950142851254432	-0.13877740772565844	0.12009500255203608	-0.16566493185899683	0.05018900073594398
LGMLVQ2-BED-1	1.3196840296622452	0.1973544428654352	0.49634214239653646	0.1352923105405069	-0.06593967331261558	0.048294791380254	-0.1941070088408871	0.0014202801065107506	-0.08285973584092128	0.10362696538776636	-0.1385495007672938	0.03024122656809935	-0.18292157900523126	0.024101367209196183	0.06826837942925075	0.0743870550399349	-0.03602255363102745	0.02755396167238984	-0.19334341576101682	0.12438178276716935	-0.03294257821191219	0.09324596149238079	0.14482577869530375	0.0670796408176112	0.4733929219857044	0.07028022204231364	-0.1507058219450259	0.01134774681135382	0.33921962117017473	0.01598188417658712	0.13749455348445258	0.02489090121921274	-0.024171741106135146	0.07768861006778606	0.6086725462325122	0.09927595929785567	-0.2809089520121166	0.035312159687853256	-0.4616500203756522	0.04524494941722996	-0.1806541757289899	0.01748236558625861	-0.4328661278739256	0.05441005141071137	0.006725514537011546	0.061885581994084574	-0.24445755851889422	0.04398770561247324	-0.5580750663019648	0.16499395181108392	-0.13123882817458898	0.016129636273108774	-0.18830453128856062	0.02375488590761945
GMLVQ-BED-2	1.0636558203053	0.1445377457526602	0.4196582760485715	0.09895277367114691	-0.11969448761908316	0.034496654914150326	-0.13998318313240182	0.10176063362690427	-0.10168431724106872	0.0157274022107384	-0.17396677781627617	0.08510946940426664	-0.17636291005371757	0.01738559174760962	-0.00830038031028704	0.26333564048617	-0.11763657835419308	0.041481663112865455	-0.18884854711890894	0.017470830638762615	-0.08121746553487608	0.030129532502969004	0.2235806973615575	0.2708308136213962	0.35763089246829904	0.06288561944553815	-0.09757662528201029	0.02398639502192225	0.29917457088855504	0.0421698403183668	0.1390140074550489	0.018398679813219604	-0.020061640398818907	0.06264240752674442	0.5796015891799122	0.13584080198682646	-0.30751359624696595	0.02296826371588021	-0.5025432440761411	0.09306061800675795	-0.20647344918963495	0.09782943859404392	-0.3259969770831922	0.12643355269768358	-0.04877283616758769	0.031227995004379328	-0.22107579097203783	0.12820791348772118	-0.500319129569273	0.037184193227839314	-0.15037237803374925	0.11983527602265003	-0.17229547225396638	0.042876378217696194
LGMLVQ2-BED-2	1.4102385698242876	0.20672363246411266	0.5623212243833051	0.15057775369298235	-0.060825498843312675	0.04883398023829036	-0.19508646472880256	0.001418140115820685	-0.03941624061043705	0.11098367414215829	-0.14890565685040785	0.03437118674004868	-0.20326777717628253	0.027949812513309726	0.09503387265689181	0.07963107767882957	-0.03598280767841737	0.03125592521588284	-0.14013763606423799	0.1344904729340186	0.007487225233441757	0.10132895018878746	0.120282713403157	0.08309484227895883	0.5064962297103951	0.07390844212822344	-0.152724688508844	0.013686848497648802	0.3446960602661781	0.02285838582719854	0.12975541475999813	0.02193844799325851	-0.06278747518081126	0.08035198304599044	0.6362834938923727	0.09920152750109984	-0.2907928319992165	0.03601643154704014	-0.4327329601811763	0.052310821699624144	-0.15521429174714158	0.017946281854308743	-0.4047016664739971	0.05979185969074867	0.02065689521322894	0.06781845326067487	-0.2711305919455732	0.05128325377769834	-0.6247164443233088	0.17734621461262054	-0.12651330211250872	0.01765935649799594	-0.1804898052156829	0.03240181214359745
