	mean (BMI)	std (BMI)	mean (Disorder duration (in Yrs))	std (Disorder duration (in Yrs))	mean (Comorbidity BDL)	std (Comorbidity BDL)	mean (Comorbidity OCD)	std (Comorbidity OCD)	mean (Comorbidity Depression)	std (Comorbidity Depression)	mean (Other psychiatric comorbidities)	std (Other psychiatric comorbidities)	mean (No. of previous treatments w/o effect)	std (No. of previous treatments w/o effect)	mean (No. of previous treatments)	std (No. of previous treatments)	mean (EDEQ-bodyshape)	std (EDEQ-bodyshape)	mean (EDEQ-eating)	std (EDEQ-eating)	mean (EDEQ-weight)	std (EDEQ-weight)	mean (Lav-Dissatisfaction body)	std (Lav-Dissatisfaction body)	mean (Lav-Negative appraisal body)	std (Lav-Negative appraisal body)	mean (Lav-Unfamiliarity with body)	std (Lav-Unfamiliarity with body)	mean (MHCSF-Emotional Well-being)	std (MHCSF-Emotional Well-being)	mean (MHCSF-Psychological Well-being)	std (MHCSF-Psychological Well-being)	mean (MHCSF-Social Well-being)	std (MHCSF-Social Well-being)	mean (Age)	std (Age)	mean (SQ48-Agoraphobia)	std (SQ48-Agoraphobia)	mean (SQ48-Anxiety)	std (SQ48-Anxiety)	mean (SQ48-Cognitive Complaints)	std (SQ48-Cognitive Complaints)	mean (SQ48-Depression)	std (SQ48-Depression)	mean (SQ48-Hostility)	std (SQ48-Hostility)	mean (SQ48-Social phobia)	std (SQ48-Social phobia)	mean (SQ48-Somatic Complaints)	std (SQ48-Somatic Complaints)	mean (SQ48-Vitality)	std (SQ48-Vitality)	mean (SQ48-Work related complaints)	std (SQ48-Work related complaints)
GMLVQ-AN-1	-0.43463586056881864	0.24290400217660812	0.0034197955576150546	0.18979578267814712	-0.1390824338517087	0.1655980438914828	0.3062157211488744	0.10362310421859747	-0.013564933621754437	0.12660788536128098	-0.06448762620603668	0.06904190004151724	0.2703413649885359	0.03234417791100458	-0.11858483921721219	0.08735844988395913	-0.1429991599893668	0.15912006481197633	-0.07171573448406046	0.05385190886445563	-0.025521762629807477	0.059021253251111155	0.2615724044617599	0.11972813884888528	-0.3247557088121139	0.0643630449532071	0.2896405848522269	0.08730717771317638	-0.015192602321255114	0.078243927026295	-0.13723534030371257	0.14153429531082562	-0.19880032659276634	0.08407562413212968	-0.40200276614961117	0.0801111673542951	-0.03330881615707181	0.04474576250477149	0.0900591495424519	0.12625132249352045	-0.0470740806251196	0.12016510538138953	0.1990833782207192	0.14185281574981493	-0.006523031054607481	0.016034802408390975	0.18936115955483315	0.04754397561377964	0.28151868276869607	0.08451103988433314	0.09600241357759083	0.07252675515751995	-0.04480799649482543	0.03182134908137205
LGMLVQ2-AN-1	-0.6659211467745088	0.06597227478699598	-0.4121039235467756	0.026243682300829536	-0.06738520764917275	0.051686142370833764	0.31513570241272915	0.03414996163019425	0.08240556402553718	0.1963487499999738	-0.09167873862606427	0.14268831815127914	0.15260658750742717	0.0569734627466618	-0.13007440429148545	0.06915911558227163	-0.09695086691001385	0.053556086381779645	-0.21642988263096674	0.3488983120037057	-0.10433453515898139	0.0818366627806386	0.03999378372597051	0.10566516116218487	-0.31771012216964173	0.11608983159718124	0.27620760067260297	0.0864326516138515	-0.2031746278277879	0.10326581125811068	-0.15756782490616167	0.048561611806726954	-0.08220341630955523	0.046593696125696415	-0.3051964227496544	0.03477353392396091	0.05537856188766582	0.03795157382946152	0.02258958064173583	0.08618863638025097	0.07794748820669792	0.0997021494986223	0.2504540811904702	0.04267821852053691	-0.0539707321551538	0.03885151476059482	0.25430093502673917	0.08357855892998108	0.4533988642707672	0.31815787221349573	0.16174472598169265	0.1220918559451532	-0.08336992151187916	0.021818580686829632
GMLVQ-AN-2	-0.5915264803831739	0.2376225237064678	-0.33881543412104476	0.30231168055484764	-0.21746878896901983	0.14792705413334709	0.30008138705730414	0.08850584419762121	-0.07141434877790155	0.1954430107022945	0.008519921996452153	0.07293197299685152	0.23480359937271594	0.05221743073003709	-0.1706204039742087	0.08700619084906767	-0.06983258896821835	0.08020352690929372	-0.06541242288527976	0.022979542163575766	-0.013828517284521419	0.03844544412383735	0.12031060142438565	0.14573749472671252	-0.3027298944795569	0.056902403297474806	0.2375098186121211	0.041211665399017404	-0.03985468773685012	0.07694982609617017	-0.18240521824553207	0.11676280282685307	-0.12937284184652345	0.11868567923999708	-0.2904844663051965	0.11856831299682385	0.0197244553712679	0.04324612376674072	0.11308685001393029	0.08028163196065381	0.010729156172196597	0.11036404323242598	0.25475577099011193	0.10329899128440985	-0.053503313867851156	0.0694261359396666	0.10980689810761532	0.033705768597279695	0.2794834722069206	0.0615287336997218	0.12216827194935236	0.05006387476084332	-0.050448880178744694	0.032613635524246246
LGMLVQ2-AN-2	-0.581699307685689	0.14882073939124993	-0.45716283659485424	0.11577900840895701	-0.09319532694336814	0.02137432976593366	0.31633304677096247	0.019534464419149404	-0.0704718934600868	0.17284008584984478	0.04077960232713794	0.12637217790660824	0.23451396664560029	0.03277412821049575	-0.20626899919381875	0.09416982948492915	-0.0012892581389470775	0.06724726802809078	-0.005744337598866002	0.2918416303655401	0.006804190024417822	0.09469085824586816	0.07305796899321781	0.11211362922613834	-0.24849727166215904	0.06214205415463734	0.17886578401505968	0.03690051206479362	-0.11921802933461556	0.05545529130007999	-0.13015289481080278	0.08268490122530495	-0.09813632888542684	0.058321652907314475	-0.20892459231778346	0.02718382258418351	0.033336441655745064	0.056088265371469596	0.11754600877353286	0.025838320815466564	0.04588410903550206	0.11499628853205397	0.2343094196576589	0.06371980045947226	-0.033442385650730905	0.04081394158001448	0.1413345579030461	0.05968322914261715	0.18055658928947776	0.23920049477644958	0.08962601936341742	0.09158328741301257	-0.034278391889923814	0.01901776742980927
GMLVQ-AN-3	-0.46539041258436686	0.11118135212676086	-0.4623685112469672	0.2952200539434313	-0.14470844881992662	0.18353236667367614	0.27024186887158186	0.056651374044399745	-0.06159035271927221	0.2293700472827518	0.03763535690329302	0.07238108459846167	0.2093988842101258	0.03013234200679262	-0.199439141511413	0.0903269268037817	0.0071443929387701045	0.10113130230649274	-0.09052210592203266	0.06086029392470122	-0.06258024015800676	0.07168211490689155	0.03987987874656787	0.032952388373209664	-0.25972660183244745	0.044397767494788506	0.2240868700806101	0.12071564407882135	-0.0681844703991143	0.03749783641768239	-0.16295151524580337	0.1295308776212988	-0.10901716991750372	0.09333865526133048	-0.2816421881788215	0.13081095099894355	0.01864180340457139	0.04895420551977741	0.13911405704577204	0.07543154235135462	0.04676956305804319	0.0639513229308992	0.21436587179236363	0.16444813385045315	-0.06028929613389085	0.04524787633653236	0.13187750685556948	0.019285943729430797	0.24002744736840306	0.10716936373198921	0.12203293171017096	0.050310800678280365	-0.02511731534964116	0.04704942676558436
LGMLVQ2-AN-3	-0.6453593956407943	0.20687481581790704	-0.3683676311880922	0.10323366019056994	-0.09094631950098979	0.0501253699577521	0.28428932257857326	0.012539634302996955	-0.06716480670507863	0.12188662281401189	0.020561730006420125	0.12974793000200852	0.20340596510275538	0.0448148447293841	-0.21839127567988367	0.11415887096688927	-0.050705556699160645	0.044847677745324575	0.08057252915147968	0.21897351795191566	-0.07282628519498904	0.08511555306820284	0.012551603884680119	0.07196257697449689	-0.24070072944992557	0.09585910244732039	0.19108695985333346	0.06610865449939911	-0.09489420836397494	0.0905702643840825	-0.1293424187719064	0.03497112775992834	-0.11652390579398553	0.03143225309203044	-0.2720347951347234	0.050238841068988724	0.030360932697124476	0.03896555019296561	0.13213771519758355	0.03388146142449023	0.02736640053145764	0.05905779454989199	0.24426162437278323	0.07109374314430762	-0.05169256885537181	0.03163944428566072	0.17200397076643742	0.06201719261678858	0.19542842882345596	0.2491427667964496	0.12711163639100198	0.1382710887559868	-0.04649623708068502	0.039944794862762714
GMLVQ-BED-1	0.8980851784434064	0.08986849986225658	0.28856421393618864	0.09985100506669323	-0.0975824720850218	0.05896815300465075	-0.036490264788326794	0.03738792579502721	-0.3102843191203698	0.03262221675846406	-0.09423338614131446	0.00807010227676986	-0.021151574419230067	0.024333398293409574	0.25507153534411825	0.02270534113826208	0.0605272944514608	0.08318636968765494	0.04619208238852426	0.012717298960146069	-0.0028442785635257504	0.019247177722247533	0.2901641010161575	0.0282287139165873	0.38293493587398075	0.03603718846690087	-0.2543534846296943	0.031566150336702126	0.31994923560553473	0.03849771813846766	-0.0288188291934094	0.06083447365020859	-0.09899321206281186	0.06252493595182577	0.6557577161453646	0.0747758283769401	-0.3573739683622216	0.008290675124587324	-0.5904583910755852	0.03597725625123893	-0.31107831336874336	0.014454631207848056	-0.10367461932073123	0.05366484155196024	0.1068697290357337	0.011628086354193344	-0.15179600775906218	0.00832824290698347	-0.45980962325967784	0.02770613605806184	-0.1333699515705807	0.007280016846417541	-0.2718131810966192	0.013837837326768875
LGMLVQ2-BED-1	1.3982097390987953	0.24671831514991585	0.5068891559215782	0.15209120881254531	-0.07142514285709292	0.04145360349952759	-0.17572523785717936	0.005623627909410435	-0.029311611479061972	0.10056681035920978	-0.17525996721738482	0.08834935181165497	-0.13497686878497034	0.058829462182344784	0.27930954897085486	0.06357967376763657	0.06960958923813551	0.029594920870283384	-0.05655190762415905	0.0906799357475456	0.04586630933922432	0.025276374264018703	0.19746064492033819	0.019559961176287836	0.46902055593818853	0.018839290639736023	-0.14602914606150158	0.03536638989342512	0.28964618228008004	0.10405106456420855	0.12638002754007865	0.017166080290165697	-0.13193758397134842	0.09905168920027349	0.5999729850007501	0.09154843923488507	-0.296736222143477	0.06238021712101246	-0.4404665270992355	0.02461339630677806	-0.11953419163078208	0.042218068881332005	-0.3436539497931871	0.01966873740851854	0.0994545392210993	0.06078601888188985	-0.2171859584540944	0.055071022546965456	-0.6380725592846362	0.1464327519742527	-0.08237287927084533	0.038035038870099264	-0.21565104753909195	0.016219230229670367
GMLVQ-BED-2	1.5657864479464654	0.09351671643633741	0.6398347031535419	0.0702664451078551	-0.10387377189186413	0.035781486225327126	-0.12465196544986841	0.027150122226398964	0.026914729358567164	0.031934843896888124	-0.19616943722672828	0.012905292073104672	-0.10760305871947214	0.022055583678022846	0.3258609490682791	0.03663134143427295	0.030174750930095463	0.03458795804589038	-0.14073143786741044	0.03176696187829475	-0.04000420861963366	0.028939571050979003	0.3759303352885935	0.019661669466682536	0.4291231449779054	0.030660688369182877	-0.1096133942924927	0.011876132791957199	0.36603188971857625	0.023167091438139033	0.08481978274523712	0.03166170901961674	-0.15050000644432732	0.04175629905084548	0.49553954949027157	0.04694504388686482	-0.3530316356556221	0.03150113941099298	-0.46952791338924105	0.04851281114443326	-0.2150677057637985	0.017015678044564355	-0.36432361122196044	0.051791299522656264	0.1249446753189466	0.009741056515480273	-0.1531002884295463	0.009206323424266725	-0.557398856357905	0.009089527030565798	-0.11611690851055645	0.005674655090623325	-0.20227833366847006	0.017789833640508627
LGMLVQ2-BED-2	1.3769759733021423	0.2448073260121827	0.43912252407075225	0.1413921310923455	-0.0944807064862013	0.04027410332710255	-0.17490452620280453	0.0062481424082041805	-0.08065316260907221	0.09095272225610544	-0.10533355515979462	0.08323645409036638	-0.14166915743614567	0.05472075357171438	0.32137867118444435	0.06248823937306404	0.04473199617563602	0.03351567506826577	-0.08662341410299368	0.09107341810433241	0.041043556857237554	0.021991844651979012	0.19708359943180903	0.018869971118501153	0.5073529029557505	0.021250573591631555	-0.13662659911247263	0.03527385382984412	0.26712195002290634	0.10609576058298473	0.10022831792777434	0.016187815096338223	-0.09530901100234462	0.09831007430163095	0.5600296132700073	0.08533762918298315	-0.30397552207882206	0.0693151713005065	-0.46048469103285344	0.016161006999972753	-0.12510899511606183	0.03756660841338822	-0.3267548020686829	0.020529187216431412	0.062322553972182025	0.049401567159875585	-0.22320746707184552	0.05497856310877747	-0.6148000458807346	0.15293035618119905	-0.07541365275140262	0.03165039523860496	-0.22844974163565115	0.02347843805672836
