	mean (BMI)	std (BMI)	mean (DT-Disorder Duration Yrs)	std (DT-Disorder Duration Yrs)	mean (DT-IND BDL CMD)	std (DT-IND BDL CMD)	mean (DT-IND OCD CMD)	std (DT-IND OCD CMD)	mean (DT-IND depression CMD)	std (DT-IND depression CMD)	mean (DT-IND others)	std (DT-IND others)	mean (DT-IND prev spec int wo eff)	std (DT-IND prev spec int wo eff)	mean (DT-num prev routes)	std (DT-num prev routes)	mean (EDEQ-bodyshape)	std (EDEQ-bodyshape)	mean (EDEQ-eating)	std (EDEQ-eating)	mean (EDEQ-weight)	std (EDEQ-weight)	mean (Lav-Dissatisfaction body)	std (Lav-Dissatisfaction body)	mean (Lav-Negative appraisal body)	std (Lav-Negative appraisal body)	mean (Lav-Unfamiliarity with body)	std (Lav-Unfamiliarity with body)	mean (MHCSF-Emotional Well-being)	std (MHCSF-Emotional Well-being)	mean (MHCSF-Psychological Well-being)	std (MHCSF-Psychological Well-being)	mean (MHCSF-Social Well-being)	std (MHCSF-Social Well-being)	mean (Age)	std (Age)	mean (SQ48-Agoraphobia)	std (SQ48-Agoraphobia)	mean (SQ48-Anxiety)	std (SQ48-Anxiety)	mean (SQ48-Cognitive Complaints)	std (SQ48-Cognitive Complaints)	mean (SQ48-Depression)	std (SQ48-Depression)	mean (SQ48-Hostility)	std (SQ48-Hostility)	mean (SQ48-Social phobia)	std (SQ48-Social phobia)	mean (SQ48-Somatic Complaints)	std (SQ48-Somatic Complaints)	mean (SQ48-Vitality)	std (SQ48-Vitality)	mean (SQ48-Work related complaints)	std (SQ48-Work related complaints)
GMLVQ-AN-1	-0.7041973822169492	0.3848965224844886	-0.39437230907565773	0.06804376913908466	-0.06055458627160367	0.10945567683995451	0.3192969948789832	0.07347284326436439	0.008831728606756812	0.0359968457468256	0.07892965263701998	0.10337447778361859	0.3096464557976179	0.07258966015471664	-0.08689781341710674	0.036995519362156185	-0.05698349367201838	0.03226955211682046	-0.04474456651831628	0.057334966847785065	0.030519278856366072	0.11134083311908222	0.09386293636320298	0.05862873110832085	-0.30086428416616035	0.06399515485709455	0.3056667213471851	0.25286319532223617	-0.20341200668692144	0.03387159010192452	-0.3173091275364918	0.11688177296370449	-0.15614494911096372	0.08674780766671185	-0.3411524785321065	0.12044603399124733	0.045946867078454426	0.07372791078639998	0.1741127811398131	0.11513749845595327	0.10113016387586907	0.06338969376786215	0.345631247658591	0.12393387316047996	0.0014044912698412653	0.045301100368873776	0.21647931187960245	0.051802566538582694	0.40807138747447735	0.19367757395244456	0.22937848755717588	0.06593514198808849	-0.04813785412177246	0.06031049475786943
LGMLVQ2-AN-1	-0.5640471398965202	0.35030686615110496	-0.46547178890262747	0.14167033189172926	-0.023790432911446537	0.09476453656972218	0.29153601884435265	0.07218595885188361	-0.05638019650079682	0.16375348626271852	0.005388027600879924	0.12555494297518133	0.22017173482285934	0.23381699597969874	-0.10563384845248977	0.15977185950464065	0.01788819657418708	0.09024246791551101	0.0466771905795232	0.15371070588494215	0.00764275412743535	0.11451250053404165	0.01192968915725826	0.19676290507362665	-0.19812001433653492	0.09408569199072102	0.22916637607106377	0.17371626241012456	-0.13636880032680057	0.22257150570978118	-0.2601943420891303	0.13900461236265071	-0.21483967658354136	0.2140450340973926	-0.34279598304130426	0.09900671824317565	0.05369605244179334	0.09970060214695145	0.15295317498904853	0.05688545417713428	0.10608010185386241	0.1265956429953855	0.20396461681033212	0.23103840968309172	0.027991495125853093	0.08608315215639624	0.18800506655956178	0.09351353824613585	0.2547751592492708	0.15367884295546902	0.21798777449575302	0.12402398105334783	-0.06579520404100239	0.050211021575799035
GMLVQ-AN-2	-0.8888226426093426	0.33220508842789964	-0.4188486494739574	0.07420024299946142	-0.11881877887960424	0.10442758115097577	0.344994557013552	0.07650858980170785	0.011503238247493993	0.05682317918297764	0.14698312954579762	0.0651980067176428	0.3263140238111416	0.07848338319936399	-0.1114728945473807	0.023816188670606975	-0.042687879525553515	0.017982402487896603	-0.04507143696185416	0.05195089260960546	0.0888705433860689	0.1047653010630572	0.08069537226900174	0.047849184938406134	-0.31210495266591387	0.05928215415228348	0.4472342983693762	0.21550266669398188	-0.19478116702364173	0.042444458559543555	-0.34119323601162976	0.1198385246787761	-0.11768049290514253	0.06891820926438998	-0.4018947417273721	0.12405554989397441	0.12362094743620804	0.04795048618963468	0.26293166862596806	0.09237483035195035	0.1515833580687102	0.05687779580069531	0.3992569378008081	0.11731528946403078	-0.024238128249001414	0.02248794121597629	0.23063339598030863	0.05231114419399912	0.5068312216827653	0.16971466691619883	0.26416948454382416	0.05331510352452462	-0.06058698817514614	0.05947562666626226
LGMLVQ2-AN-2	-0.6152120480620973	0.17924228604525272	-0.23118135243493948	0.18484076970784363	-0.12752101801876872	0.09521805422729324	0.2079027370197295	0.04993480292234602	-0.014744108141016298	0.19005919535727436	0.08714270221717949	0.06024880339507819	0.311163988908814	0.2826323661061899	-0.0998624624128425	0.2669298661162116	-0.054156398364146076	0.06324784655386087	0.013693837921606916	0.07728274408559026	-0.1174159982499762	0.15516110814891926	0.05782583131862075	0.2950997942061899	-0.24662172619216643	0.054709373249289824	0.2391169305399942	0.15312415126505233	-0.18730542150586182	0.2577676672188879	-0.2583614817565404	0.08761971285081528	-0.13757102457275736	0.19943507872259797	-0.34332163225332624	0.0484690112657619	0.06597008424701943	0.13048200578209962	0.19101869983180225	0.07264744988675113	0.10449665028355488	0.08790056050374734	0.3053209785218783	0.26291615061959295	-0.007478306948147684	0.14369832294064505	0.14596833882827076	0.112175953760995	0.34805845206650077	0.2021098853390045	0.2647871990892471	0.1511366420847348	-0.000942134160289164	0.050598058324770344
GMLVQ-AN-3	-0.5446902313276515	0.22826944232286792	-0.366609074493362	0.027509499649338808	-0.006330927706320608	0.076354401750505	0.262679530218264	0.02091573438487516	0.020775346551234797	0.037018702333317416	0.04909196620416603	0.08038903991542456	0.27054400201799167	0.041060460869433206	-0.06195837852201895	0.021305207179525363	-0.11910957058411298	0.0464568121737045	-0.09281768860945067	0.06441572456633435	-0.05109138913800334	0.04853730160680442	0.010381178478501434	0.07985379648044641	-0.3473962868582244	0.055950662153454254	0.08925411628620541	0.0735766622944111	-0.07932809136929517	0.03271544921219512	-0.20754471509095432	0.050149515814438245	-0.0999759475463689	0.1191573887274237	-0.316323050456664	0.07965022676531558	0.013425409343103201	0.05200652285370159	0.08222768081457346	0.05845226884342939	0.028151639787712297	0.018637069508888958	0.22752460762630014	0.02677777817799234	-0.01880443642080041	0.047038862335889754	0.1274537142328514	0.031444435414015454	0.23020096047540844	0.05699923558023976	0.16540353086035706	0.021781195912336015	-0.04955773829376782	0.04906393192433296
LGMLVQ2-AN-3	-0.7531906044875492	0.511072015962918	-0.4780056522256674	0.09524723657282179	-0.025914252819637724	0.12364296878759229	0.2393503319749944	0.035486293743524924	-0.0396091847603214	0.24987381363418795	0.12093173190602582	0.12018588574178016	0.343240777100893	0.1928601813704314	-0.013718768234093473	0.15804629160419803	-0.0023559025518205406	0.05035742089909048	0.025277217397051077	0.19901408916301142	-0.05280138252708534	0.07632655896714471	0.11362084865111359	0.15502848310168618	-0.2099885829292961	0.14051511968884148	0.24643696495735443	0.18146193068878647	-0.20040994579482074	0.169293369379455	-0.2900664990662119	0.13757482398177937	-0.0835865574001174	0.16277339863226437	-0.3217593463834257	0.10658121972527355	0.04143076434368104	0.08175410819012653	0.10833640053643176	0.056660384967000973	0.0740985479067991	0.10886664957399553	0.3957820704558557	0.22184283297496407	0.07718023364971005	0.10702193710926802	0.16956071121310085	0.09220171978796483	0.37192206590571175	0.09157832324283716	0.12064213429595441	0.06685568457189474	-0.1255782142888007	0.07192504924685263
GMLVQ-BED-1	1.5306895551170623	0.33251097256688605	0.5011695103011117	0.2111885091595354	-0.0022495934019207213	0.11490205827899501	-0.1825429447924524	0.09379513527138846	-0.008946676983557856	0.10847745738132439	-0.1449274241253073	0.025455809143483443	-0.051546703895470156	0.18249344737813505	0.15088620179799744	0.04818845336494824	0.0396745387242225	0.030535284627322964	-0.061178654280994095	0.17967095142956963	0.04520153693272706	0.042672371317420764	0.28250433084776916	0.04058726564941379	0.5646272171318171	0.10998782453936905	-0.15255916634740202	0.17697769272869318	0.23906109767126674	0.18839875239800516	0.04232048201586035	0.04156469736962943	-0.2675973554956818	0.024248327837902074	0.5694882170282816	0.06698222017527568	-0.330839556528886	0.10554995258011268	-0.4192515676623644	0.12581191200677339	-0.019651703352745957	0.14966910046291243	-0.29198865732001306	0.13556265973872006	0.16633422087917432	0.13563128185494372	-0.1557916929208551	0.12846396725420406	-0.6328726340216286	0.08225365197612187	-0.004089058553973977	0.050812703102075016	-0.1507193537542253	0.0697369278895467
LGMLVQ2-BED-1	1.304240240174027	0.3144741600689628	0.62454244971006	0.2736345281946027	-0.036992363636946766	0.030713677079357092	-0.16955379397937795	0.02976018469316181	0.00010400730588895277	0.026791915852194287	-0.12371808357532092	0.3114412085689647	-0.05758217180132656	0.11296824066698538	0.11427322461712823	0.04199053602211623	0.04164838803786619	0.09631341501602837	-0.05251074863024913	0.0851248442171011	0.11865501403620296	0.04802741838815999	0.2145104638215784	0.03280249065324493	0.453562145699027	0.05828139050916285	-0.16851534027389414	0.20978876162364907	0.19593526688553425	0.11386810972444983	-0.01576065333680323	0.06649519245675585	-0.1982162449582631	0.047167236915060466	0.5227422909342568	0.06516318821969115	-0.24707555772467044	0.12458977684391669	-0.4258464767324459	0.06918316421834476	-0.09213467867944751	0.0776487114377555	-0.26390026033394326	0.04683755703476867	0.15604123399145423	0.08616444894480897	-0.1871287808503753	0.1854791949631225	-0.5578664856969023	0.21952150442197102	0.007673300282458077	0.017695019356586433	-0.22080095666028274	0.10653574977970164
GMLVQ-BED-2	1.5899742738094353	0.3331018812268116	0.5452175919364554	0.20455948807825952	-0.04170317208302264	0.11931686203924481	-0.20587378214924765	0.09766420046885538	0.018403280409498436	0.1136349918553042	-0.13771563711407847	0.021955852778516378	-0.1221133153608344	0.18276312658696875	0.12261695416827201	0.0427999680623652	-0.004955063746655506	0.021538184395965863	-0.13107235193392502	0.1716757419716793	0.06423023384918411	0.04003821881052204	0.26533729540177464	0.03748429101637416	0.599535571541431	0.11799607785819545	-0.0712829564512645	0.15254241153742587	0.31482839768948717	0.18559412701216563	0.010357194359850785	0.02429523102275322	-0.26449901370094514	0.034904327678942255	0.5971402788702688	0.08114653491802297	-0.2745311584132438	0.10584220892432081	-0.3672245424190001	0.12742100288600416	0.020023170850625733	0.1330354290546471	-0.3352223118598227	0.1373503958758023	0.10322305043241158	0.12706375385922672	-0.21552957746004128	0.1232919462473824	-0.6450885593490339	0.0973690988213029	0.03294528247714212	0.04866173687882915	-0.1324466662697131	0.08166751689429076
LGMLVQ2-BED-2	1.3034217648472985	0.3202910961534164	0.4223158257050468	0.2770777413849553	-0.0937314623432475	0.02710924699327067	-0.18077236906819558	0.03581814491970434	0.005441620964066596	0.026093117338381065	-0.09216628522763827	0.3081180321870868	-0.11248065873422801	0.11700314588698817	0.11790061338412486	0.04938895022679037	0.03513444129639578	0.09591420858593894	-0.05335467829790291	0.07559958910048768	0.040286661041983474	0.05328455823555297	0.20157135969253473	0.029984056970988125	0.5199754119577056	0.09012556778745164	-0.10095873757032647	0.19611977503314795	0.138567751674579	0.11272867333429139	-0.05170463661478443	0.0630534120742764	-0.24080599448327034	0.07826917626055291	0.553206605063165	0.06096545932968141	-0.27636863063270856	0.11244629274421301	-0.3997672439441454	0.06240435802840082	0.0035697592184506244	0.09310105189978629	-0.29348102705531975	0.04610535080210126	0.06410120685724936	0.08731042322304963	-0.2366300044692468	0.1832965644162623	-0.5391661369675439	0.1872544876228283	0.009784139961064415	0.02038243972091868	-0.17936620886002194	0.1113809055256116
