	mean (BMI)	std (BMI)	mean (Disorder duration (in Yrs))	std (Disorder duration (in Yrs))	mean (Comorbidity BDL)	std (Comorbidity BDL)	mean (Comorbidity OCD)	std (Comorbidity OCD)	mean (Comorbidity Depression)	std (Comorbidity Depression)	mean (Other psychiatric comorbidities)	std (Other psychiatric comorbidities)	mean (No. of previous treatments w/o effect)	std (No. of previous treatments w/o effect)	mean (No. of previous treatments)	std (No. of previous treatments)	mean (Lav-Dissatisfaction body)	std (Lav-Dissatisfaction body)	mean (Lav-Negative appraisal body)	std (Lav-Negative appraisal body)	mean (Lav-Unfamiliarity with body)	std (Lav-Unfamiliarity with body)	mean (MHCSF-Emotional Well-being)	std (MHCSF-Emotional Well-being)	mean (MHCSF-Psychological Well-being)	std (MHCSF-Psychological Well-being)	mean (MHCSF-Social Well-being)	std (MHCSF-Social Well-being)	mean (Age)	std (Age)	mean (SQ48-Agoraphobia)	std (SQ48-Agoraphobia)	mean (SQ48-Anxiety)	std (SQ48-Anxiety)	mean (SQ48-Cognitive Complaints)	std (SQ48-Cognitive Complaints)	mean (SQ48-Depression)	std (SQ48-Depression)	mean (SQ48-Hostility)	std (SQ48-Hostility)	mean (SQ48-Social phobia)	std (SQ48-Social phobia)	mean (SQ48-Somatic Complaints)	std (SQ48-Somatic Complaints)	mean (SQ48-Vitality)	std (SQ48-Vitality)	mean (SQ48-Work related complaints)	std (SQ48-Work related complaints)
GMLVQ-AN-1	-0.6421549533965986	0.2577260096000713	-0.4424159462262535	0.28679473932055866	-0.0861879860367731	0.08363771833289323	0.245569485872577	0.10930480919373582	0.09302526076263325	0.12090359421070558	0.1369900464928741	0.44259878253585605	0.16424427114415466	0.15309972862012342	-0.11536681432048959	0.04092186099863785	0.13740377090126882	0.27461615963197283	-0.29738410215891053	0.2115349094424279	0.24732787393706168	0.2004048587421711	-0.13197829072321476	0.07119234937051931	-0.32159653251211273	0.1065392077798728	-0.16298065500740855	0.10438369568087154	-0.2664745828943934	0.07817951032727177	0.12044767216200483	0.05204514541161678	0.28017149066376235	0.11838287190798186	0.07689409002601397	0.1631748367612628	0.2577083135874325	0.12597054471461086	-0.0744021226442376	0.12389032605023863	0.08270942073429936	0.12119912449650973	0.4061240056072588	0.08823047409702553	0.23023827313174144	0.06730938731550079	-0.0677012570408244	0.04952826942999993
LGMLVQ2-AN-1	-0.6699336228826585	0.3201412778698666	-0.2977292868911519	0.0820627923308131	-0.08037072594342384	0.18329457713666167	0.25063169437341726	0.05090203470107729	0.041200093019848255	0.09034557297706558	0.030952251818647043	0.10579191578427712	0.2739147496847254	0.1208042663457346	-0.1392614009072818	0.09173762023637609	-0.018758069217620917	0.10507082794597514	-0.36001239493430753	0.1392481563104034	0.20043365502382965	0.034672208786065584	-0.1678754599396291	0.1122952924631523	-0.20430625720380893	0.0993817305323957	-0.15242735054980672	0.07524927430730839	-0.30819699654391897	0.09086791939728518	0.061381582365186906	0.06779833155546972	0.19145614629838886	0.07521821508197991	0.07636407182159562	0.02013402165667628	0.19271611488018117	0.26893586598262675	-0.039371574796339556	0.09072498498962576	0.12761580168949857	0.10945471866852753	0.33347231232911	0.22219849681747328	0.2412762714684765	0.0505003038715849	-0.06154015988478956	0.06189464241647879
GMLVQ-AN-2	-0.6350150894089743	0.17728808393534898	-0.4287686881826792	0.2937517096149091	0.03061481632465272	0.10026094515338121	0.28857666937745324	0.08433009410528455	0.07395185231682377	0.11025344926803904	0.09920906776592772	0.43659044413216397	0.2215523821559978	0.1633791310255997	-0.047667546400856076	0.02859920556185827	0.18104890096028295	0.2733721897472402	-0.3482724842590045	0.16891473349376698	0.24755393688670405	0.24880852448156257	-0.12693333870129836	0.06935480414699703	-0.3623667517989791	0.07904046924892413	-0.21931807462562256	0.10637069831976387	-0.3019260487422251	0.08487379370819419	0.05933993035837554	0.02907740503397678	0.21350362693603747	0.08435183631920407	0.028730538990190162	0.12038958068693964	0.23246852129237422	0.1280378591639762	-0.06830524615745678	0.1042461761972013	0.08865911273204388	0.08154756883958221	0.4463428579411291	0.09563889842701129	0.1904858338255639	0.05571913355743451	-0.023830774865834924	0.04806983958357204
LGMLVQ2-AN-2	-0.7405157083719629	0.39430190348481975	-0.37201917903894066	0.12766479844758394	0.029311268547613633	0.12464090423253486	0.27837997846301077	0.02706742983709957	-0.029728631898892098	0.11620388003076972	0.1090699987355647	0.08419188114910069	0.36878318772196483	0.10625501379993088	-0.06842059477746146	0.07299273718030129	0.038026471730402724	0.09807706943372174	-0.26863689406003655	0.1693566219360215	0.21079960382409696	0.08746382147514259	-0.23634297009946378	0.07861892220216546	-0.2821821394559557	0.1232751271495304	-0.12872770506511422	0.09565827648217283	-0.300131869899384	0.10827461632844551	0.04182562277739596	0.04349571422873117	0.20542000712493702	0.06319614415683664	0.056639669958414296	0.0363233282943976	0.3910298246962487	0.22121350229016065	0.032948001154763124	0.08791442266877462	0.19269140696071813	0.11991650418575109	0.40205250291041617	0.21294287412268162	0.218091838895687	0.07996596838272484	-0.09340781035021134	0.061034555849376275
GMLVQ-AN-3	-0.859613519163047	0.3441560587625232	-0.35743848686159246	0.1956263914377296	-0.05670857379694057	0.047053403530457276	0.28110212052070577	0.08005622593570469	-0.011324700550615071	0.17177386882131906	-0.05740942597801115	0.3798966261309457	0.3633592125386261	0.20747576956390337	-0.08370632770586829	0.0413273712031251	0.09287968186880283	0.10065313917167683	-0.3402103353094449	0.10797846527298369	0.24006972331716595	0.14414928668317809	-0.171348832666932	0.022738607163536265	-0.33100374874971783	0.06664209934940749	-0.20268902945562908	0.09160055589108804	-0.2635783231073863	0.06644436326238604	0.07307304894124447	0.04599745273946814	0.098980537304644	0.1221523723887931	-0.03217712346960779	0.1350123192675926	0.3446875497780443	0.1009621868797725	0.01816247457953003	0.12349964921499385	0.18372555357764314	0.05369348100392215	0.38402558154751815	0.07262509218075473	0.16098388660902865	0.01938223329562473	-0.09614007966528652	0.06662292393205041
LGMLVQ2-AN-3	-0.7270457512484979	0.40064293411313057	-0.398642261372058	0.09713678927157993	0.00924917417556625	0.18052577941202738	0.2789333381232579	0.05250652976892457	-0.0039061845482753427	0.08626482685670953	0.08718143518042075	0.07913642024888785	0.35736546207798436	0.11511631717305604	-0.07385751099023012	0.0836998399142507	0.05056887487210273	0.07621348361264745	-0.2867395772450532	0.16875508056452138	0.22133888494119755	0.054654744329621176	-0.23685716711687213	0.12177776349275365	-0.26027087705223667	0.10182817625506152	-0.14867848260640998	0.09148302374306565	-0.30785941827547825	0.10875033887189121	0.028932659059222543	0.08133755045227142	0.18346328321828637	0.034949958791636156	0.07922573589418846	0.03584587718922571	0.3277712857136332	0.2300449445000635	0.02272194939902852	0.1057618575210496	0.19637705553203358	0.12752986492345175	0.3975482776070047	0.2409786918097465	0.23100198232613467	0.07312375137702323	-0.08078145860421689	0.05635699771660435
GMLVQ-BED-1	1.0111643129319354	0.202946615189847	0.5272287011128368	0.23239196184646344	-0.05128709870347718	0.08265550986640413	-0.11158844723826541	0.06812133261001113	-0.23708538039497387	0.23830086255878166	-0.17734057806556677	0.06700289947671746	0.07818017589345852	0.12285072052116816	0.4501434805762082	0.0749195898185066	0.3197780354436577	0.12955646661387454	0.44162143807403087	0.07175774688019347	-0.15678224707772326	0.08391317985305767	0.20060757932398482	0.05520808823345564	0.10789791396712693	0.08776027361415566	-0.32496857051850453	0.10127933409479226	0.5100719446661233	0.06348083460799517	-0.3390575396441896	0.1153075003900457	-0.5937673684426035	0.21064738848636907	-0.1525609583961951	0.05456875572361282	-0.09798924901450808	0.259602932087827	0.30732937727983617	0.20983447008476308	-0.11242315516439767	0.10551521884700375	-0.5731076557108085	0.06351960136511577	0.011868398531281969	0.04001433380137735	-0.26253978457728516	0.09986088159711252
LGMLVQ2-BED-1	1.3984842458017894	0.23076782068306723	0.5693431490603987	0.08659910249182956	-0.005833815457398162	0.0723026068452728	-0.18111188209746384	0.017479156390894496	0.020820561634833916	0.12477066042070349	-0.11109249058418061	0.022623559890623354	-0.1235522424743356	0.025644304510176578	0.39860321520209513	0.04135572914460873	0.22617915774022376	0.0390655007197876	0.5587165092360313	0.21179717809397752	-0.11515124977710725	0.05676014135896362	0.2816316532370291	0.19040867406904113	0.03727976799916122	0.14714758184192905	-0.2303869791735309	0.042443478295084144	0.5598087369692806	0.11557681647073574	-0.2558504714843237	0.033146481010609574	-0.40653421535206513	0.09585554349749065	-0.05237639035782819	0.1755779574845668	-0.359410571642356	0.15146442954552292	0.18052150838554581	0.08748896228623808	-0.20054211121886908	0.04297193710827956	-0.6091950538423352	0.04671194993658255	0.033094124525008296	0.04980691357827094	-0.19758919048518056	0.08016926925648596
GMLVQ-BED-2	1.2465400711545012	0.10587447607805836	0.49056788163654746	0.27770836834358065	-0.07533236886596577	0.05943192980149796	-0.145792672674305	0.050650805679752615	-0.1740950453508671	0.24745104630961653	-0.17731184095289876	0.09584583282047782	0.07300405169524504	0.09652891911593503	0.49156970019438057	0.13368170540763002	0.2751049150181828	0.19089433566931296	0.45462305821860716	0.09882213717044233	-0.1564213341291851	0.13969683103492891	0.21974565520613948	0.04633052570049265	0.09722534542904834	0.062110260415467224	-0.27666888056839795	0.06525211518777967	0.5433230721594314	0.1197399881069194	-0.33543999543236447	0.14421389105425939	-0.5191241631028798	0.25460897728671217	-0.093543008177785	0.024591642759579545	-0.16697993102642966	0.2980897250457753	0.25274635380024246	0.18172213796450157	-0.12535087275898713	0.15445584268945506	-0.5877482800167437	0.031021309388904458	0.03119989408548629	0.05253689969972293	-0.24259727230425776	0.11573366144496985
LGMLVQ2-BED-2	1.295132091268576	0.24762694829229334	0.5237977706070251	0.09615499941081578	-0.01235831591513541	0.08710615276393388	-0.1813260842465058	0.006576119319352724	0.03806817655768012	0.13765881525650372	-0.10969294751185706	0.030974629627233262	-0.09129738568417442	0.033440334494865255	0.36803446887000785	0.04060773059030918	0.2206465466852519	0.02673236614773639	0.574714684642959	0.22198193256403678	-0.09923844261349717	0.06802570929087179	0.19462838432430668	0.18809272393797571	0.01967844715390607	0.15104931439279132	-0.23358478978848365	0.05905394121122726	0.5613431845213501	0.1320968261511989	-0.2677447453567732	0.042409491173248694	-0.38540626544961337	0.09752971055948528	0.04679028472089157	0.20900470895519538	-0.2820903163663463	0.15179403717770448	0.13449730226983497	0.07724204772579431	-0.20054559360882768	0.050221949298584534	-0.5940344350967791	0.06873678130242979	0.026517708567126548	0.05454098440905041	-0.14441021309341676	0.09032571279056124
