	mean (Lav-Dissatisfaction body)	std (Lav-Dissatisfaction body)	mean (Lav-Negative appraisal body)	std (Lav-Negative appraisal body)	mean (Lav-Unfamiliarity with body)	std (Lav-Unfamiliarity with body)	mean (MHCSF-Emotional Well-being)	std (MHCSF-Emotional Well-being)	mean (MHCSF-Psychological Well-being)	std (MHCSF-Psychological Well-being)	mean (MHCSF-Social Well-being)	std (MHCSF-Social Well-being)	mean (Age)	std (Age)	mean (SQ48-Agoraphobia)	std (SQ48-Agoraphobia)	mean (SQ48-Anxiety)	std (SQ48-Anxiety)	mean (SQ48-Cognitive Complaints)	std (SQ48-Cognitive Complaints)	mean (SQ48-Depression)	std (SQ48-Depression)	mean (SQ48-Hostility)	std (SQ48-Hostility)	mean (SQ48-Social phobia)	std (SQ48-Social phobia)	mean (SQ48-Somatic Complaints)	std (SQ48-Somatic Complaints)	mean (SQ48-Vitality)	std (SQ48-Vitality)	mean (SQ48-Work related complaints)	std (SQ48-Work related complaints)
GMLVQ-AN-1	0.1652139595064108	0.2802438283950656	-0.1301470446089321	0.1553628564986264	0.7654414552667124	0.8289996592119311	-0.3809528851520835	0.1900853571685356	-0.3051835646715121	0.34923869124187007	0.015145815468924073	0.2677274530753858	-0.13159453567928314	0.10314738176842733	0.05770683207544297	0.09196818146419186	0.26413782343731435	0.26213457690006287	0.07183416805839826	0.12856783469776556	0.3257474147191609	0.06844463890425402	0.15701715146364537	0.03543873343912649	0.28771283969555844	0.181421913175178	0.3445910917267276	0.10905142887208265	0.1711180052842522	0.03663769036569029	0.029441716026540554	0.10564140236801212
LGMLVQ2-AN-1	0.037644575570475985	0.045292977536000846	-0.2919328408018297	0.018745872515765583	0.2542732474424869	0.0542804426046202	-0.25065361040406187	0.042880044242674824	-0.27519557304985154	0.02379034720713272	-0.18889726154078743	0.03572009641955934	-0.2967616881185543	0.037571852459042085	0.1206770390061072	0.04118381792304345	0.3450052231293001	0.06533342759982305	0.11799129346426356	0.10258703387373629	0.3187040409368893	0.048171344246429396	0.013004137158695672	0.06859389140971257	0.25834409159598154	0.04630752801731782	0.36100301910855925	0.026807082341184788	0.19634904091473532	0.0665104717418488	-0.08026485942468893	0.026742633331622263
GMLVQ-AN-2	0.34963731813084187	0.4404705971316183	-0.137470276489175	0.14998636213439498	-0.17512932460780997	0.9942667161746924	-0.007329821573455198	0.3610839371948523	-0.07389746661160611	0.360104113798634	-0.29435340586062103	0.19517368996215703	-0.4179881914382733	0.2647333677842357	0.1786612837872981	0.17871273654457062	0.13139085498118747	0.1970669711603394	0.18436163528896882	0.18980451997977255	0.24976596689672922	0.1402894673647701	0.0020282370013997215	0.16716248006996798	-0.02992944402322375	0.3074182845695196	0.4306371276093217	0.2322464795829715	0.1803557000515211	0.05044822608309374	-0.1355748486026242	0.10556412347489785
LGMLVQ2-AN-2	-0.0022234992185892173	0.03233168558581319	-0.26731118275065546	0.020537076366427393	0.21370207701010696	0.05848513530068174	-0.1793483561698531	0.045649964445823615	-0.24948420439286495	0.03205697543184466	-0.20016363396102227	0.050904664147617254	-0.2832048889946087	0.041021726544296866	0.06396787470458978	0.06276473644749105	0.291373943014061	0.04605916089487938	0.08594424348884248	0.11812604707465024	0.3110506696116121	0.06371713410503277	0.005406831545906138	0.09522807234112021	0.20697272220779386	0.031773251555358185	0.423819346129269	0.018177824611484716	0.18091218921689517	0.05070143608032385	-0.11683667526394874	0.055319329087890286
GMLVQ-AN-3	0.08790796299862338	0.3502114784711336	-0.18891559046214332	0.14300496135413424	0.5588937818485932	0.9480410764177862	-0.33656991580229223	0.2406437312315129	-0.15951512088295633	0.43383642435280956	-0.08172381499412758	0.3789773359561591	-0.408158908039186	0.25034410961754827	0.06662371290344561	0.13583965098309117	0.07433490191372752	0.14396196324748728	0.04906738823020225	0.1659818541757471	0.3481122131017555	0.16952635960783013	0.09070292386645733	0.14120517452874284	0.21192874521850072	0.1862946675668814	0.5302634183328002	0.2489283323639759	0.2160831876419725	0.16511382067753363	0.08673381802265787	0.15559554048822785
LGMLVQ2-AN-3	0.02097543225412151	0.02831996505841607	-0.2806814214381849	0.025174601594284637	0.2433297070996899	0.06729280690665664	-0.19316414979207602	0.030290321325933952	-0.255360784457883	0.0629670866178208	-0.1671808346373007	0.05506886911194547	-0.2776579646227607	0.04228327659901279	0.12981101424787628	0.05171696652668147	0.3432579715386005	0.05503723772536416	0.10782950013502668	0.03313254139867898	0.31807178517888335	0.07514576718010516	0.04589981641046566	0.06557294854078786	0.2367389144448601	0.06505012537644748	0.3789710007350192	0.03929693561479859	0.1314610116696563	0.04626090200123928	-0.15043811696056947	0.03331074455863864
GMLVQ-BED-1	0.3888306649773424	0.034368462729677744	0.28284555947140055	0.40516040243451296	0.09150077592492342	0.2852695591673477	0.31579834364133463	0.0662727399891176	-0.19497592477105483	0.14649983261765073	-0.08353354557941783	0.1344046112606828	1.0893309580487698	0.09477493645296163	-0.260612418759334	0.0804569706431192	-0.2774721227316656	0.13239583817118453	-0.23102151406431926	0.035656909904428186	-0.3867795993117717	0.060727897093076605	0.10791935057112731	0.04280549051718733	0.1512343046960476	0.16761174622830619	-0.9013777083860735	0.16295046117149103	-0.04735733781324812	0.0517660309613899	-0.2916334495157033	0.12956650896390987
LGMLVQ2-BED-1	0.22208969009869514	0.034999726121632206	0.5763133102963074	0.03523343152127083	-0.16916692994581978	0.05658360933997497	0.31935170358045173	0.03144304743423059	0.04205744953276053	0.0537046030825044	-0.12263273297360636	0.02105259058417348	0.777467024240111	0.03297800924788942	-0.18320157025670797	0.019885245596117637	-0.4893715226263623	0.059669563046192205	-0.12475294000424278	0.04518551194024666	-0.4140509329227375	0.03800632591286769	0.08860572707414496	0.023773762377491525	-0.16819212569893716	0.014447301626712938	-0.7694815553539501	0.012737277262620667	0.013911246943423914	0.03486898235802046	-0.2139084829077425	0.03498873533725563
GMLVQ-BED-2	0.33950219282567246	0.093027251211414	0.5668520081378191	0.24670586841455813	0.0776732497433035	0.3786212455838361	0.38820082039551485	0.050490656288047366	0.05300903515572854	0.12046863859716471	-0.3002392227988846	0.07364428403991204	0.929537321304764	0.1118341652753168	-0.30069177267383196	0.07891555856772993	-0.3288108987738625	0.16424022828840013	-0.29447649926090513	0.04671558637092104	-0.39785228291195257	0.09422851275063394	0.10531211244090462	0.07736209471200815	-0.1104162746732725	0.09789624635962792	-0.8057292860970844	0.15731773730281534	0.061922918031045174	0.05060412357423565	-0.2459605646079553	0.12963308723841813
LGMLVQ2-BED-2	0.2745472722554581	0.0422931417226659	0.638028179736492	0.05510909961856659	-0.14579832666415982	0.04695723262380413	0.3063190917630814	0.038462963852393686	0.006825049283155128	0.06602919574350041	-0.1394095895036469	0.026501570757084543	0.7943749830697295	0.04642940292974098	-0.18768204290302543	0.015703304797080767	-0.4636084616698842	0.0602000507444857	-0.0785844378985266	0.05705767915978271	-0.3917968572620659	0.05696820957070482	0.024567718474146516	0.03204925396492028	-0.1377204187699382	0.02008579777918735	-0.7381163868455207	0.020918498428082036	0.08248321864559491	0.04309364051862602	-0.20514372132356568	0.025391285734897302
